,Unnamed: 0,Unnamed: 0.1,TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
0,0,0,2022-11-01 21:39:50.657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-9E89,315,LHS,Male,Yes,Right
1,1,1,2022-11-01 21:39:50.680,1.4798256,0.0,0.18950744,1.1360517,1.3263088,0.0,0.16122906,0.6327592,0.9893794,0.0,0.17210667,0.55385953,0.48346537,0.0,1.1290582,0.6478052,0.06959834,0.0,1.0509902,0.5587073,807.8755,865.09155,857.4359,842.52747,718.4249,0.147705078125,0.2550048828125,0.9776611328125,3.895416259765625,-3.5589599609375,5.86181640625,1.0,1.0,4.0,1.0,1.0,70.0,,315,LHS,Male,Yes,Right
2,2,2,2022-11-01 21:39:51.713,1.0317641,0.0,0.18950744,1.1360517,0.8809173,0.0,0.16122906,0.6327592,1.287956,0.0,0.17210667,0.55385953,1.0713519,0.0,1.1290582,0.6478052,0.7571194,0.0,1.0509902,0.5587073,802.6374,582.23444,842.52747,807.47253,777.25275,0.2244873046875,0.31292724609375,0.953369140625,3.09539794921875,-6.74407958984375,0.299072265625,1.0,1.0,4.0,1.0,1.0,70.0,,315,LHS,Male,Yes,Right
3,3,3,2022-11-01 21:39:52.729,0.9326712,0.0,0.18950744,0.67201066,0.7692983,0.0,0.16122906,0.12585402,1.3005751,0.0,0.17210667,0.55317605,0.980835,0.0,1.1290582,0.71358055,0.7065545,0.0,1.0509902,0.38992694,832.0513,681.75824,713.1868,823.1868,668.46155,0.2154541015625,0.35565185546875,0.92205810546875,7.64129638671875,-3.028106689453125,4.5458984375,1.0,1.0,4.0,1.0,1.0,70.0,,315,LHS,Male,Yes,Right
4,4,4,2022-11-01 21:39:53.762,1.2214092,0.0,0.18950744,1.0085814,0.8174224,0.0,0.16122906,0.5374569,0.88556397,0.0,0.17210667,0.56124026,0.50644696,0.0,1.1290582,0.64671016,0.097331606,0.0,1.0509902,0.28667137,804.65204,757.1062,789.34064,803.0403,726.08057,0.2210693359375,0.38421630859375,0.917724609375,3.66363525390625,-4.66552734375,-2.10845947265625,1.0,1.0,4.0,1.0,1.0,70.0,,315,LHS,Male,Yes,Right
5,5,5,2022-11-01 21:39:54.795,1.1731982,0.0,0.18950744,1.1760551,0.80988955,0.0,0.16122906,0.66944176,0.9413885,0.0,0.17210667,1.0044322,0.70507556,0.0,1.1290582,0.6091866,0.10562785,0.0,1.0509902,0.24134329,783.2967,874.35895,789.34064,747.8388,582.23444,0.198486328125,0.41192626953125,0.90789794921875,4.66552734375,-3.461761474609375,1.07666015625,1.0,1.0,4.0,1.0,1.0,70.0,,315,LHS,Male,Yes,Right
6,6,6,2022-11-01 21:39:55.815,1.1573489,0.0,0.18950744,1.1306863,0.6782733,0.0,0.16122906,0.68687844,1.0057485,0.0,0.17210667,0.8743499,0.6287194,0.0,1.1290582,0.61245257,0.21912496,0.0,1.0509902,0.17586693,801.4286,370.69598,750.65936,788.93774,955.7509,0.18841552734375,0.421875,0.90423583984375,3.327178955078125,-4.927215576171875,-0.261688232421875,1.0,1.0,4.0,1.0,1.0,70.0,,315,LHS,Male,Yes,Right
7,7,7,2022-11-01 21:39:56.834,1.2236061,0.0,1.1786462,1.28019,0.7129235,0.0,0.70140725,0.91877276,1.0108621,0.0,1.1130004,0.93362516,0.6559145,0.0,0.53185934,0.7572041,0.30285862,0.0,-0.105826825,0.24379836,821.1722,239.34065,796.99634,805.05493,911.8315,0.1881103515625,0.44842529296875,0.9007568359375,4.97955322265625,-3.222503662109375,3.925323486328125,1.0,1.0,4.0,1.0,1.0,70.0,,315,LHS,Male,Yes,Right
8,8,8,2022-11-01 21:39:57.862,1.3284376,0.0,1.1779469,1.465849,1.0696037,0.0,0.72465444,1.2796404,0.93791217,0.0,1.1110467,1.0303487,0.77385074,0.0,0.5818803,0.9610416,0.267976,0.0,-0.07380202,0.2159732,824.7985,509.70697,819.5604,839.304,960.58606,0.2177734375,0.45440673828125,0.8668212890625,3.050537109375,-5.18890380859375,-0.336456298828125,1.0,1.0,4.0,1.0,1.0,70.0,,315,LHS,Male,Yes,Right
9,9,9,2022-11-01 21:39:58.878,1.0562283,0.0,1.1779469,1.0004194,0.6331298,0.0,0.72465444,0.7038689,0.51004773,0.0,1.1110467,0.9063953,0.8166132,0.0,0.5818803,0.6511914,0.23322992,0.0,-0.07380202,0.26559913,828.8278,1089.5238,799.41394,829.6337,792.96704,0.224365234375,0.44842529296875,0.88519287109375,2.594451904296875,-4.837493896484375,0.3887939453125,1.0,1.0,4.0,1.0,1.0,70.0,,315,LHS,Male,Yes,Right
