TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
04:40.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-9E89,318,RHC,Male,Yes,Left
04:40.9,1.0273349,0,0.58619267,0.91261137,0.8040783,0,0.4224943,0.5040086,0.8125632,0,0.6584262,0.6680575,1.2005359,0,0.71078956,0.97668666,0.57223785,0,0.82079935,0.5381187,904.9817,747.03296,759.92676,849.7802,995.64105,-0.119812012,-0.010375977,1.010375977,3.357086182,-3.409423828,-1.345825195,1,1,1,1,1,60,,318,RHC,Male,Yes,Left
04:41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,318,RHC,Male,Yes,Left
04:41.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,318,RHC,Male,Yes,Left
04:41.9,1.0273349,0,0.4874853,0.91261137,0.8040783,0,0.374037,0.5040086,0.8125632,0,0.2883004,0.6680575,1.2005359,0,0.8382908,0.97668666,0.57223785,0,0.72970384,0.5381187,806.26373,717.619,788.5348,783.69965,786.52014,-0.128295898,0.039428711,1.000305176,0.747680664,-30.92407227,12.0451355,1,1,1,1,1,60,,318,RHC,Male,Yes,Left
04:42.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,318,RHC,Male,Yes,Left
04:42.9,1.0273349,0,0.4874853,0.91261137,0.8040783,0,0.374037,0.5040086,0.8125632,0,0.2883004,0.6680575,1.2005359,0,0.8382908,0.97668666,0.57223785,0,0.72970384,0.5381187,788.93774,525.42126,695.4579,788.1319,699.4872,0.597839355,-0.11895752,0.849182129,0.994415283,-16.34429932,2.751464844,1,1,1,1,1,60,,318,RHC,Male,Yes,Left
04:44.0,0.2422514,0,0.4874853,0.20774408,0.27983388,0,0.374037,0.32885793,0.82620364,0,0.2883004,1.0830336,1.0071204,0,0.8382908,0.677246,0.40902612,0,0.72970384,0.65955585,770,793.7729,849.7802,815.5311,919.89014,0.621582031,-0.110168457,0.792053223,4.067382813,-6.624450684,0.381317139,1,1,1,1,1,60,,318,RHC,Male,Yes,Left
04:45.0,0.34047806,0,0.4874853,0.40829504,0.1701498,0,0.374037,0.26364934,0.89440966,0,0.2883004,1.1030682,0.93794686,0,0.8382908,0.7667062,0.44275373,0,0.72970384,0.5472479,799.41394,757.9121,744.21246,842.52747,975.89746,0.645080566,-0.105773926,0.77746582,2.91595459,-4.448699951,1.614990234,1,1,1,1,1,60,,318,RHC,Male,Yes,Left
04:46.0,-0.08439393,0,0.4874853,0.44941783,0.39467177,0,0.374037,0.39923668,1.3081585,0,0.2883004,1.1104094,0.8889916,0,0.8382908,0.8421423,0.5006999,0,0.72970384,0.30104265,780.07324,790.9524,788.93774,808.68134,794.9817,0.65423584,-0.112976074,0.782226563,1.121520996,-4.172058105,0.127105713,1,1,1,1,1,60,,318,RHC,Male,Yes,Left
04:47.0,0.3546973,0,0.4874853,0.6796653,0.5159611,0,0.374037,0.3962781,1.3110555,0,0.2883004,1.1116892,0.9672967,0,0.8382908,0.92438304,0.5771283,0,0.72970384,0.44171265,796.5934,782.0879,786.9231,810.293,830.0366,0.635314941,-0.133728027,0.781433105,4.67300415,-6.355285645,0.097198486,1,1,1,1,1,60,,318,RHC,Male,Yes,Left
04:48.0,0.75591195,0,0.4874853,0.9007389,0.44734418,0,0.374037,0.35492533,1.0998696,0,0.2883004,0.85014373,0.9170019,0,0.8382908,0.8601217,0.51439464,0,0.72970384,0.4619433,774.0293,940.84247,857.8388,808.68134,790.54944,0.663085938,-0.141479492,0.764282227,3.73840332,-6.041259766,-0.261688232,1,1,1,1,1,60,,318,RHC,Male,Yes,Left
04:48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,318,RHC,Male,Yes,Left
04:48.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,318,RHC,Male,Yes,Left
04:49.0,0.7994948,0,0.4874853,0.80766547,0.30246407,0,0.374037,0.12536761,1.1755066,0,0.2883004,0.904541,0.9125967,0,0.8382908,0.9073282,0.62047905,0,0.72970384,0.69362205,761.13556,904.57874,772.8205,808.2784,773.22345,0.659667969,-0.131286621,0.760253906,1.719665527,-5.196380615,0.231781006,1,1,1,1,1,60,,318,RHC,Male,Yes,Left
04:50.1,0.51754075,0,0.4874853,0.013133692,0.3423595,0,0.374037,0.5994632,1.0230368,0,0.2883004,0.902484,0.79569006,0,0.8382908,0.9818501,0.44158664,0,0.72970384,0.37202212,779.2674,890.87915,771.6117,802.23444,896.1172,0.665466309,-0.140563965,0.764465332,2.287902832,-4.411315918,0.800018311,1,1,1,1,1,60,,318,RHC,Male,Yes,Left
04:51.1,0.3243369,0,0.4874853,0.0668135,0.2821685,0,0.374037,0.5432906,1.0692832,0,0.2883004,1.1093285,0.8549992,0,0.8382908,0.934746,0.43293503,0,0.72970384,0.42932546,775.2381,742.1978,899.34064,799.41394,771.2088,0.660705566,-0.166687012,0.75201416,4.934692383,-6.684265137,0.097198486,1,1,1,1,1,60,,318,RHC,Male,Yes,Left
04:52.1,0.35442033,0,0.4874853,0.47675827,0.35787493,0,0.374037,0.34597835,1.2702116,0,0.2883004,0.90687597,0.98862153,0,0.8382908,0.9198406,0.44902253,0,0.72970384,0.52338815,781.685,875.56775,846.1539,800.6227,768.3883,0.660461426,-0.148681641,0.764038086,3.828125,-5.7421875,0.388793945,1,1,1,1,1,60,,318,RHC,Male,Yes,Left
04:53.1,0.2507832,0,0.4874853,0.39574537,0.46658748,0,0.374037,0.5202837,1.273871,0,0.2883004,1.0886533,0.9204985,0,0.8382908,0.9979644,0.5872906,0,0.72970384,0.56622463,776.04395,760.32965,805.4579,820.3663,1119.3407,0.668457031,-0.149169922,0.755310059,2.033691406,-4.583282471,0.710296631,1,1,1,1,1,60,,318,RHC,Male,Yes,Left
04:54.2,0.46001402,0,0.4874853,0.5751199,0.28402516,0,0.374037,0.71976113,1.1673626,0,0.2883004,1.0397718,0.8417335,0,0.8382908,1.0369936,0.5502638,0,0.72970384,0.59388524,802.23444,712.7839,782.49084,824.3956,757.50916,0.66796875,-0.148132324,0.759887695,2.272949219,-4.381408691,-0.119628906,1,1,1,1,1,60,,318,RHC,Male,Yes,Left
04:54.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,318,RHC,Male,Yes,Left
04:55.2,0.857503,0,0.4874853,0.48251638,0.5438613,0,0.374037,0.7094723,0.94217956,0,0.2883004,0.9469258,0.68347144,0,0.8382908,0.9998919,0.46500614,0,0.72970384,0.50800425,778.46155,794.9817,833.663,782.8938,775.2381,0.65234375,-0.176940918,0.758728027,3.506622314,-5.749664307,-1.315917969,1,1,1,1,1,60,,318,RHC,Male,Yes,Left
04:56.2,0.2382585,0,0.4874853,0.031586718,-0.12562373,0,0.374037,-0.025258437,1.0222687,0,0.2883004,0.766345,0.7878267,0,0.8382908,0.8914539,0.5526634,0,0.72970384,0.19490562,849.7802,840.9158,818.3516,839.707,864.2857,0.644042969,-0.1640625,0.761169434,2.691650391,-5.353393555,0.620574951,1,1,1,1,1,60,,318,RHC,Male,Yes,Left
04:57.2,0.25907263,0,0.4874853,0.123519346,0.21944542,0,0.374037,0.121653005,1.0793569,0,0.2883004,0.8688912,0.9005885,0,0.8382908,0.971992,0.57667863,0,0.72970384,0.38610673,857.8388,781.28204,826.0073,817.5458,830.4396,0.660705566,-0.155517578,0.759643555,2.078552246,-5.158996582,-1.300964355,1,1,1,1,1,60,,318,RHC,Male,Yes,Left
04:58.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,318,RHC,Male,Yes,Left
04:58.2,0.37892097,0,0.4874853,0.24276267,0.34116304,0,0.374037,0.19142784,0.7545532,0,0.2883004,0.9826794,0.99502033,0,0.8382908,1.0110948,0.55525583,0,0.72970384,0.5256993,844.5421,809.4872,803.8461,826.0073,770,0.673828125,-0.158752441,0.731628418,0.583190918,-6.684265137,-3.648681641,1,1,1,1,1,60,,318,RHC,Male,Yes,Left
04:59.2,0.46283603,0,0.4874853,0.2181725,0.22502597,0,0.374037,0.19325966,0.6853559,0,0.2883004,0.94629264,1.0597006,0,0.8382908,0.91220176,0.57336706,0,0.72970384,0.69812995,850.989,902.5641,853.00366,804.65204,817.1429,0.681945801,-0.149902344,0.734680176,3.678588867,-4.545898438,0.366363525,1,1,1,1,1,60,,318,RHC,Male,Yes,Left
05:00.3,0.44065675,0,0.4874853,0.3026378,0.62250626,0,0.374037,0.7700211,1.4071255,0,0.2883004,1.2464032,0.8926031,0,0.8382908,1.0033216,0.6204564,0,0.72970384,0.6179344,882.01465,872.3443,792.5641,815.9341,1056.0806,0.678710938,-0.13470459,0.740661621,2.998199463,-4.224395752,0.373840332,1,1,4,1,1,60,,318,RHC,Male,Yes,Left
05:00.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,318,RHC,Male,Yes,Left
05:01.3,0.31201798,0,0.4874853,0.2353113,0.6623398,0,0.374037,0.8044153,1.4196101,0,0.2883004,1.1753321,1.0898987,0,0.8382908,1.036057,0.56581223,0,0.72970384,0.40464064,875.9707,788.93774,826.8132,861.8681,820.7692,-0.092041016,0.244628906,0.98614502,6.616973877,12.70309448,-0.246734619,1,1,4,4,1,60,,318,RHC,Male,Yes,Left
05:01.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,318,RHC,Male,Yes,Left
05:02.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,318,RHC,Male,Yes,Left
05:02.3,0.32636198,0,0.4874853,0.30259407,0.7425593,0,0.374037,0.8460761,1.3501433,0,0.2883004,1.1700621,1.2320912,0,0.8382908,1.024753,0.4432892,0,0.72970384,0.29389223,571.75824,1622.1978,0.4029304,755.09155,616.08057,0.104309082,0.160827637,1.006530762,57.33215332,116.3166809,-47.13378906,1,1,4,4,1,60,,318,RHC,Male,Yes,Left
05:03.3,0.32636198,0,0.4874853,0.30259407,0.7425593,0,0.374037,0.8460761,1.3501433,0,0.2883004,1.1700621,1.2320912,0,0.8382908,1.024753,0.4432892,0,0.72970384,0.29389223,801.4286,529.0476,1537.5824,721.2454,605.2015,-0.049133301,0.203735352,1.026977539,-21.69021606,-71.9418335,48.38241577,1,2,1,2,2,60,,318,RHC,Male,Yes,Left
05:03.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,318,RHC,Male,Yes,Left
05:04.3,0.32636198,0,0.4874853,0.30259407,0.7425593,0,0.374037,0.8460761,1.3501433,0,0.2883004,1.1700621,1.2320912,0,0.8382908,1.024753,0.4432892,0,0.72970384,0.29389223,770.40295,670.87915,1075.0183,784.10254,859.0476,0.575317383,-0.179260254,0.824035645,0.433654785,-12.87506104,-1.241149902,1,2,4,4,2,60,,318,RHC,Male,Yes,Left
05:05.4,0.39554518,0,0.4874853,0.35159007,0.7400901,0,0.374037,0.6946706,0.6682587,0,0.2883004,1.1999866,1.301909,0,0.8382908,1.3867595,0.89306164,0,0.72970384,0.7816226,778.0586,391.64835,901.75824,784.10254,708.3516,0.641052246,-0.168701172,0.776489258,4.987030029,-5.600128174,2.400054932,1,1,4,4,1,60,,318,RHC,Male,Yes,Left
05:06.4,0.8564696,0,0.4874853,0.39992464,0.7077048,0,0.374037,0.7614104,0.98206353,0,0.2883004,1.2155089,1.1952066,0,0.8382908,1.2577491,0.7821715,0,0.72970384,0.8598799,741.39197,921.9048,1328.4615,765.56775,853.8095,0.639343262,-0.126953125,0.779785156,1.555175781,-6.116027832,2.063598633,1,1,4,2,1,60,,318,RHC,Male,Yes,Left
05:06.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,318,RHC,Male,Yes,Left
05:07.4,1.240513,0,0.4874853,0.6563869,0.53521144,0,0.374037,0.8142305,0.7766723,0,0.2883004,0.8459032,1.0971196,0,0.8382908,0.92253906,0.45417044,0,0.72970384,0.9412097,827.619,606.0073,853.4066,814.3223,800.2198,0.640014648,-0.145690918,0.768432617,-0.84487915,-6.474914551,0.605621338,1,1,4,2,1,60,,318,RHC,Male,Yes,Left
05:08.4,0.6759298,0,0.4874853,0.58172524,0.83298033,0,0.374037,0.6346496,1.1815112,0,0.2883004,1.3856459,0.9550672,0,0.8382908,1.1113075,0.5614162,0,0.72970384,0.43663523,834.0659,413.00366,1263.1868,838.9011,813.91943,0.645141602,-0.153991699,0.770324707,4.411315918,-3.147735596,-1.405639648,1,1,4,2,1,60,,318,RHC,Male,Yes,Left
05:09.4,0.59737,0,0.4874853,0.657613,0.61467654,0,0.374037,0.752996,1.2014345,0,0.2883004,1.2634468,0.96372825,0,0.8382908,1.0395099,0.53879607,0,0.72970384,0.58988523,834.87177,1150.3663,706.7399,817.1429,753.8828,0.56048584,-0.189575195,0.770812988,-0.052337646,0.964508057,5.727233887,1,1,2,2,1,60,,318,RHC,Male,Yes,Left
05:10.4,0.5279695,0,0.4874853,0.84770167,0.65857345,0,0.374037,0.95047253,0.95467556,0,0.2883004,1.2223266,0.9340101,0,0.8382908,1.1516571,0.5865955,0,0.72970384,0.76536626,871.13556,749.0476,759.92676,853.8095,861.4652,0.651306152,-0.190979004,0.760070801,1.749572754,-4.844970703,-2.00378418,1,1,2,2,1,60,,318,RHC,Male,Yes,Left
