TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
21:27.0,1.1415722,1.0713702,0,1.0254923,0.62569743,0.61521196,0,0.47327042,0.70691735,0.54634094,0,0.53547186,0.5969981,0.057550225,0,0.95248055,0.21374501,-0.22828491,0,0.52849084,735.7509,786.1172,900.9524,769.19415,783.2967,0.10168457,0.092346191,1.014770508,3.327178955,-5.966491699,0.104675293,1,2,1,1,2,70,,208,RHC,Male,No,Left
21:27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,208,RHC,Male,No,Left
21:28.1,1.1415722,0.7915677,0,1.0254923,0.62569743,0.5694325,0,0.47327042,0.70691735,0.7804943,0,0.53547186,0.5969981,0.1738243,0,0.95248055,0.21374501,-0.34260342,0,0.52849084,803.44324,760.32965,826.0073,813.91943,799.41394,0.099853516,0.088928223,1.010375977,4.411315918,-4.979553223,-0.358886719,1,2,1,1,2,70,,208,RHC,Male,No,Left
21:29.1,1.1415722,0.6079108,0.80726206,1.0254923,0.62569743,0.326223,0.3970775,0.47327042,0.70691735,0.634864,0.319364,0.53547186,0.5969981,0.10877976,0.06526791,0.95248055,0.21374501,-0.35418034,-0.14883825,0.52849084,808.68134,761.9414,820.7692,770.80585,722.8571,0.09387207,0.092895508,1.012145996,3.252410889,-4.575805664,0.343933105,1,2,1,1,2,70,,208,RHC,Male,No,Left
21:30.1,1.5472615,0.85445344,1.0791823,1.0254923,1.171882,0.22693232,0.3474543,0.47327042,1.3096553,0.2862345,0.38397077,0.53547186,0.9575512,0.12850936,0.0859349,0.95248055,0.53546965,-0.47515988,-0.16903274,0.52849084,722.8571,765.9707,897.72894,614.87177,852.1978,0.101928711,0.088195801,0.997924805,3.80569458,-5.158996582,-0.583190918,1,1,1,1,1,70,,208,RHC,Male,No,Left
21:30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,208,RHC,Male,No,Left
21:31.1,1.2018837,0.71501434,1.1983595,1.0254923,0.46839058,0.20482534,0.4018464,0.47327042,0.7342663,0.5271746,0.3000412,0.53547186,0.89611655,0.08055291,0.17630999,0.95248055,0.58223397,-0.3551879,-0.1271905,0.52849084,805.4579,744.21246,817.1429,825.6044,713.1868,0.107299805,0.110656738,1.016174316,3.476715088,-5.031890869,-1.89163208,1,1,1,1,1,70,,208,RHC,Male,No,Left
21:32.1,1.1574895,0.71544456,0.90057963,1.0254923,0.6284458,0.24941896,0.4250756,0.47327042,0.90528744,0.44510967,-0.074106015,0.53547186,0.77694374,-0.115066916,0.22877844,0.95248055,0.41400132,-0.35859284,-0.20057215,0.52849084,745.42126,751.4652,801.4286,892.0879,713.9927,0.106750488,0.100036621,1.010803223,4.015045166,-4.620666504,0.291595459,1,1,1,1,1,70,,208,RHC,Male,No,Left
21:33.1,1.367786,0.50872546,0.779921,1.0254923,0.8664938,-0.037720967,0.2221658,0.47327042,0.90588456,0.17929552,-0.04095823,0.53547186,0.8438446,0.04910345,0.059161473,0.95248055,0.31230545,-0.42815524,-0.34321624,0.52849084,849.7802,747.4359,776.4469,844.1392,709.5604,0.098632813,0.085571289,1.005554199,2.751464844,-4.957122803,0.500946045,1,1,1,1,1,70,,208,RHC,Male,No,Left
21:33.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,208,RHC,Male,No,Left
21:34.2,1.4389919,0.17102571,0.6745989,1.0254923,0.98115027,0.09023355,0.32723513,0.47327042,0.89552236,0.2890475,-0.3183691,0.53547186,0.8372594,0.015276585,-0.3805009,0.95248055,0.22700498,-0.4225932,-0.31029552,0.52849084,812.71063,749.45056,781.28204,845.34796,917.8755,0.109008789,0.094482422,1.002990723,2.908477783,-5.555267334,-0.224304199,1,1,1,1,1,70,,208,RHC,Male,No,Left
