TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
21:33.8,0.7617615,1.144703,1.1881262,0.88998365,0.841352,0.40713316,0.7440404,0.723441,0.6878792,0.085231,0.5833918,0.50713843,0.8416724,0.054578055,0.28769296,0.46878046,0.61570215,-0.15148836,-0.08653866,0.42941168,672.8938,791.75824,857.4359,725.2747,705.9341,0.330383301,0.261047363,0.921508789,2.631835938,-5.383300781,-1.682281494,1,4,1,1,2,45,,216,LHC,Male,Yes,Right
21:34.8,0.7617615,1.144703,0.8996136,0.88998365,0.841352,0.40713316,0.520655,0.723441,0.6878792,0.085231,0.74667025,0.50713843,0.8416724,0.054578055,0.3943161,0.46878046,0.61570215,-0.15148836,-0.077884816,0.42941168,1082.2711,774.0293,849.7802,775.64105,738.97437,0.312805176,0.262390137,0.930175781,4.022521973,-2.489776611,1.128997803,1,2,1,1,2,45,,216,LHC,Male,Yes,Right
21:35.8,0.7617615,1.0619484,1.0518285,0.88998365,0.841352,0.7156008,0.55386925,0.723441,0.6878792,0.5525802,0.87115043,0.50713843,0.8416724,-0.04650052,0.2519736,0.46878046,0.61570215,-0.20624298,-0.22963224,0.42941168,861.8681,802.23444,826.4103,809.89014,737.3626,0.318237305,0.276794434,0.927612305,2.706604004,-2.302856445,1.899108887,1,2,1,1,2,50,,216,LHC,Male,Yes,Right
21:36.9,0.7617615,1.0817531,0.9645443,0.9515029,0.841352,0.8193656,0.49231452,0.5978312,0.6878792,0.641183,0.6521709,0.77627575,0.8416724,-0.04860275,0.0786763,0.631233,0.61570215,-0.316587,-0.15452944,0.4981125,754.2857,786.52014,815.5311,823.1868,715.2015,0.297729492,0.280334473,0.930236816,3.125305176,-3.633728027,0.665435791,1,1,1,1,1,50,,216,LHC,Male,Yes,Right
21:37.9,0.7617615,0.73231477,0.4748092,0.9160825,0.841352,0.5226811,0.26162496,0.5663225,0.6878792,0.529941,0.49095935,0.33276606,0.8416724,-0.1552097,-0.026488129,0.6029604,0.61570215,-0.34911424,-0.33687216,0.47857034,892.8938,786.1172,809.0842,840.9158,639.45056,0.292175293,0.274414063,0.930969238,2.347717285,-5.330963135,0.433654785,1,1,1,1,1,50,,216,LHC,Male,Yes,Right
21:38.9,0.7617615,0.51371783,0.40082312,0.90645105,0.841352,0.38157904,0.07411835,0.54528373,0.6878792,0.25095206,0.4079218,0.257159,0.8416724,-0.097630665,-0.116098866,0.6292177,0.61570215,-0.37855294,-0.533198,0.4800695,738.97437,791.75824,804.2491,857.8388,721.6484,0.292907715,0.277160645,0.93182373,3.087921143,-2.953338623,-0.119628906,1,1,1,1,1,50,,216,LHC,Male,Yes,Right
21:39.9,0.7617615,0.4565564,0.5738744,1.0858886,0.841352,-0.065909855,0.08493442,0.53847337,0.6878792,0.23181242,0.25404128,0.6958507,0.8416724,-0.037964597,0.002340297,0.61541444,0.61570215,-0.40127814,-0.35054028,0.64792323,892.8938,1206.3737,936.0073,903.36993,914.2491,0.298095703,0.280151367,0.930358887,3.461761475,-3.678588867,1.360778809,1,1,1,1,1,50,,216,LHC,Male,Yes,Right
21:40.9,0.7617615,0.32292476,0.1618071,1.0713481,0.841352,-0.28186375,-0.41626555,0.50704235,0.6878792,0.09063919,0.077508524,0.6220004,0.8416724,3.72E-04,-0.03057937,0.48984504,0.61570215,-0.5221921,-0.33902285,0.6534132,798.20514,810.293,778.0586,800.2198,949.707,0.288879395,0.280944824,0.937316895,3.985137939,-5.039367676,-0.261688232,1,1,1,1,1,50,,216,LHC,Male,Yes,Right
21:42.0,1.0763264,0.73197967,0.69652015,1.0713481,1.1281501,0.28915393,0.008761124,0.50704235,0.96154827,0.29307273,0.27665627,0.6220004,0.54973596,0.28342682,0.29040003,0.48984504,-0.06970449,0.2817951,0.19933838,0.6534132,754.68866,779.2674,808.2784,782.0879,809.89014,0.295166016,0.285949707,0.936462402,3.185119629,-4.329071045,-0.007476807,1,1,1,1,1,50,,216,LHC,Male,Yes,Right
21:43.0,1.1383909,0.70638347,0.6414536,0.80588484,1.1710864,0.4296604,0.16965316,0.6704369,1.1372812,0.33825815,0.42346185,0.7001949,0.5473513,0.08974237,-0.003527383,0.7321849,0.07710931,-0.060165294,-0.16733772,0.65061224,1009.7436,811.0989,816.337,808.2784,671.28204,0.265686035,0.285095215,0.936706543,4.022521973,-3.102874756,0.291595459,1,1,1,1,1,50,,216,LHC,Male,Yes,Right
21:44.0,1.1648151,0.7964122,0.8753831,1.0079554,1.235321,0.33575663,0.12284865,0.82736427,1.1171025,0.30752736,0.40443355,0.7055202,0.58483714,-0.025329892,0.052099705,0.72510725,0.1808407,-0.4269603,-0.44167835,0.6017332,832.0513,799.81683,807.0696,800.6227,703.5165,0.268493652,0.281555176,0.93560791,2.287902832,-3.69354248,0.463562012,1,1,1,1,1,50,,216,LHC,Male,Yes,Right
21:45.0,1.1648151,0.75491375,0.45225158,0.70410675,1.235321,-0.007933037,-0.21488023,0.5408544,1.1171025,0.25304732,-0.07356008,0.588649,0.58483714,0.020726277,0.13671067,0.71289897,0.1808407,-0.18191457,-0.16112825,0.36244527,869.12085,780.07324,803.44324,799.81683,883.6264,0.272033691,0.28918457,0.93927002,2.945861816,-4.381408691,0.246734619,1,1,1,1,1,50,,216,LHC,Male,Yes,Right
21:46.1,1.1648151,0.4776127,0.515554,0.4904678,1.235321,-0.08881035,0.115748525,0.44315875,1.1171025,0.2349304,0.04642325,0.61817074,0.58483714,0.034069892,-0.07862661,0.69124067,0.1808407,-0.34706748,-0.25434843,0.24730265,832.4542,791.3553,816.337,801.4286,747.03296,0.267272949,0.283569336,0.94140625,3.289794922,-4.261779785,0.433654785,1,1,1,1,1,50,,216,LHC,Male,Yes,Right
21:47.1,1.1648151,0.7138859,0.52338827,0.6403157,1.235321,0.34907222,0.1414018,0.7233485,1.1171025,0.4101178,-0.005037625,0.48408592,0.58483714,0.04243988,-0.11036838,0.50555795,0.1808407,-0.37818226,-0.3670173,0.09546883,805.4579,785.31134,816.7399,839.304,1076.63,0.268066406,0.287231445,0.93762207,4.007568359,-2.519683838,-0.829925537,1,1,1,1,1,50,,216,LHC,Male,Yes,Right
21:48.1,1.1648151,0.7691614,0.5180909,0.9747755,1.235321,0.45149776,0.05952677,0.67854947,1.1171025,0.33957464,-0.31500834,0.69869494,0.58483714,-0.03361773,-0.049566787,0.43318507,0.1808407,-0.40399924,-0.3349738,0.42065987,817.9487,1621.7949,801.02563,817.1429,865.4945,0.268859863,0.288635254,0.931762695,2.235565186,-5.772094727,-0.052337646,1,1,1,1,1,50,,216,LHC,Male,Yes,Right
21:48.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,216,LHC,Male,Yes,Right
21:49.1,1.1648151,0.108351745,0.781122,1.0984187,1.235321,0.2354765,1.62E-04,0.48626453,1.1171025,-0.06366503,-0.4713215,0.67308086,0.58483714,-0.170529,0.04680139,0.49157074,0.1808407,-0.43842214,-0.39121163,0.4320036,812.3077,767.1795,804.65204,782.8938,686.5934,0.274291992,0.291381836,0.937744141,3.244934082,-4.844970703,-0.186920166,1,1,1,1,1,50,,216,LHC,Male,Yes,Right
21:50.2,1.5696442,0.108351745,0.99338114,1.0383303,1.1035774,0.2354765,0.06650234,0.4968725,0.9760652,-0.06366503,0.3500848,0.7939982,0.89104736,-0.170529,0.13183405,0.7025944,0.3045329,-0.43842214,0.22863846,0.32998964,853.8095,773.22345,814.7253,792.96704,726.08057,0.268615723,0.290588379,0.940917969,2.512207031,-5.278625488,-0.306549072,1,1,1,1,1,50,,216,LHC,Male,Yes,Right
21:51.2,1.6630324,1.0226191,1.0637971,1.0266546,1.119798,0.51437706,0.29592267,0.60152465,1.0425559,-0.15006965,0.34103426,0.7897003,0.79463834,0.01707143,0.010320995,0.70610964,0.25414038,-0.23573366,0.03131214,0.5123794,821.1722,756.30035,800.6227,822.381,771.2088,0.266418457,0.276733398,0.942871094,2.98324585,-5.031890869,-0.583190918,1,1,1,1,1,50,,216,LHC,Male,Yes,Right
21:52.2,1.5735353,1.137027,1.0848923,0.93485713,1.0663216,0.6669695,0.5470444,0.91154283,0.5798706,0.0508973,0.23359327,1.2724172,0.5716783,-0.006049176,-0.123272896,1.2473633,0.19047597,-0.21298806,-0.23517244,0.7693898,826.4103,738.97437,791.75824,784.5055,795.38464,0.264587402,0.285888672,0.94519043,2.818756104,-4.029998779,0.508422852,1,1,1,1,1,50,,216,LHC,Male,Yes,Right
21:53.2,1.5735353,1.2352701,1.2319299,1.0130407,1.0663216,0.80553305,0.7469667,1.015053,0.5798706,0.006904326,0.22528285,1.2724172,0.5716783,-0.05924876,-0.12951149,1.3755896,0.19047597,-0.1747759,-0.17122169,0.80691504,852.6007,753.8828,803.0403,813.1135,726.08057,0.260620117,0.279907227,0.94543457,3.544006348,-4.127197266,-0.388793945,1,1,1,1,1,50,,216,LHC,Male,Yes,Right
21:54.2,1.503613,0.81215113,0.8941082,1.1799241,1.0588228,0.3454906,0.49822202,0.5143905,0.63162136,0.35057104,0.39107952,0.5820685,0.6996237,0.262264,0.052682042,0.6324816,0.40166757,-0.28434324,-0.32666352,0.11250889,809.89014,754.68866,798.60803,813.91943,783.69965,0.268981934,0.288208008,0.953369141,3.140258789,-4.052429199,0.02243042,1,1,1,1,1,50,,216,LHC,Male,Yes,Right
21:55.3,1.2808849,1.0225577,1.0725209,1.154112,1.2333003,0.6230117,0.75113076,0.80798215,1.0373933,0.56672066,0.5184719,0.87261534,0.5999181,0.19910689,-0.023047479,0.61858946,0.38098854,-0.25130534,-0.31199488,0.32141012,808.2784,754.68866,801.4286,815.5311,746.2271,0.271118164,0.28338623,0.941772461,3.237457275,-5.405731201,0.583190918,1,1,1,1,1,50,,216,LHC,Male,Yes,Right
21:56.3,0.80470324,0.72376096,0.9124008,1.2077111,1.0904729,0.4684301,0.6546603,0.86617976,0.9799159,0.565333,0.4924341,0.6490224,0.50888205,-0.049096234,-0.048533093,0.4673971,0.2307284,-0.2459948,-0.3624424,0.26619247,810.696,763.1502,798.20514,801.02563,666.4469,0.263549805,0.278503418,0.942993164,3.76083374,-4.411315918,-0.86730957,1,1,1,1,1,50,,216,LHC,Male,Yes,Right
21:57.3,1.5276171,0.42992827,0.21692872,0.14230187,1.3986915,0.051795475,-0.18171513,0.2630384,0.98997617,0.25074673,0.2639151,0.5179514,0.75517106,-0.098998725,-0.19120188,0.77857196,0.22138943,-0.48493764,-0.47173157,0.3390112,829.6337,775.64105,797.8022,811.9048,790.54944,0.269836426,0.281433105,0.941101074,3.641204834,-5.031890869,-0.538330078,1,1,1,1,1,50,,216,LHC,Male,Yes,Right
21:58.3,1.2679876,0.4343982,0.32296747,0.23077868,1.2258807,-0.18791844,0.08811697,0.14548618,1.0187824,0.31881455,0.09550187,0.5786954,0.701401,-0.19264647,-0.15425415,0.72677624,0.09842322,-0.5813128,-0.53855735,0.25160998,820.3663,778.46155,798.60803,819.9634,793.7729,0.266906738,0.298583984,0.942993164,3.596343994,-4.314117432,-0.306549072,1,1,1,1,1,50,,216,LHC,Male,Yes,Right
21:59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,216,LHC,Male,Yes,Right
21:59.4,1.2893316,1.0059563,0.9683424,0.6235259,1.052937,0.9098213,0.9725107,0.6044155,0.9263479,0.95709527,0.79986155,0.7388653,0.4939154,-0.071089596,-0.105007224,0.5086032,0.17433697,-0.3383937,-0.58454514,0.112854116,829.6337,770.40295,806.26373,821.5751,783.2967,0.257080078,0.285217285,0.934875488,3.185119629,-4.538421631,0.373840332,1,1,1,1,1,50,,216,LHC,Male,Yes,Right
22:00.4,1.4680777,0.30171078,0.6034086,0.3639276,1.310802,0.016377892,-0.05439262,0.08596405,0.7807359,0.005518062,0.13400206,0.45752746,0.6682926,-0.15469171,0.11320901,0.6210224,0.19517395,-0.52691984,-0.19774845,0.5551694,903.36993,790.14655,810.293,807.8755,767.98535,0.277770996,0.291809082,0.93951416,2.89352417,-7.439422607,1.099090576,1,1,1,1,1,50,,216,LHC,Male,Yes,Right
