TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
46:22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-9E89,136,RHC,Male,Yes,Right
46:22.2,0.89913034,0.42658237,0,0.6037854,0.5273376,0.05429177,0,0.35933375,0.789019,0.5083456,0,0.63414156,0.87515014,1.075282,0,1.1508403,0.5228394,1.000281,0,0.9014098,793.36993,751.4652,608.022,798.60803,693.0403,0.333557129,-0.133605957,0.960998535,1.585083008,-6.287994385,-7.910461426,1,1,1,1,1,55,,136,RHC,Male,Yes,Right
46:23.2,0.37087458,0.42658237,0,0.31325042,0.2168552,0.05429177,0,0.23387054,0.5684286,0.5083456,0,0.46375227,0.98452926,1.075282,0,1.1907139,0.52979493,1.000281,0,0.99753714,753.0769,733.3333,456.11722,767.1795,886.8498,0.336914063,-0.07019043,0.978820801,3.035583496,-19.61166382,-6.332855225,1,1,1,1,1,55,,136,RHC,Male,Yes,Right
46:24.2,1.3531256,0.42658237,0,0.31325042,0.80109197,0.05429177,0,0.23387054,0.92232585,0.5083456,0,0.46375227,0.69333744,1.075282,0,1.1907139,0.26861244,1.000281,0,0.99753714,776.04395,754.68866,535.4945,751.4652,778.0586,0.44732666,-0.116394043,0.866516113,0.732727051,-8.837585449,1.816864014,1,1,1,1,1,55,,136,RHC,Male,Yes,Right
46:25.2,1.0264367,0.42658237,0,0.31325042,0.8006589,0.05429177,0,0.23387054,0.79928696,0.5083456,0,0.46375227,0.55304134,1.075282,0,1.1907139,0.050961945,1.000281,0,0.99753714,748.24176,870.32965,637.03296,759.5238,713.9927,0.581542969,-0.169067383,0.836181641,5.039367676,-3.267364502,1.241149902,1,1,1,1,1,55,,136,RHC,Male,Yes,Right
46:26.2,0.7187554,0.42658237,0,0.70617586,0.6736731,0.05429177,0,0.8671506,0.7011844,0.5083456,0,1.2725195,0.5579027,1.075282,0,1.0619706,0.09865548,1.000281,0,0.8361451,785.31134,735.34796,491.17215,765.16486,706.7399,0.564208984,-0.187438965,0.832763672,3.85055542,-6.923522949,1.413116455,1,1,1,1,1,55,,136,RHC,Male,Yes,Right
46:27.2,0.8750398,0.42658237,0,0.8084722,0.71088606,0.05429177,0,0.88531977,0.760602,0.5083456,0,1.3084501,0.66123074,1.075282,0,1.0418738,0.18137819,1.000281,0,0.67507,775.2381,617.6923,645.09155,786.52014,694.65204,0.577392578,-0.156799316,0.825500488,6.452484131,-3.431854248,-2.078552246,1,1,1,1,1,55,,136,RHC,Male,Yes,Right
46:28.2,0.55295277,0.42658237,0,0.6462635,0.3871085,0.05429177,0,0.5563288,0.9161626,0.5083456,0,1.0634446,0.5334881,1.075282,0,0.92141867,0.07947545,1.000281,0,0.62131923,777.25275,745.42126,543.1502,772.8205,803.8461,0.544921875,-0.182067871,0.817810059,2.930908203,-0.829925537,3.095397949,1,1,1,1,1,55,,136,RHC,Male,Yes,Right
46:29.2,0.9003469,0.42658237,0,0.7228374,0.58805627,0.05429177,0,0.12937443,0.94005924,0.5083456,0,0.81301737,0.45942366,1.075282,0,0.95820725,0.095729165,1.000281,0,0.65291244,746.2271,881.6117,499.6337,753.0769,807.0696,0.589477539,-0.20880127,0.823852539,4.172058105,-6.669311523,-0.02243042,1,1,1,1,1,55,,136,RHC,Male,Yes,Right
46:30.2,1.0578808,0.42658237,0,0.8782024,0.6669135,0.05429177,0,0.49674925,0.7450201,0.5083456,0,1.0825025,0.6395844,1.075282,0,0.8021218,0.07279795,1.000281,0,0.47513443,767.98535,754.2857,580.2198,773.22345,674.5055,0.540527344,-0.228820801,0.806884766,2.257995605,-5.196380615,1.158905029,1,1,1,1,1,55,,136,RHC,Male,Yes,Right
