TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
53:18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-9E89,137,RHS,Male,Yes,Right
53:18.2,0.55984086,0,0.9761447,0.98657215,0.63982415,0,0.7091882,0.68319076,0.6018193,0,0.6972477,0.6132614,0.8060591,0,0.18123727,0.42640576,0.70722306,0,0.10242459,0.42339405,802.23444,751.4652,786.1172,800.6227,801.02563,0.613830566,-0.068359375,0.834350586,6.041259766,-7.888031006,3.147735596,1,1,1,1,1,50,,137,RHS,Male,Yes,Right
53:19.2,0.55984086,0,0.82424736,0.9436759,0.63982415,0,0.50563556,0.44765303,0.6018193,0,0.66792357,0.5153122,0.8060591,0,0.16817017,0.5660884,0.70722306,0,0.042185176,0.41470885,791.3553,897.72894,792.96704,811.9048,575.38464,0.610656738,-0.167419434,0.798706055,-0.777587891,-7.013244629,-1.121520996,1,1,1,1,1,50,,137,RHS,Male,Yes,Right
53:20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,137,RHS,Male,Yes,Right
53:20.2,0.68748033,0,0.807582,0.9436759,0.49731323,0,0.2805509,0.44765303,0.64532465,0,0.20207797,0.5153122,1.139607,0,0.025758363,0.5660884,0.99583966,0,-0.20524153,0.41470885,783.69965,846.55676,781.685,783.69965,937.619,0.601074219,-0.251342773,0.77935791,-15.41717529,-1.682281494,7.446899414,1,1,1,1,1,50,,137,RHS,Male,Yes,Right
53:20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,137,RHS,Male,Yes,Right
53:21.3,0.7391501,0,0.12718605,0.9436759,0.6556906,0,-0.092832476,0.44765303,0.9038973,0,-0.13717604,0.5153122,1.1373026,0,0.007708504,0.5660884,1.1400884,0,-0.302378,0.41470885,778.46155,741.39197,800.2198,774.83514,713.1868,0.569702148,-0.391052246,0.77520752,3.394470215,-4.732818604,-0.194396973,1,1,4,1,1,50,,137,RHS,Male,Yes,Right
53:22.3,0.50701565,0,0.49800566,0.52755284,0.8499239,0,0.07571492,0.03542129,0.759974,0,0.054197393,0.4932005,1.0173986,0,-8.53E-05,0.7498478,1.1469475,0,-0.059283216,0.5570227,786.1172,843.3333,801.02563,811.50183,760.7326,0.497436523,-0.41998291,0.750915527,0.351409912,-5.181427002,2.482299805,1,1,4,1,1,50,,137,RHS,Male,Yes,Right
53:23.3,0.45231822,0,0.053727377,0.5445116,0.75776166,0,-0.108256906,0.25929633,0.9381143,0,0.34727836,0.71812177,1.0606936,0,0.17933823,0.75321627,1.088997,0,-0.022683617,0.5221281,792.1612,882.01465,791.3553,811.0989,662.01465,0.540405273,-0.415039063,0.727905273,3.910369873,-11.27502441,-0.321502686,1,1,1,1,1,50,,137,RHS,Male,Yes,Right
53:24.3,0.32416052,0,-0.2854035,0.45032734,0.3117087,0,-0.3208577,0.6572705,1.0604613,0,0.26687658,0.72468257,1.0620102,0,0.13208362,0.6675594,1.1543317,0,-0.14853534,0.60480076,824.3956,683.36993,784.5055,822.381,880,0.570800781,-0.42388916,0.728942871,4.097290039,-2.452392578,-0.702819824,1,1,1,1,1,50,,137,RHS,Male,Yes,Right
