TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Partecipant,Test,Gender,English,Dominance
54:31.0,0.4367989,0.8841134,0.56366,10.862.408,0.36932954,0.6970008,0.70537645,10.506.294,0.42440912,0.1097503,0.27824375,0.6536454,0.5098165,-0.33692428,0.6497229,0.66931736,0.5041103,-0.3463426,0.406733,-0.018839922,12.490.842,8.324.542,7.752.381,84.010.986,8.324.542,0.011047363,-0.003295898,102.581.787.109.375,3.312.225.341.796.870,-1.951.446.533.203.120,-0.246734619,1,2,1,1,2,90,,201,RHS,Female,No,Right
54:31.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,201,RHS,Female,No,Right
54:31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,201,RHS,Female,No,Right
54:31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,201,RHS,Female,No,Right
54:31.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,201,RHS,Female,No,Right
54:32.0,0.4367989,0.826283,0.5691653,10.862.408,0.36932954,-0.08132765,-0.10593972,10.506.294,0.42440912,0.019882852,0.057738002,0.6536454,0.5098165,-0.2015378,-0.10560875,0.66931736,0.5041103,-0.28139606,-0.33037585,-0.018839922,21.153.847,80.505.493,76.516.486,73.776.556,8.231.868,0.005493164,-0.001159668,10.157.470.703.125,303.558.349.609.375,-465.057.373.046.875,-0.762634277,1,2,1,1,2,90,,201,RHS,Female,No,Right
54:32.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,201,RHS,Female,No,Right
54:33.0,0.4367989,0.43370667,0.49653915,10.862.408,0.36932954,-0.29228157,0.055872336,10.506.294,0.42440912,-0.003543381,0.14491837,0.6536454,0.5098165,-0.07741136,-0.16977789,0.66931736,0.5041103,-0.4271967,-0.5206258,-0.018839922,2.332.967,7.937.729,7.740.293,7.490.476,8.521.978,-3.05E+06,0.00177002,101.580.810.546.875,294.586.181.640.625,-4.807.586.669.921.870,0.882263184,1,2,1,1,2,90,,201,RHS,Female,No,Right
54:33.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,201,RHS,Female,No,Right
54:33.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,201,RHS,Female,No,Right
