Timestamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
12:06.1,0.49848232,0.07237579,0.0,0.0,0.41387916,0.1685788,0.0,0.0,0.21890776,0.16691098,0.0,0.0,0.72655016,-0.018986262,0.0,0.0,0.7916625,-0.3454716,0.0,0.0,686.99634,749.0476,571.75824,672.49084,633.00366,0.266052246,-0.221008301,0.951477051,5.547790527,-5.031890869,1.704711914,1.0,1.0,1.0,2.0,1.0,50.0,,103,RHS,M,Yes,Left
12:07.1,0.49848232,-0.1448725,0.0,0.0,0.41387916,-0.18568428,0.0,0.0,0.21890776,0.25722942,0.0,0.0,0.72655016,-0.11303303,0.0,0.0,0.7916625,-0.30899778,0.0,0.0,710.7692,748.24176,506.0806,709.9634,772.4176,0.267028809,-0.200866699,0.958740234,5.173950195,-5.757141113,-1.136474609,1.0,1.0,1.0,2.0,1.0,50.0,,103,RHS,M,Yes,Left
12:08.1,0.61536354,0.20070143,0.0,0.8925442,0.36824718,-0.14947371,0.0,0.6594724,0.7450636,0.23071046,0.0,0.93248016,0.82121086,-0.15838893,0.0,0.9478152,0.5639416,-0.4908047,0.0,0.9566364,673.69965,741.79486,491.5751,719.6337,841.7216,0.25982666,-0.061218262,0.978271484,2.175750732,-5.345916748,0.500946045,1.0,1.0,1.0,2.0,1.0,50.0,,103,RHS,M,Yes,Left
12:08.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,103,RHS,M,Yes,Left
12:09.1,0.39566997,0.2914845,0.0,0.6742969,0.11049779,-0.08337128,0.0,0.046318196,0.7257228,0.15476318,0.0,0.3957219,0.7384646,-0.16109933,0.0,0.9640225,0.56023115,-0.5015237,0.0,1.0179915,690.2198,756.30035,715.2015,699.89014,695.8608,0.396118164,0.294616699,0.887207031,7.775878906,-4.433746338,4.837493896,1.0,1.0,1.0,4.0,1.0,50.0,,103,RHS,M,Yes,Left
12:10.1,0.39566997,0.42411193,0.0,0.71802723,0.11049779,0.24609232,0.0,0.057834804,0.7257228,0.17867796,0.0,0.37458435,0.7384646,-0.04876464,0.0,0.99024916,0.56023115,-0.61494106,0.0,1.0122156,730.5128,769.19415,571.75824,705.12823,765.56775,0.488525391,0.294677734,0.822692871,0.463562012,-2.968292236,3.200073242,1.0,1.0,1.0,2.0,1.0,50.0,,103,RHS,M,Yes,Left
12:11.1,0.88404137,-0.066377,0.0,0.17709652,0.48217797,0.09507297,0.0,0.20720622,0.7102281,0.3063558,0.0,0.556987,0.6612415,-0.03888308,0.0,0.9150166,0.66663134,-0.3785423,0.0,0.76059014,735.7509,752.27106,463.7729,704.3223,764.7619,0.444702148,0.435180664,0.773803711,20.2696228,3.558959961,-0.209350586,1.0,1.0,1.0,2.0,1.0,55.0,,103,RHS,M,Yes,Left
12:12.1,0.6631853,0.23008175,0.0,0.17709652,0.53847605,0.06817179,0.0,0.20720622,0.5184386,0.09542241,0.0,0.556987,0.79440737,0.034243822,0.0,0.9150166,0.78403974,-0.17214112,0.0,0.76059014,745.42126,762.74725,523.00366,756.30035,709.15753,0.511901855,0.378417969,0.786682129,3.185119629,-4.643096924,2.287902832,1.0,1.0,1.0,2.0,1.0,55.0,,103,RHS,M,Yes,Left
12:13.1,0.7492969,0.2619259,0.0,0.3376194,0.5434724,0.003665882,0.0,0.45829737,0.77254736,0.10126937,0.0,0.34798068,0.8375155,0.04221189,0.0,0.7514945,0.8336373,-0.034132358,0.0,0.7502055,732.9304,778.0586,465.78754,708.7546,635.0183,0.390808105,0.374084473,0.839355469,10.12359619,-9.293670654,25.8996582,1.0,1.0,1.0,2.0,1.0,55.0,,103,RHS,M,Yes,Left
12:14.1,1.010048,0.1951218,0.0,0.5987163,0.77080977,-0.1419043,0.0,0.5244136,1.0236735,-0.076472305,0.0,0.4017126,0.8078679,0.04039851,0.0,0.82030773,0.92790174,-0.22520298,0.0,0.7711142,757.9121,768.7912,444.83517,753.8828,866.30035,0.341430664,0.291564941,0.915649414,2.646789551,-1.637420654,7.372131348,1.0,1.0,1.0,4.0,1.0,55.0,,103,RHS,M,Yes,Left
