TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
03:00.5,1.0491239,0.6250735,0.7989835,0.3006794,0.5589159,0.3213567,0.32837954,0.13146356,0.5733069,0.25330254,0.3173265,0.3623575,0.7132236,0.8203052,0.59804684,-0.77183247,0.39214998,0.6219992,0.45786133,-1.4945165,794.17584,774.0293,794.9817,0,802.23444,-0.087219238,0.041320801,1.003417969,1.674804688,-7.088012695,1.00189209,1,2,1,1,4,35,,222,LHC,Male,No,Right
03:01.5,1.0491239,0.93796456,0.7989835,0.3006794,0.5589159,0.19537821,0.32837954,0.13146356,0.5733069,0.23087029,0.3173265,0.3623575,0.7132236,0.47622436,0.59804684,-0.77183247,0.39214998,0.20906536,0.45786133,-1.4945165,786.52014,736.55676,761.13556,0,734.1392,-0.060119629,0.044494629,1.014343262,2.153320313,-5.547790527,0.515899658,1,2,1,1,4,35,,222,LHC,Male,No,Right
03:02.5,1.0491239,0.8530886,0.67316055,0.3006794,0.5589159,0.271904,0.26399577,0.13146356,0.5733069,0.45356992,0.6502648,0.3623575,0.7132236,0.4559312,0.6712051,-0.77183247,0.39214998,0.1871869,-0.016720297,-1.4945165,819.9634,765.16486,787.326,1621.7949,724.0659,-0.06854248,0.036193848,1.011535645,2.04864502,-4.478607178,1.861724854,1,2,1,1,4,35,,222,LHC,Male,No,Right
03:03.6,1.1363252,0.6571354,0.6355403,0.3006794,0.627765,0.18015805,0.34386846,0.13146356,0.8055993,0.6586736,0.82573754,0.3623575,0.7954627,0.38595584,0.7042405,-0.77183247,0.56789225,0.06321689,0.38902846,-1.4945165,840.5128,771.2088,784.5055,0,772.8205,-0.048522949,0.030944824,1.030578613,3.065490723,-10.60211182,0.209350586,1,1,1,1,4,35,,222,LHC,Male,No,Right
03:03.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,222,LHC,Male,No,Right
03:04.6,0.8395224,0.9806208,0.5879596,0.3006794,0.26926112,0.45280415,0.49872604,0.13146356,0.73718864,0.57651424,0.7784157,0.3623575,0.83132446,0.4315722,0.89604694,-0.77183247,0.6168114,-0.010948611,0.61430895,-1.4945165,837.28937,776.8498,776.04395,3.6263735,685.78754,-0.02935791,0.035583496,0.995605469,1.95892334,-6.67678833,2.235565186,1,1,1,1,4,35,,222,LHC,Male,No,Right
03:05.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,222,LHC,Male,No,Right
03:05.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,222,LHC,Male,No,Right
03:05.6,0.8395224,0.60066396,0.4257075,0.3006794,0.26926112,0.4368418,0.30750477,0.13146356,0.73718864,0.41686386,0.54508585,0.3623575,0.83132446,0.35309115,0.8446194,-0.77183247,0.6168114,0.37096283,0.74494034,-1.4945165,1146.7399,771.6117,757.9121,1621.7949,796.99634,-0.007263184,0.007141113,1.009521484,4.635620117,-5.83190918,0.785064697,1,1,1,1,4,35,,222,LHC,Male,No,Right
03:06.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,222,LHC,Male,No,Right
03:06.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,222,LHC,Male,No,Right
03:06.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,222,LHC,Male,No,Right
03:06.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,222,LHC,Male,No,Right
03:06.6,0.8395224,1.158728,0.48261943,0.3006794,0.26926112,0.557248,0.3185779,0.13146356,0.73718864,0.41292778,0.43518,0.3623575,0.83132446,0.39234895,0.7920921,-0.77183247,0.6168114,0.25790045,0.74336725,-1.4945165,767.5824,759.5238,783.69965,713.5897,689.81683,-0.009887695,0.021911621,1.005126953,1.652374268,-5.891723633,2.228088379,1,2,1,1,2,35,,222,LHC,Male,No,Right
03:06.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,222,LHC,Male,No,Right
03:07.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,222,LHC,Male,No,Right
03:07.6,0.8395224,1.0482994,0.8630607,0.3006794,0.26926112,0.62472975,0.63347554,0.13146356,0.73718864,0.5584612,0.63114184,0.3623575,0.83132446,0.3145836,0.74803686,-0.77183247,0.6168114,0.080444306,0.4290738,-1.4945165,778.86444,803.0403,808.68134,1554.1025,904.57874,-0.02130127,0.027587891,1.010864258,2.093505859,1.480407715,2.100982666,1,2,1,1,2,35,,222,LHC,Male,No,Right
03:07.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,222,LHC,Male,No,Right
03:08.6,0.8395224,0.85231847,0.96665746,0.3006794,0.26926112,0.27544054,0.731026,0.13146356,0.73718864,0.32085815,0.50791496,0.3623575,0.83132446,0.2602478,0.6323457,-0.77183247,0.6168114,0.08776772,0.34588245,-1.4945165,772.4176,784.10254,796.99634,1621.7949,728.49817,-0.037109375,0.023498535,1.018432617,2.213134766,-4.987030029,1.428070068,1,2,1,1,4,35,,222,LHC,Male,No,Right
03:08.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,222,LHC,Male,No,Right
03:09.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,222,LHC,Male,No,Right
03:09.6,0.8395224,0.8290004,0.8006014,0.3006794,0.26926112,0.28726348,0.51974267,0.13146356,0.73718864,0.588772,0.45956776,0.3623575,0.83132446,0.6147608,0.45493534,-0.77183247,0.6168114,0.4027044,0.21541305,-1.4945165,754.68866,798.20514,800.6227,0,975.09155,-0.03704834,0.015930176,1.016601563,3.327178955,-5.226287842,-1.099090576,1,2,1,1,4,35,,222,LHC,Male,No,Right
03:10.6,0.8395224,0.68974555,0.5208167,0.3006794,0.26926112,0.32829502,0.2902489,0.13146356,0.73718864,0.44224086,0.3620966,0.3623575,0.83132446,0.5906068,0.44770515,-0.77183247,0.6168114,0.22410735,0.105961725,-1.4945165,799.41394,801.8315,786.9231,689.81683,694.65204,-0.055236816,9.77E-04,1.014648438,2.818756104,-6.430053711,-0.007476807,1,2,1,1,4,35,,222,LHC,Male,No,Right
03:11.7,0.8395224,0.6799407,0.41799605,0.3006794,0.26926112,0.36882338,0.35775563,0.13146356,0.73718864,0.43945473,0.38459593,0.3623575,0.83132446,0.2882112,0.3434087,-0.77183247,0.6168114,-0.21318412,0.020620046,-1.4945165,786.9231,788.5348,787.72894,1207.1794,702.71063,-0.04083252,0.020385742,1.02746582,3.69354248,-2.474822998,-0.13458252,1,2,1,1,4,35,,222,LHC,Male,No,Right
03:12.7,0.8395224,0.50077355,0.094707526,0.3006794,0.26926112,0.088582665,0.09912842,0.13146356,0.73718864,0.43945473,0.33484396,0.3623575,0.83132446,0.17138864,0.37558362,-0.77183247,0.6168114,-0.33590811,-0.11442344,-1.4945165,776.4469,797.3993,793.36993,818.3516,655.16486,-0.03918457,0.018188477,1.00567627,3.596343994,-4.471130371,-1.188812256,1,2,1,1,4,35,,222,LHC,Male,No,Right
03:13.7,1.3292581,0.6630237,0.41494954,0.3006794,0.87178403,0.10206001,0.3144106,0.13146356,0.38668355,0.019835653,0.5056452,0.3623575,0.7474439,0.09461308,0.34522647,-0.77183247,0.3293026,-0.31656018,0.006068908,-1.4945165,782.8938,802.6374,783.69965,1622.6007,875.9707,-0.027954102,0.02734375,1.021850586,2.557067871,-11.02081299,3.566436768,1,1,1,1,4,35,,222,LHC,Male,No,Right
03:14.8,1.4224576,0.8574992,0.6592824,0.3006794,1.0255606,0.44097742,0.40157732,0.13146356,0.29670456,0.52983284,0.28104895,0.3623575,0.7222608,0.09015175,0.34538496,-0.77183247,0.3334036,0.014097805,0.022990631,-1.4945165,823.9927,799.81683,799.011,616.8865,750.2564,-0.02166748,0.005981445,1.011413574,2.721557617,-3.85055542,0.807495117,1,1,1,1,4,35,,222,LHC,Male,No,Right
03:15.8,1.4224576,0.86359507,0.26825383,0.3006794,1.0255606,0.39134282,0.191554,0.13146356,0.29670456,0.6392421,0.47200665,0.3623575,0.7222608,0.29357257,0.80547005,-0.77183247,0.3334036,0.05570843,0.6916958,-1.4945165,874.7619,784.10254,775.64105,1621.7949,782.8938,-0.016113281,-3.66E-04,1.019348145,2.82623291,-6.452484131,-0.246734619,1,1,1,1,4,35,,222,LHC,Male,No,Right
03:15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,222,LHC,Male,No,Right
03:16.8,1.4224576,0.5583961,0.4425391,0.3006794,1.0255606,0.058613718,0.12874012,0.13146356,0.29670456,0.688442,0.51904684,0.3623575,0.7222608,0.46911973,0.94041103,-0.77183247,0.3334036,0.1336018,0.98281485,-1.4945165,797.8022,796.99634,792.1612,1621.7949,810.696,-0.031921387,0.002807617,1.01751709,3.035583496,-8.426361084,-0.04486084,1,2,1,1,4,35,,222,LHC,Male,No,Right
03:16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,222,LHC,Male,No,Right
03:17.8,1.4224576,0.4647017,0.18141909,0.3006794,1.0255606,0.2731456,-0.048208755,0.13146356,0.29670456,0.31733564,0.35539356,0.3623575,0.7222608,0.18786092,0.38832733,-0.77183247,0.3334036,-0.13668922,0.25327763,-1.4945165,765.16486,785.31134,794.17584,361.8315,729.304,-0.02722168,0.001525879,1.025085449,2.265472412,-4.187011719,-0.007476807,1,2,1,1,4,35,,222,LHC,Male,No,Right
03:18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,222,LHC,Male,No,Right
03:18.8,1.3594472,0.43125924,0.15505324,0.3006794,1.3928168,0.3321114,0.26514673,0.13146356,0.99604136,0.3350752,0.38405746,0.3623575,0.8244111,0.059172545,0.33832732,-0.77183247,0.67865634,-0.33351707,0.05685426,-1.4945165,717.619,755.4945,792.1612,0,873.1502,-0.004272461,-0.004882813,1.004211426,2.018737793,-8.897399902,-0.762634277,1,1,1,1,4,35,,222,LHC,Male,No,Right
03:19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,222,LHC,Male,No,Right
03:19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,222,LHC,Male,No,Right
03:19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,222,LHC,Male,No,Right
03:19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,222,LHC,Male,No,Right
03:19.8,1.2926359,0.66299546,0.16566436,0.3006794,1.2711,-0.16036841,0.28582606,0.13146356,0.96744096,0.24746047,0.502685,0.3623575,0.8091796,0.04684892,0.6197675,-0.77183247,0.71039313,-0.11200111,0.3803142,-1.4945165,773.6264,801.02563,776.04395,633.00366,683.36993,0.012390137,-0.001647949,1.040100098,4.000091553,0.097198486,0.897216797,1,1,1,1,4,35,,222,LHC,Male,No,Right
03:20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,222,LHC,Male,No,Right
03:20.8,1.2926359,0.8787952,0.06911646,0.3006794,1.2711,-0.120693,0.28320518,0.13146356,0.96744096,-0.13152526,0.502685,0.3623575,0.8091796,0.14466172,0.76571065,-0.77183247,0.71039313,0.0663296,0.52435684,-1.4945165,887.6557,799.41394,797.8022,291.3187,802.23444,-0.018554688,0.014648438,1.013977051,3.521575928,-3.00567627,1.061706543,1,1,1,1,2,35,,222,LHC,Male,No,Right
03:20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,222,LHC,Male,No,Right
03:21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,222,LHC,Male,No,Right
03:21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,222,LHC,Male,No,Right
03:21.8,1.2926359,0.8787952,0.9224075,0.3006794,1.2711,-0.120693,0.41735727,0.13146356,0.96744096,-0.13152526,0.24847211,0.3623575,0.8091796,0.14466172,0.8716904,-0.77183247,0.71039313,0.0663296,0.50672626,-1.4945165,817.9487,811.0989,813.1135,0,756.7033,-0.043640137,0.012817383,1.008911133,3.536529541,-4.747772217,0.02243042,1,2,1,1,4,35,,222,LHC,Male,No,Right
03:22.9,1.2926359,0.6096649,0.92490965,0.3006794,1.2711,0.35948944,0.4392779,0.13146356,0.96744096,0.37803394,0.43308598,0.3623575,0.8091796,0.3035199,0.6604828,-0.77183247,0.71039313,0.46630132,0.36853883,-1.4945165,830.84247,805.8608,801.4286,1613.7362,732.52747,-0.04888916,0.010314941,1.024780273,3.469238281,-7.648773193,-0.456085205,1,2,1,1,4,35,,222,LHC,Male,No,Right
03:23.9,1.2926359,0.56949186,0.7724791,0.3006794,1.2711,0.2543079,0.27213705,0.13146356,0.96744096,0.37677988,0.2967722,0.3623575,0.8091796,0.25260338,0.30540824,-0.77183247,0.71039313,0.20697649,0.050776225,-1.4945165,832.4542,809.4872,799.011,1621.7949,905.38464,-0.043701172,0.017028809,1.01385498,3.925323486,-4.082336426,-1.719665527,1,2,1,1,4,35,,222,LHC,Male,No,Right
