TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
44:17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-9E89,135,LHS,Male,Yes,Right
44:17.7,0.8843092,1.2615815,0,0.7193476,0.6267767,0.88933176,0,0.6387196,0.59425324,0.6680819,0,0.5763171,0.56397754,0.6587637,0,0.8343677,0.26926523,0.46633244,0,0.64379805,466.5934,830.0366,437.98535,758.315,685.78754,0.293273926,-0.126342773,0.993530273,-2.220611572,-32.25494385,-20.21728516,1,2,1,2,2,55,,135,LHS,Male,Yes,Right
44:18.7,0.8843092,1.2615815,0,0.7193476,0.6267767,0.88933176,0,0.6387196,0.59425324,0.6680819,0,0.5763171,0.56397754,0.6587637,0,0.8343677,0.26926523,0.46633244,0,0.64379805,674.5055,840.5128,417.83884,736.1539,713.9927,0.485229492,-0.090576172,0.871459961,9.293670654,-13.77975464,-7.56652832,1,2,1,1,2,55,,135,LHS,Male,Yes,Right
44:19.7,0.8843092,1.2615815,0,0.7193476,0.6267767,0.88933176,0,0.6387196,0.59425324,0.6680819,0,0.5763171,0.56397754,0.6587637,0,0.8343677,0.26926523,0.46633244,0,0.64379805,792.96704,834.4689,490.3663,823.1868,786.9231,0.65045166,-0.024108887,0.807067871,2.04864502,-5.8543396,-2.302856445,1,2,1,2,2,55,,135,LHS,Male,Yes,Right
44:20.7,0.8843092,1.2615815,0,0.8158097,0.6267767,0.88933176,0,0.4869764,0.59425324,0.6680819,0,0.9579318,0.56397754,0.6587637,0,0.56255007,0.26926523,0.46633244,0,0.7055392,857.03296,867.9121,709.9634,806.6667,830.84247,0.629150391,-0.023742676,0.801208496,5.689849854,-4.755249023,4.493560791,1,2,1,1,2,55,,135,LHS,Male,Yes,Right
44:21.7,0.8843092,1.2615815,0,0.6775892,0.6267767,0.88933176,0,0.52176535,0.59425324,0.6680819,0,0.9783173,0.56397754,0.6587637,0,0.68468344,0.26926523,0.46633244,0,0.66281253,864.2857,871.13556,615.2747,808.68134,719.6337,0.640258789,0.026123047,0.802734375,7.274932861,-7.618865967,1.061706543,1,1,1,1,1,55,,135,LHS,Male,Yes,Right
44:22.7,0.8843092,0.9757263,0,0.67426735,0.6267767,0.34827888,0,0.46023598,0.59425324,0.46808684,0,0.6798009,0.56397754,0.72530085,0,0.7184442,0.26926523,0.44685537,0,0.77776456,887.25275,932.381,535.89746,833.663,801.4286,0.689880371,0.046264648,0.74609375,4.979553223,-6.377716064,-2.437438965,1,1,1,1,1,55,,135,LHS,Male,Yes,Right
44:23.8,1.3972669,0.88810617,0,0.63524073,1.1819531,0.4791253,0,0.29794493,1.0245502,0.38296157,0,0.44148344,0.40564483,0.69232655,0,0.76041394,0.65050554,0.41577357,0,0.6874738,828.4249,835.6777,657.5824,826.4103,659.19415,0.614440918,0.067077637,0.734619141,4.575805664,0.500946045,-8.61328125,1,1,1,1,1,55,,135,LHS,Male,Yes,Right
44:24.8,1.5837343,0.14325702,0,0.5655852,1.6094499,-0.009898304,0,0.12451592,1.031021,0.25464946,0,0.11772789,0.5497284,0.5614015,0,0.8428416,0.601811,0.34860778,0,0.639046,887.25275,845.7509,793.7729,797.3993,747.4359,0.620117188,0.106445313,0.78729248,2.100982666,1.420593262,0.964508057,1,1,1,1,1,55,,135,LHS,Male,Yes,Right
44:25.8,1.2673084,0.4363758,0,0.5853824,1.5383674,0.27081785,0,0.5729596,0.7518101,0.48620313,0,0.83050966,0.66956216,0.68219966,0,0.78001606,0.5278972,0.4510988,0,0.7932806,821.1722,824.7985,597.1429,797.8022,663.6264,0.63482666,0.104797363,0.784729004,5.577697754,-6.63192749,-7.402038574,1,1,1,1,1,55,,135,LHS,Male,Yes,Right
