TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
05:59.3,0,0.65043247,0.6377913,0,0,0.12994966,0.26175123,0,0,0.25811136,0.44076985,0,0,0.7167956,0.37101436,0,0,0.38518006,0.01955142,0,819.5604,758.71796,730.9158,799.41394,676.52014,-0.111572266,0.179077148,0.996704102,2.265472412,-5.622558594,1.173858643,1,2,1,1,2,100,,116,RHC,Male,No,Right
06:00.4,0,0.44843775,0.30815145,0,0,0.10909773,0.05823627,0,0,0.053648956,0.11257103,0,0,0.9679797,0.29044265,0,0,0.41526347,0.14410122,0,940.0366,754.68866,732.1245,787.326,695.05493,-0.085998535,0.174743652,0.985900879,4.89730835,-3.648681641,0.672912598,1,2,1,1,2,100,,116,RHC,Male,No,Right
06:01.4,0,0.4200821,0.10365252,0,0,0.025154362,-0.10971273,0,0,0.111074485,0.09211377,0,0,0.7986875,0.19285013,0,0,0.3107249,0.29514152,0,836.4835,765.9707,739.3773,786.9231,741.39197,-0.108947754,0.195495605,0.994750977,2.130889893,-4.927215576,-0.269165039,1,2,1,1,2,100,,116,RHC,Male,No,Right
06:02.4,0,0.30723336,0.51884454,0,0,0.024209114,-0.12905031,0,0,0.19299157,0.11095007,0,0,0.7891823,0.30131117,0,0,0.527098,0.17394656,0,843.73627,744.61536,727.28937,869.92676,877.98535,-0.085449219,0.179870605,0.993286133,2.100982666,-5.360870361,-1.188812256,1,2,1,1,2,100,,116,RHC,Male,No,Right
06:03.5,0,0.45424324,0.559939,0,0,-0.12474466,-0.23719393,0,0,0.13024756,0.024120202,0,0,0.9293088,0.45858884,0,0,0.5831842,0.09824882,0,808.68134,743.8095,706.7399,742.6007,660,-0.084655762,0.187988281,0.997436523,2.878570557,-3.192596436,0.291595459,1,2,1,1,2,100,,116,RHC,Male,No,Right
06:04.5,0,0.47482356,0.43105626,0,0,-0.28268084,-0.49240762,0,0,0.13024756,-0.024874289,0,0,0.99178916,0.5031378,0,0,0.5480444,0.08580063,0,864.2857,754.2857,734.5421,835.6777,626.9597,-0.069885254,0.18347168,1.005981445,0.04486084,-4.052429199,2.773895264,1,2,1,1,2,100,,116,RHC,Male,No,Right
06:05.5,0,0.47482356,0.43105626,0,0,-0.28268084,-0.49240762,0,0,0.13024756,-0.024874289,0,0,0.99178916,0.5031378,0,0,0.5480444,0.08580063,0,808.68134,778.86444,734.1392,840.10986,771.6117,-0.107543945,0.185119629,0.989379883,4.441223145,-4.344024658,1.629943848,1,2,1,1,2,100,,116,RHC,Male,No,Right
06:06.5,0,0.76043844,0.5158441,0,0,0.26753953,0.13576894,0,0,0.094230495,0.27213636,0,0,0.6402215,0.2288349,0,0,0.358494,0.122222036,0,809.4872,754.68866,747.4359,811.50183,893.69965,-0.097839355,0.1875,1.000183105,3.663635254,-6.841278076,-0.426177979,1,2,1,1,2,100,,116,RHC,Male,No,Right
06:07.5,0.84040064,0.47621447,0.65257144,0.6531229,0.48485512,-0.3502402,0.11515529,0.41512728,0.9452652,0.33822548,0.4341299,1.0524389,0.87394106,0.687852,0.20383626,1.322985,1.1106304,0.5469715,0.22422454,1.1147836,841.7216,772.4176,751.06226,840.5128,802.6374,-0.096191406,0.180175781,0.999328613,3.229980469,-5.704803467,-1.786956787,1,1,1,1,1,100,,116,RHC,Male,No,Right
06:08.6,0.84040064,0.25525942,1.0036799,0.715047,0.48485512,0.044751022,0.3008788,0.5651474,0.9452652,0.43762404,0.46496093,0.85338783,0.87394106,0.71251684,0.20438477,1.4177227,1.1106304,0.41246325,0.3292913,1.1929065,785.31134,764.35895,726.08057,832.0513,757.1062,-0.098205566,0.170776367,0.993835449,2.75894165,-3.925323486,-3.072967529,1,1,1,1,1,100,,116,RHC,Male,No,Right
06:09.6,0.84040064,0.50311315,1.0036799,0.9363769,0.48485512,0.003841626,0.3008788,0.93132305,0.9452652,0.3279162,0.46496093,1.1627187,0.87394106,0.81501156,0.20438477,1.2910522,1.1106304,0.4309183,0.3292913,0.9619829,798.60803,777.6557,749.85345,834.4689,698.68134,-0.10559082,0.182434082,1.002807617,2.310333252,-4.029998779,0.426177979,1,1,1,1,1,100,,116,RHC,Male,No,Right
06:10.6,1.0926986,0.20630167,0.6014765,0.55135393,0.9419191,-0.027979387,-0.03177865,0.33440092,0.84715515,0.30621862,0.29459894,0.86531,0.9619781,0.56118315,0.27012047,1.1656392,0.7056031,0.13035613,-0.074312165,1.1669956,816.7399,777.25275,759.12085,855.0183,710.7692,-0.09979248,0.184387207,0.985656738,3.89541626,-3.835601807,-0.792541504,1,1,1,1,1,100,,116,RHC,Male,No,Right
06:11.6,1.1428742,0.2405968,0.27443305,0.52070504,0.94007754,-0.0922264,-0.07193417,0.37538376,0.83524925,0.34190428,0.3411321,0.82378936,1.033563,0.4409785,0.333698,1.1798444,0.7959257,0.18565486,-0.09191026,1.1412363,836.4835,739.7802,749.45056,832.0513,711.978,-0.104797363,0.176757813,1.003601074,3.117828369,-6.198272705,-1.278533936,1,1,1,1,1,100,,116,RHC,Male,No,Right
06:12.7,1.1834471,0.5514768,0.5163232,0.8325864,0.942716,0.48468512,0.5716043,0.7303594,0.83164126,0.6143953,0.63972247,0.92991334,1.089727,0.7976924,0.36721396,1.0904605,0.87296826,0.44895023,0.1488484,1.2122504,869.92676,768.7912,750.65936,820.7692,707.9487,-0.098266602,0.20501709,0.987426758,3.177642822,-3.89541626,-1.659851074,1,1,1,1,1,100,,116,RHC,Male,No,Right
06:13.7,1.1834471,0.4333459,0.90076363,0.8924142,0.942716,0.35870418,0.62881035,0.6235814,0.83164126,0.49061513,0.527068,0.8326272,1.089727,0.84065276,0.41454592,1.1665573,0.87296826,0.38411894,0.21340019,1.147556,886.4469,770.40295,755.09155,831.2454,732.9304,-0.088256836,0.19921875,0.982116699,2.968292236,-6.796417236,0.314025879,1,1,1,1,1,100,,116,RHC,Male,No,Right
06:14.7,1.1834471,0.4639279,0.38641033,0.714091,0.942716,0.31245685,0.011375564,0.39540333,0.83164126,0.29439813,0.2820802,0.6242166,1.089727,0.7321536,0.47639108,1.1333978,0.87296826,0.25435054,-0.007463384,1.0244396,634.21246,785.7143,763.5531,717.619,554.43225,-0.129272461,0.172851563,0.981262207,1.816864014,-2.280426025,0.209350586,1,1,1,1,1,100,,116,RHC,Male,No,Right
06:14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,116,RHC,Male,No,Right
06:15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,116,RHC,Male,No,Right
06:15.7,1.1834471,0.36344105,-0.18000735,0.714091,0.942716,0.15953578,-0.28689548,0.39540333,0.83164126,0.006260993,0.3349802,0.6242166,1.089727,0.53213465,0.37171826,1.1333978,0.87296826,0.44519183,0.0064585,1.0244396,759.5238,778.86444,755.4945,603.1868,406.95972,-0.119812012,0.187561035,0.983154297,3.536529541,-4.83001709,-1.338348389,1,1,1,1,1,100,,116,RHC,Male,No,Right
06:16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,116,RHC,Male,No,Right
06:16.7,1.1834471,0.10579643,0.38601166,0.714091,0.942716,0.031888228,0.28778103,0.39540333,0.83164126,0.22126316,0.4287096,0.6242166,1.089727,0.6229595,0.45334947,1.1333978,0.87296826,0.3253943,-0.051657587,1.0244396,815.9341,786.9231,755.4945,1036.7399,1164.4689,-0.087219238,0.185546875,0.992675781,4.373931885,-5.046844482,-3.521575928,1,2,1,1,2,100,,116,RHC,Male,No,Right
