,TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
0,2022-11-06 15:17:14.476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-9E89,230,RHC,Male,No,Right
1,2022-11-06 15:17:14.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1002.49084,940.4396,863.0769,982.74725,802.6374,0.4525146484375,0.037109375,0.9107666015625,2.6019287109375,-3.828125,0.456085205078125,1.0,2.0,1.0,1.0,2.0,100.0,,230,RHC,Male,No,Right
2,2022-11-06 15:17:14.606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,230,RHC,Male,No,Right
3,2022-11-06 15:17:14.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,230,RHC,Male,No,Right
4,2022-11-06 15:17:15.565,0.0,1.3902079,0.0,0.0,0.0,0.32071736,0.0,0.0,0.0,0.19296795,0.0,0.0,0.0,0.2744305,0.0,0.0,0.0,-0.44125816,0.0,0.0,581.8315,917.8755,736.9597,751.4652,724.4689,0.45404052734375,0.0472412109375,0.91754150390625,3.7384033203125,-6.258087158203125,-0.01495361328125,1.0,4.0,1.0,1.0,2.0,100.0,,230,RHC,Male,No,Right
5,2022-11-06 15:17:15.676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,230,RHC,Male,No,Right
6,2022-11-06 15:17:16.587,0.0,1.3902079,0.5022613,0.0,0.0,0.32071736,0.23936003,0.0,0.0,0.19296795,0.47970605,0.0,0.0,0.2744305,0.40115866,0.0,0.0,-0.44125816,0.027558928,0.0,906.99634,902.5641,763.1502,772.4176,797.8022,0.4461669921875,0.042236328125,0.91217041015625,3.312225341796875,-3.760833740234375,-1.218719482421875,1.0,2.0,1.0,1.0,2.0,100.0,,230,RHC,Male,No,Right
7,2022-11-06 15:17:16.637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,230,RHC,Male,No,Right
8,2022-11-06 15:17:16.915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,230,RHC,Male,No,Right
9,2022-11-06 15:17:17.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,230,RHC,Male,No,Right
10,2022-11-06 15:17:17.361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,230,RHC,Male,No,Right
11,2022-11-06 15:17:17.599,0.0,1.3268002,0.3234211,0.0,0.0,0.45866698,0.05706534,0.0,0.0,0.588493,0.37105322,0.0,0.0,-0.04529324,0.4418564,0.0,0.0,-0.5151908,0.027259989,0.0,1029.4872,930.3663,795.38464,834.0659,794.17584,0.4580078125,0.05291748046875,0.90869140625,3.865509033203125,-4.14215087890625,0.35888671875,1.0,2.0,1.0,1.0,2.0,100.0,,230,RHC,Male,No,Right
12,2022-11-06 15:17:17.853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,230,RHC,Male,No,Right
