TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
24:37.9,0.9208374,0.93130267,0.07003983,0.88655734,0.59455025,-0.0398929,0.2233716,0.59963536,13.367.046,0.081964836,0.007334119,0.683825,10.190.033,-0.14944449,-0.08802318,0.9045392,0.47494203,-0.6708712,-0.44675165,0.6865559,79.699.634,84.534.796,100.007.324,15.778.755,8.457.509,0.035827637,0.091247559,101.788.330.078.125,2.205.657.958.984.370,-44.561.767.578.125,-0.269165039,1,2,1,1,4,70,,208,LHS,Male,No,Left
24:38.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,208,LHS,Male,No,Left
24:38.9,12.696.558,10.002.006,12.512.908,0.88655734,0.8875294,0.2807877,0.45967394,0.59963536,14.295.717,0.16613224,0.5999388,0.683825,10.017.976,-0.040192213,0.117906064,0.9045392,0.5686649,-0.49414122,-0.4297662,0.6865559,80.989.014,8.110.989,91.223.444,13.498.169,9.118.315,0.031616211,0.09362793,100.958.251.953.125,4.269.256.591.796.870,-5.136.566.162.109.370,-1.009.368.896.484.370,1,1,1,1,4,70,,208,LHS,Male,No,Left
24:39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,208,LHS,Male,No,Left
24:40.0,1.454.597,1.294.533,13.232.138,0.88655734,11.571.119,0.68764377,0.4521277,0.59963536,13.847.883,0.5819853,0.6951943,0.683825,0.9625243,-0.047852375,0.045109536,0.9045392,0.64553547,-0.415973,-0.23156847,0.6865559,7.897.436,79.457.874,8.759.707,1.620.586,8.840.293,0.016479492,0.081237793,10.037.841.796.875,2.691.650.390.625,-5.480.499.267.578.120,-0.523376465,1,1,1,1,4,70,,208,LHS,Male,No,Left
24:41.0,0.6238893,0.9583508,12.542.259,0.88655734,0.75925356,0.31735036,0.3886504,0.59963536,0.7761745,0.59579045,0.61324227,0.683825,0.7224738,-0.11230834,0.0319953,0.9045392,0.21879348,-0.3822541,-0.074345395,0.6865559,7.913.553,770,8.630.769,16.217.949,90.417.584,0.036804199,0.101867676,101.556.396.484.375,2.773.895.263.671.870,-506.927.490.234.375,203.369.140.625,1,1,1,1,4,70,,208,LHS,Male,No,Left
24:42.0,0.42997372,0.36355656,0.849952,0.88655734,0.66133,-0.3127323,-0.22569777,0.59963536,0.884238,0.16771144,-0.031149235,0.683825,0.68385375,-0.051126078,0.024729572,0.9045392,0.3616091,-0.5155557,-0.5374532,0.6865559,7.897.436,7.728.205,8.264.103,16.217.949,7.909.524,0.046508789,0.098754883,100.311.279.296.875,3.289.794.921.875,-2.549.591.064.453.120,-2.250.518.798.828.120,1,1,1,1,4,70,,208,LHS,Male,No,Left
24:43.0,0.37687996,0.32252046,0.74727046,0.88655734,0.5573316,-0.27287447,-0.18407595,0.59963536,11.256.891,0.14854746,0.012681928,0.683825,0.7717102,-0.012336752,-0.010745853,0.9045392,0.44256696,-0.5473538,-0.46935707,0.6865559,7.978.022,75.227.106,81.271.063,102.223.444,65.435.895,0.007141113,0.071044922,10.029.296.875,264.678.955.078.125,-54.132.080.078.125,-1.577.606.201.171.870,1,1,1,1,4,70,,208,LHS,Male,No,Left
24:43.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,208,LHS,Male,No,Left
24:44.0,0.63052136,0.5149386,10.020.055,0.88655734,0.57509506,0.20984942,0.83254975,0.59963536,1.119.641,0.23976728,0.7136058,0.683825,0.68526274,-0.038758676,0.03281226,0.9045392,0.48564237,-0.6377283,-0.26041493,0.6865559,8.058.608,76.032.965,78.369.965,0,6.813.553,0.00390625,0.076049805,0.987976074,177.947.998.046.875,-2.811.279.296.875,0.897216797,1,1,1,1,4,70,,208,LHS,Male,No,Left
