TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
42:38.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,982.74725,948.0952,809.4872,828.4249,761.53845,0.143493652,0.093078613,0.99395752,1.525268555,-1.659851074,-11.61895752,1,2,4,4,2,65,,101,RHC,Female,Yes,Left
42:38.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,101,RHC,Female,Yes,Left
42:38.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,101,RHC,Female,Yes,Left
42:39.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,101,RHC,Female,Yes,Left
42:39.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,857.4359,337.65567,491.97803,805.05493,644.2857,0.07244873,-0.006286621,0.982177734,-1.719665527,-8.231964111,7.529144287,1,4,4,4,2,65,,101,RHC,Female,Yes,Left
42:39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,101,RHC,Female,Yes,Left
42:39.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,101,RHC,Female,Yes,Left
42:40.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471.8315,799.41394,653.5531,514.1392,660.40295,0.259338379,0.039001465,0.986694336,3.970184326,-6.325378418,0.441131592,1,2,4,4,2,70,,101,RHC,Female,Yes,Left
42:40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,101,RHC,Female,Yes,Left
42:41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,101,RHC,Female,Yes,Left
42:41.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,101,RHC,Female,Yes,Left
