TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
34:56.9,0.62253314,1.4643835,0.7866119,0.7374327,0.6324891,1.3749897,0.5180965,0.48500273,0.7638998,0.14867547,0.517512,0.26898196,1.1803653,0.30705985,0.21410967,1.0724448,1.0713762,-0.24997166,-0.3311583,0.9133907,869.92676,691.4286,723.2601,790.54944,698.68134,0.089599609,0.064208984,1.014099121,3.424377441,-7.506713867,0.800018311,1,4,1,1,2,40,,218,LHC,Male,Yes,Right
34:57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,218,LHC,Male,Yes,Right
34:57.9,0.62253314,1.4643835,0.9407568,0.7374327,0.6324891,1.3749897,0.23356733,0.48500273,0.7638998,0.14867547,0.5446089,0.26898196,1.1803653,0.30705985,0.065200455,1.0724448,1.0713762,-0.24997166,-0.14952907,0.9133907,804.2491,687.8022,672.8938,913.0403,689.41394,0.097839355,0.081176758,1.006408691,2.751464844,-2.691650391,1.996307373,1,2,1,1,2,40,,218,LHC,Male,Yes,Right
34:58.9,0.62253314,1.4643835,0.90639573,0.7374327,0.6324891,1.3749897,-0.16624293,0.48500273,0.7638998,0.14867547,0.5111369,0.26898196,1.1803653,0.30705985,0.049134802,1.0724448,1.0713762,-0.24997166,-0.08051826,0.9133907,722.8571,755.09155,698.68134,811.0989,732.1245,0.072570801,0.07623291,1.024597168,2.220611572,-2.422485352,1.682281494,1,2,1,1,2,40,,218,LHC,Male,Yes,Right
34:59.9,0.62253314,1.4643835,0.90639573,0.7374327,0.6324891,1.3749897,-0.16624293,0.48500273,0.7638998,0.14867547,0.5111369,0.26898196,1.1803653,0.30705985,0.049134802,1.0724448,1.0713762,-0.24997166,-0.08051826,0.9133907,801.8315,728.9011,731.7216,784.10254,836.08057,0.082824707,0.067443848,1.017578125,3.566436768,-7.626342773,3.065490723,1,2,1,1,2,40,,218,LHC,Male,Yes,Right
35:01.0,0.62253314,0.5403353,0.76735264,0.7374327,0.6324891,0.54183877,0.47460437,0.48500273,0.7638998,0.6714508,0.8104282,0.26898196,1.1803653,0.3548302,0.33184195,1.0724448,1.0713762,-0.004427368,-0.269304,0.9133907,806.6667,745.0183,722.4542,853.00366,714.7985,0.111022949,0.084838867,1.010681152,4.344024658,-5.757141113,0.403747559,1,2,1,1,2,40,,218,LHC,Male,Yes,Right
35:02.0,0.62253314,0.7221979,0.5557871,1.3951147,0.6324891,0.40396595,-0.05459529,1.224404,0.7638998,0.6427548,0.53726304,0.87997466,1.1803653,0.30272815,0.31541166,1.0145987,1.0713762,-0.13687867,-0.3624358,0.74826276,817.1429,749.0476,716.4103,847.76556,652.3443,0.112609863,0.064941406,1.008300781,2.123413086,-4.067382813,-1.383209229,1,1,1,1,1,40,,218,LHC,Male,Yes,Right
35:03.0,0.62253314,0.35395646,0.29916704,1.3212134,0.6324891,0.27571198,-0.25061172,1.1017132,0.7638998,0.4243042,0.30085865,0.96111345,1.1803653,0.0265527,0.2028223,0.9527153,1.0713762,-0.4231636,-0.32836568,0.8383528,811.0989,740.58606,722.0513,857.8388,782.49084,0.104187012,0.077453613,1.012756348,4.329071045,-6.938476563,-0.299072266,1,1,1,1,1,40,,218,LHC,Male,Yes,Right
35:03.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,218,LHC,Male,Yes,Right
35:04.0,1.7154683,0.56575257,0.35762233,1.2264141,1.251823,0.38657853,-0.021423819,0.94872606,1.0173997,0.37613362,0.48608795,0.8232655,1.1400849,0.06929581,0.15673132,0.8675768,0.74285024,-0.44074035,-0.37691972,0.9146793,839.304,760.7326,730.5128,870.32965,708.7546,0.112731934,0.079162598,1.012634277,4.037475586,-4.777679443,-0.04486084,1,1,1,1,1,40,,218,LHC,Male,Yes,Right
35:05.0,1.7154683,0.50761414,0.04666845,1.2264141,1.251823,0.07090714,-0.09489596,0.94872606,1.0173997,0.115281664,0.38451305,0.8232655,1.1400849,0.117290065,0.14824711,0.8675768,0.74285024,-0.49522564,-0.5112846,0.9146793,795.78754,748.6447,744.61536,863.0769,739.7802,0.098754883,0.072814941,1.002197266,2.250518799,-3.319702148,1.203765869,1,1,1,1,1,40,,218,LHC,Male,Yes,Right
