TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
04:37.7,0.37675554,0.7077521,0.64302695,1.4615403,0.039654426,0.6135346,0.49820995,1.114017,0.36490476,0.6450658,0.5959256,1.2247463,0.4715037,0.7140407,0.8970906,0.88606924,0.15573189,0.8943521,0.8017992,0.6560065,809.89014,808.68134,775.64105,855.0183,680.9524,-0.21484375,-0.041870117,0.993041992,3.401947021,-2.975769043,-0.493469238,1,2,1,1,4,40,,222,LHS,Male,No,Right
04:38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,222,LHS,Male,No,Right
04:38.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,222,LHS,Male,No,Right
04:38.7,0.37675554,0.7077521,0.77774775,1.4615403,0.039654426,0.6135346,0.49185452,1.114017,0.36490476,0.6450658,0.5654052,1.2247463,0.4715037,0.7140407,0.98780566,0.88606924,0.15573189,0.8943521,0.8489564,0.6560065,874.7619,797.3993,792.5641,855.0183,669.2674,-0.181274414,-0.024902344,0.989562988,4.844970703,-7.693634033,-0.306549072,1,2,1,1,2,40,,222,LHS,Male,No,Right
04:38.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,222,LHS,Male,No,Right
04:39.7,0.37675554,1.0865932,0.87358665,1.4615403,0.039654426,0.68353325,0.609841,1.114017,0.36490476,0.43001747,0.57617944,1.2247463,0.4715037,0.87545806,0.76791114,0.88606924,0.15573189,0.6774754,0.7148141,0.6560065,794.9817,771.6117,790.54944,828.8278,758.71796,-0.16003418,-0.024047852,1.004272461,3.274841309,-4.859924316,0.02243042,1,2,1,1,2,40,,222,LHS,Male,No,Right
04:40.7,1.4257443,1.228169,1.0070231,1.4615403,1.131171,0.8647305,0.63270026,1.114017,0.60676354,0.9904688,0.6765762,1.2247463,0.6533596,0.6446053,0.60191727,0.88606924,0.17964137,0.424502,0.19231074,0.6560065,922.3077,914.2491,892.0879,857.4359,660.40295,-0.152282715,-0.035766602,1.010253906,2.84866333,-4.800109863,0.08972168,1,1,1,1,2,40,,222,LHS,Male,No,Right
04:41.8,1.4744424,1.2858515,1.1913332,1.4615403,1.2353915,0.9808199,0.8338177,1.114017,0.60676354,0.98644143,0.59915817,1.2247463,0.7149335,0.5151388,0.73503214,0.88606924,0.20962831,0.2345421,-0.09870372,0.6560065,829.6337,812.3077,799.011,767.98535,645.89746,-0.131591797,-0.033691406,1.018981934,1.816864014,-4.463653564,-0.269165039,1,1,1,1,2,40,,222,LHS,Male,No,Right
04:42.8,0.91384345,1.1218805,0.6486858,1.4615403,0.71425176,0.5605042,0.3421093,1.114017,0.82296973,0.4446658,0.4602965,1.2247463,0.56503373,0.28120077,0.42012548,0.88606924,0.13538593,-0.1971693,-0.3170441,0.6560065,796.1905,788.1319,788.1319,840.5128,707.1429,-0.125366211,-0.026184082,0.996948242,5.136566162,-3.9402771,-1.428070068,1,1,1,1,2,40,,222,LHS,Male,No,Right
04:43.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,222,LHS,Male,No,Right
