TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
30:15.0,0.26683173,0.8434646,0.70391023,0.6451546,0.08033108,0.07959026,0.11915376,0.28923243,0.27985367,0.26198038,-0.23458001,0.2419643,0.3769749,0.09211894,0.16098042,0.5585688,0.026762182,-0.050832063,-0.10319195,0.03273188,791.3553,770.80585,788.1319,793.7729,691.8315,-0.077026367,0.065368652,1.007141113,3.656158447,-4.665527344,-0.291595459,1,2,1,1,2,65,,209,RHC,Male,No,Right
30:16.0,0.26683173,0.9741895,0.70391023,0.6451546,0.08033108,0.584818,0.11915376,0.28923243,0.27985367,0.3707581,-0.23458001,0.2419643,0.3769749,0.08456754,0.16098042,0.5585688,0.026762182,0.04319589,-0.10319195,0.03273188,826.0073,805.4579,779.2674,957.3626,806.26373,-0.03515625,0.08013916,1.029052734,5.099182129,-5.338439941,-1.256103516,1,2,1,1,2,65,,209,RHC,Male,No,Right
30:17.1,0.26683173,1.3847342,0.70391023,0.6451546,0.08033108,0.825216,0.11915376,0.28923243,0.27985367,0.6771144,-0.23458001,0.2419643,0.3769749,0.17129637,0.16098042,0.5585688,0.026762182,-0.120494924,-0.10319195,0.03273188,790.54944,776.8498,767.98535,800.2198,825.6044,-0.009521484,0.082702637,1.02520752,2.340240479,-4.373931885,1.413116455,1,2,1,1,2,55,,209,RHC,Male,No,Right
30:18.1,0.26683173,0.8521422,0.910154,0.6451546,0.08033108,0.13827471,0.91333133,0.28923243,0.27985367,0.6657115,0.3651294,0.2419643,0.3769749,-0.036418002,0.4185674,0.5585688,0.026762182,-0.4140403,-0.40734628,0.03273188,837.28937,778.0586,720.84247,813.91943,996.04395,-0.01965332,0.05480957,0.983581543,1.84677124,-3.671112061,-0.216827393,1,2,1,1,2,55,,209,RHC,Male,No,Right
30:19.1,0.26683173,0.49418402,1.0339147,1.5664675,0.08033108,-0.35966194,0.8790143,1.1932414,0.27985367,0.14120007,0.43769705,1.3618305,0.3769749,-0.25161976,0.33365086,0.6613884,0.026762182,-0.74659556,-0.36337382,0.47371966,824.3956,751.4652,686.99634,815.9341,847.3626,-0.0234375,0.070983887,1.013366699,2.669219971,-4.67300415,-0.590667725,1,1,1,1,1,55,,209,RHC,Male,No,Right
30:20.1,1.0000643,0.95718044,1.0379957,1.4150835,0.8102098,-0.046655107,0.72932464,0.9210851,0.8030838,0.14243884,0.35410327,1.2545251,0.78215635,-0.03819483,0.19698402,0.7809839,0.23870012,-0.5325951,-0.3621396,0.4181101,826.4103,777.6557,741.39197,838.49817,702.71063,-0.024291992,0.067565918,1.018249512,2.691650391,-4.942169189,0.388793945,1,1,1,1,1,55,,209,RHC,Male,No,Right
30:21.1,0.9662061,0.84952766,1.0379957,1.5230707,0.8661636,0.08626739,0.72932464,1.3682002,0.85880613,0.108597875,0.35410327,1.1298285,0.81249654,0.055769198,0.19698402,0.95148844,0.29502925,-0.35442924,-0.3621396,0.52503467,834.4689,776.8498,701.0989,808.68134,799.011,-0.011901855,0.071899414,1.020202637,4.194488525,-4.441223145,-0.665435791,1,1,1,1,1,55,,209,RHC,Male,No,Right
30:22.2,0.94868135,0.10885168,1.0379957,1.5508363,0.94974184,-0.11236632,0.72932464,1.5931057,0.7351648,0.13135849,0.35410327,1.0608026,0.86772835,0.058826495,0.19698402,1.0612736,0.37832564,-0.4257622,-0.3621396,0.71254814,806.6667,766.77655,728.0952,838.9011,735.34796,0,0.069946289,1.019836426,3.588867188,-3.85055542,0.441131592,1,1,1,1,1,55,,209,RHC,Male,No,Right
30:23.2,0.94868135,-0.1368032,0.8899041,1.5344304,0.94974184,-0.08762264,-0.009761432,1.63255,0.7351648,0.21985367,0.39657924,0.95563143,0.86772835,-0.059246406,0.07521902,1.0824257,0.37832564,-0.4629403,-0.03330419,0.7851295,839.304,778.0586,695.05493,823.9927,730.5128,-0.007507324,0.050170898,1.004699707,3.252410889,-4.927215576,-0.336456299,1,1,1,1,1,55,,209,RHC,Male,No,Right
30:24.2,0.96088487,0.15527774,0.8069403,0.94996834,0.74650586,-0.032546546,0.073667616,0.6791932,0.7542348,0.18690482,0.19615486,0.8698513,0.73498607,-0.12235057,-0.08084229,0.84295154,0.72445446,-0.34487307,-0.19433519,0.51504767,749.85345,781.685,810.696,770.80585,767.98535,0.034301758,0.080078125,1.03314209,2.153320313,-11.00585938,-0.007476807,1,1,1,1,1,55,,209,RHC,Male,No,Right
30:25.2,0.8331144,0.6528431,0.8069403,1.2064478,0.92639613,0.02807184,0.073667616,0.84490275,0.57059073,0.123321384,0.19615486,0.91603285,0.78261775,-0.053656567,-0.08084229,0.7591536,0.7932383,-0.4954853,-0.19433519,0.50104344,832.8571,767.5824,792.5641,799.81683,935.6044,0.017456055,0.05682373,1.011352539,2.467346191,-4.373931885,1.181335449,1,1,1,1,1,55,,209,RHC,Male,No,Right
30:26.2,1.7065723,1.0916841,0.8069403,1.367508,0.7653244,0.3245692,0.073667616,0.5107574,0.5638308,0.3513796,0.19615486,0.79692006,0.5518874,-3.59E-04,-0.08084229,0.6205784,0.3274777,-0.5059704,-0.19433519,0.5068594,793.7729,749.45056,812.3077,768.3883,876.3736,0.019348145,0.041503906,1.00769043,3.588867188,-4.859924316,-0.904693604,1,1,1,1,1,55,,209,RHC,Male,No,Right
30:27.2,1.7065723,1.3930856,0.8069403,1.2874688,0.7653244,0.5605122,0.073667616,0.6245535,0.5638308,0.3513796,0.19615486,0.7790734,0.5518874,0.08547281,-0.08084229,0.45351678,0.3274777,-0.447601,-0.19433519,0.30303025,796.99634,776.8498,729.707,791.3553,846.9597,0.025085449,0.061279297,1.020690918,3.327178955,-5.959014893,0.343933105,1,1,1,1,1,60,,209,RHC,Male,No,Right
