Timestamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
26:17.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1085.8975,1622.1978,1483.9927,1095.9707,789.34064,0.145019531,-0.068359375,0.956542969,0.800018311,-5.689849854,-3.813171387,0.0,4.0,4.0,4.0,4.0,70.0,,110.0,RHS,Male,Yes,Right
26:19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1037.1428,1416.3004,244.57875,773.6264,802.6374,0.21484375,-0.24041748,0.946472168,-18.15368652,-9.159088135,7.925415039,0.0,4.0,4.0,4.0,4.0,70.0,,110.0,RHS,Male,Yes,Right
26:20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,932.381,24.175825,855.82416,581.4286,732.9304,0.261291504,-0.219238281,0.962524414,6.220703125,-13.12927246,10.07125854,0.0,4.0,4.0,4.0,4.0,70.0,,110.0,RHS,Male,Yes,Right
26:21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.94507,778.86444,179.30403,538.71796,752.674,0.459838867,-0.264953613,0.873657227,3.192596436,-4.680480957,1.181335449,0.0,4.0,4.0,4.0,4.0,70.0,,110.0,RHS,Male,Yes,Right
26:21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,110.0,RHS,Male,Yes,Right
26:21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,110.0,RHS,Male,Yes,Right
26:21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,110.0,RHS,Male,Yes,Right
26:22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488.75458,768.3883,263.51648,734.5421,863.0769,0.4609375,-0.227233887,0.895507813,4.553375244,-5.622558594,2.04864502,1.0,2.0,4.0,2.0,2.0,70.0,,110.0,RHS,Male,Yes,Right
26:22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,110.0,RHS,Male,Yes,Right
26:23.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,653.95605,836.4835,348.13187,805.4579,700.696,0.461120605,-0.214782715,0.898742676,4.381408691,-6.871185303,2.056121826,1.0,2.0,4.0,2.0,2.0,70.0,,110.0,RHS,Male,Yes,Right
