TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
41:40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1297.033,1120.1465,1171.7216,1573.4432,768.3883,0.397827148,0.350036621,0.871582031,3.678588867,-7.716064453,-0.82244873,1,4,4,2,4,70,,101,LHC,Female,Yes,Left
41:41.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213.95604,913.0403,732.1245,65.27473,672.49084,0.141540527,0.343017578,0.935058594,-3.499145508,-1.196289063,-6.063690186,0,4,4,4,4,70,,101,LHC,Female,Yes,Left
41:42.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988.7912,672.49084,1021.4286,1385.2748,757.1062,0.433532715,0.34375,0.863037109,4.276733398,-6.968383789,2.579498291,0,4,4,4,4,70,,101,LHC,Female,Yes,Left
41:43.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,616.8865,1621.7949,1129.8169,843.3333,0.447509766,0.340515137,0.845092773,3.992614746,-3.76083374,2.474822998,0,4,4,4,4,70,,101,LHC,Female,Yes,Left
41:44.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.87912,0,0,0,399.70697,0.484619141,0.304138184,0.836608887,1.547698975,-5.988922119,-1.547698975,0,4,4,4,4,70,,101,LHC,Female,Yes,Left
41:45.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1535.9707,998.86444,385.6044,37.472527,860.2564,0.468200684,0.310913086,0.848510742,2.459869385,-4.76272583,0.209350586,0,4,4,4,4,70,,101,LHC,Female,Yes,Left
41:46.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1259.9634,328.38828,481.50183,668.86444,521.79486,0.457214355,0.313049316,0.85559082,1.383209229,-5.278625488,0.179443359,0,4,4,4,4,70,,101,LHC,Female,Yes,Left
41:47.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329.19415,227.25275,359.011,661.2088,437.17947,0.491210938,0.318359375,0.847473145,3.259887695,-6.340332031,-0.732727051,0,4,4,4,4,70,,101,LHC,Female,Yes,Left
41:48.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603.5897,0,670.4762,0,700.293,0.4921875,0.317626953,0.843200684,3.536529541,-5.487976074,-1.772003174,0,4,4,4,4,65,,101,LHC,Female,Yes,Left
41:49.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6117216,0,171.64835,459.34067,790.9524,0.50189209,0.309753418,0.839599609,2.115936279,-5.428161621,-1.00189209,0,4,4,4,4,65,,101,LHC,Female,Yes,Left
41:50.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260.69598,0,805.8608,0.491638184,0.315856934,0.825500488,4.216918945,-3.200073242,-0.523376465,0,4,4,4,4,65,,101,LHC,Female,Yes,Left
