TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
11:25.1,1.0933065,1.2378675,1.1512097,1.3139396,1.109881,0.5861656,0.5451278,1.3058195,0.86242855,0.59322274,0.6888782,1.1125956,0.9263799,0.5988452,0.6026649,0.857634,0.5372878,-0.069771595,0.111416034,0.17226721,364.24908,684.17584,833.663,720.84247,711.1722,-0.195800781,0.116516113,0.991394043,3.947753906,-3.065490723,1.570129395,1,4,1,1,2,50,,214,LHS,Male,No,Left
11:25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,214,LHS,Male,No,Left
11:26.2,1.0933065,1.2378675,1.1512097,1.3139396,1.109881,0.5861656,0.5451278,1.3058195,0.86242855,0.59322274,0.6888782,1.1125956,0.9263799,0.5988452,0.6026649,0.857634,0.5372878,-0.069771595,0.111416034,0.17226721,570.9524,616.08057,826.0073,701.0989,890.07324,-0.188659668,0.117980957,0.982849121,1.555175781,-3.267364502,-0.553283691,1,4,1,1,2,50,,214,LHS,Male,No,Left
11:26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,214,LHS,Male,No,Left
11:27.2,1.0933065,1.2378675,1.1512097,1.3139396,1.109881,0.5861656,0.5451278,1.3058195,0.86242855,0.59322274,0.6888782,1.1125956,0.9263799,0.5988452,0.6026649,0.857634,0.5372878,-0.069771595,0.111416034,0.17226721,423.47986,667.25275,770.40295,791.3553,700.696,-0.203491211,0.122558594,0.990112305,2.901000977,-2.564544678,0.186920166,1,4,1,1,2,50,,214,LHS,Male,No,Left
11:28.2,1.0933065,1.2378675,1.1512097,1.3139396,1.109881,0.5861656,0.5451278,1.3058195,0.86242855,0.59322274,0.6888782,1.1125956,0.9263799,0.5988452,0.6026649,0.857634,0.5372878,-0.069771595,0.111416034,0.17226721,231.28206,493.1868,619.304,637.4359,662.4176,-0.198120117,0.122741699,0.991027832,3.686065674,-3.902893066,-0.568237305,1,4,1,1,2,50,,214,LHS,Male,No,Left
11:28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,214,LHS,Male,No,Left
11:29.2,1.0933065,1.2378675,1.1512097,1.3139396,1.109881,0.5861656,0.5451278,1.3058195,0.86242855,0.59322274,0.6888782,1.1125956,0.9263799,0.5988452,0.6026649,0.857634,0.5372878,-0.069771595,0.111416034,0.17226721,939.6337,582.23444,700.293,734.1392,657.5824,-0.211730957,0.123962402,0.979736328,3.215026855,-4.687957764,-0.553283691,1,4,1,1,2,50,,214,LHS,Male,No,Left
11:30.2,1.0933065,1.2378675,1.1512097,1.3139396,1.109881,0.5861656,0.5451278,1.3058195,0.86242855,0.59322274,0.6888782,1.1125956,0.9263799,0.5988452,0.6026649,0.857634,0.5372878,-0.069771595,0.111416034,0.17226721,613.2601,705.12823,833.2601,783.2967,680.54944,-0.217895508,0.120910645,0.980834961,2.168273926,-3.050537109,0.605621338,1,4,1,1,2,50,,214,LHS,Male,No,Left
11:31.2,1.0933065,1.2378675,1.1512097,1.3139396,1.109881,0.5861656,0.5451278,1.3058195,0.86242855,0.59322274,0.6888782,1.1125956,0.9263799,0.5988452,0.6026649,0.857634,0.5372878,-0.069771595,0.111416034,0.17226721,885.64105,682.1612,800.6227,750.2564,660.80585,-0.214050293,0.122680664,0.984191895,4.022521973,-5.65246582,-0.04486084,1,2,1,1,2,50,,214,LHS,Male,No,Left
11:32.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,214,LHS,Male,No,Left
