TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
59:42.4,0,11.534.222,0.75632775,14.601.352,0,0.8816245,0.48374197,1.285.623,0,0.3924947,0.40368995,0.63947266,0,0.24942152,0.21291251,0.63926256,0,-0.22270252,-0.10772415,0.30191907,14.557.876,7.530.769,79.417.584,9.521.245,8.433.333,-0.086669922,0.161071777,10.098.876.953.125,3.401.947.021.484.370,-5.286.102.294.921.870,-10.228.271.484.375,1,4,1,1,2,90,,202,RHS,Female,No,Left
59:42.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,202,RHS,Female,No,Left
59:42.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,202,RHS,Female,No,Left
59:42.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,202,RHS,Female,No,Left
59:42.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,202,RHS,Female,No,Left
59:43.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,202,RHS,Female,No,Left
59:43.4,0,11.534.222,0.75632775,14.601.352,0,0.8816245,0.48374197,1.285.623,0,0.3924947,0.40368995,0.63947266,0,0.24942152,0.21291251,0.63926256,0,-0.22270252,-0.10772415,0.30191907,58.747.253,78.087.915,7.804.762,810.696,8.389.011,-0.047485352,0.135925293,100.335.693.359.375,249.725.341.796.875,-3.648.681.640.625,3.701.019.287.109.370,1,2,1,1,2,90,,202,RHS,Female,No,Left
59:43.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,202,RHS,Female,No,Left
59:44.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,202,RHS,Female,No,Left
59:44.4,0,13.456.064,0.75632775,14.601.352,0,0.45574763,0.48374197,1.285.623,0,0.31691086,0.40368995,0.63947266,0,-0.081795126,0.21291251,0.63926256,0,-0.37917244,-0.10772415,0.30191907,79.336.993,78.531.134,7.832.967,67.531.134,660,-0.03503418,0.10333252,1.003.173.828.125,213.836.669.921.875,-545.806.884.765.625,-14.654.541.015.625,1,4,1,1,2,90,,202,RHS,Female,No,Left
