TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
48:32.1,1.2832531,0.26937497,0.77810574,0.1360475,1.0561098,0.52576333,0.664541,0.4633515,1.0013328,0.13226447,0.21948437,1.0619061,1.1052303,0.43317422,0.28935474,0.9380078,1.0508904,-0.15221554,-0.18530715,0.27861667,935.6044,822.381,836.8865,834.4689,651.9414,0.047058105,0.099975586,1.03137207,2.385101318,-9.002075195,1.577606201,1,4,1,1,4,40,,220,LHC,Male,No,Right
48:32.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,220,LHC,Male,No,Right
48:33.1,1.2832531,0.26937497,0.77810574,0.1360475,1.0561098,0.52576333,0.664541,0.4633515,1.0013328,0.13226447,0.21948437,1.0619061,1.1052303,0.43317422,0.28935474,0.9380078,1.0508904,-0.15221554,-0.18530715,0.27861667,772.8205,771.2088,849.7802,750.65936,790.9524,0.081848145,0.109863281,0.996643066,3.89541626,-5.637512207,-0.755157471,1,4,1,1,4,40,,220,LHC,Male,No,Right
48:33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,220,LHC,Male,No,Right
48:34.1,1.2832531,1.210629,0.77810574,0.1360475,1.0561098,0.50363094,0.664541,0.4633515,1.0013328,0.5574863,0.21948437,1.0619061,1.1052303,0.31314993,0.28935474,0.9380078,1.0508904,-0.03794127,-0.18530715,0.27861667,846.55676,740.18317,813.5165,751.8681,862.27106,0.104003906,0.136962891,1.005065918,3.192596436,-4.71786499,0.613098145,1,4,1,1,2,40,,220,LHC,Male,No,Right
48:34.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,220,LHC,Male,No,Right
48:35.1,1.2832531,1.0108733,1.1919888,0.1360475,1.0561098,0.6460188,0.4544785,0.4633515,1.0013328,0.51625955,0.6340102,1.0619061,1.1052303,0.29796875,0.46853518,0.9380078,1.0508904,-0.20643574,-0.14367856,0.27861667,943.2601,730.9158,753.0769,705.12823,638.6447,0.098815918,0.147583008,1.012878418,4.441223145,-5.794525146,1.637420654,1,4,1,1,2,40,,220,LHC,Male,No,Right
48:36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,220,LHC,Male,No,Right
48:36.1,1.2832531,0.96323913,1.2673478,0.1360475,1.0561098,0.63119805,0.33830324,0.4633515,1.0013328,0.3215573,0.58698285,1.0619061,1.1052303,0.3730083,0.4488626,0.9380078,1.0508904,-0.20852324,-0.16887596,0.27861667,714.3956,848.97437,792.5641,774.0293,686.5934,0.118286133,0.151672363,0.995422363,2.706604004,-5.458068848,0.403747559,1,2,1,1,2,40,,220,LHC,Male,No,Right
48:36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,220,LHC,Male,No,Right
48:36.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,220,LHC,Male,No,Right
48:37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,220,LHC,Male,No,Right
48:37.1,1.2832531,0.96323913,0.97878927,0.1360475,1.0561098,0.63119805,0.6213966,0.4633515,1.0013328,0.3215573,0.7210457,1.0619061,1.1052303,0.3730083,0.33983877,0.9380078,1.0508904,-0.20852324,-0.014083722,0.27861667,0,718.022,775.2381,0,880,0.119506836,0.155456543,0.983886719,4.149627686,-5.592651367,0.186920166,1,4,1,1,2,40,,220,LHC,Male,No,Right
48:37.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,220,LHC,Male,No,Right
48:37.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,220,LHC,Male,No,Right
48:37.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,220,LHC,Male,No,Right
48:38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,220,LHC,Male,No,Right
48:38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,220,LHC,Male,No,Right
48:38.2,1.2832531,0.96323913,1.0399569,0.1360475,1.0561098,0.63119805,0.5808713,0.4633515,1.0013328,0.3215573,0.7351497,1.0619061,1.1052303,0.3730083,0.37937677,0.9380078,1.0508904,-0.20852324,0.073750064,0.27861667,503.663,524.21246,536.7033,1621.7949,699.4872,0.114685059,0.182495117,1.001342773,3.671112061,-4.388885498,-1.06918335,1,4,1,1,4,40,,220,LHC,Male,No,Right
48:38.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,220,LHC,Male,No,Right
48:38.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,220,LHC,Male,No,Right
48:39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,220,LHC,Male,No,Right
48:39.2,1.2832531,0.96323913,1.0954689,0.1360475,1.0561098,0.63119805,0.5566633,0.4633515,1.0013328,0.3215573,0.7343128,1.0619061,1.1052303,0.3730083,0.38011786,0.9380078,1.0508904,-0.20852324,0.14255337,0.27861667,603.9927,699.4872,727.6923,1048.4249,653.5531,0.111694336,0.191772461,1.002868652,2.355194092,-2.714080811,0.687866211,1,4,1,1,4,40,,220,LHC,Male,No,Right
48:39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,220,LHC,Male,No,Right
48:39.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,220,LHC,Male,No,Right
48:40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,220,LHC,Male,No,Right
48:40.2,1.2832531,0.96323913,1.0954689,0.1360475,1.0561098,0.63119805,0.5566633,0.4633515,1.0013328,0.3215573,0.7343128,1.0619061,1.1052303,0.3730083,0.38011786,0.9380078,1.0508904,-0.20852324,0.14255337,0.27861667,1104.0293,677.72894,841.31866,298.97437,844.1392,0.116699219,0.189697266,0.988891602,1.278533936,-4.463653564,3.603820801,1,4,2,1,4,40,,220,LHC,Male,No,Right
48:40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,220,LHC,Male,No,Right
48:41.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,220,LHC,Male,No,Right
48:41.2,1.2832531,0.96323913,1.0954689,0.1360475,1.0561098,0.63119805,0.5566633,0.4633515,1.0013328,0.3215573,0.7343128,1.0619061,1.1052303,0.3730083,0.38011786,0.9380078,1.0508904,-0.20852324,0.14255337,0.27861667,1004.5055,722.0513,840.9158,1263.5897,902.96704,0.100830078,0.203979492,0.981506348,3.828125,-0.059814453,-0.628051758,1,4,1,1,4,40,,220,LHC,Male,No,Right
48:41.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,220,LHC,Male,No,Right
48:41.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,220,LHC,Male,No,Right
48:42.2,1.2832531,0.96323913,1.0954689,0.1360475,1.0561098,0.63119805,0.5566633,0.4633515,1.0013328,0.3215573,0.7343128,1.0619061,1.1052303,0.3730083,0.38011786,0.9380078,1.0508904,-0.20852324,0.14255337,0.27861667,507.28937,815.12823,966.63007,876.77655,774.83514,0.082885742,0.208679199,0.987976074,3.342132568,-4.015045166,1.039276123,1,2,1,1,4,40,,220,LHC,Male,No,Right
48:42.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,220,LHC,Male,No,Right
48:43.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,220,LHC,Male,No,Right
48:43.3,1.2832531,0.96323913,1.0954689,0.1360475,1.0561098,0.63119805,0.5566633,0.4633515,1.0013328,0.3215573,0.7343128,1.0619061,1.1052303,0.3730083,0.38011786,0.9380078,1.0508904,-0.20852324,0.14255337,0.27861667,0,749.85345,843.73627,809.89014,645.89746,0.05657959,0.207946777,0.997741699,2.93838501,-3.932800293,-0.306549072,1,4,1,1,2,40,,220,LHC,Male,No,Right
48:43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,220,LHC,Male,No,Right
