TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
35:13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-9E89,127,LHS,Male,Yes,Right
35:13.5,0.7453999,0,1.2402977,0.61533123,0.64797485,0,0.3148501,0.178018,0.3328736,0,0.37652886,0.4782606,0.44554776,0,0.27777407,0.71655804,0.5394226,0,0.042864755,0.68949676,863.47986,1602.4542,963.8095,853.00366,770.80585,0.75970459,0.029724121,0.682067871,2.400054932,-2.616882324,-1.8019104,1,2,4,2,2,80,,127,LHS,Male,Yes,Right
35:13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,127,LHS,Male,Yes,Right
35:14.5,0.7453999,0,1.2402977,0.61533123,0.64797485,0,0.3148501,0.178018,0.3328736,0,0.37652886,0.4782606,0.44554776,0,0.27777407,0.71655804,0.5394226,0,0.042864755,0.68949676,810.696,890.4762,811.9048,810.293,669.67035,0.733947754,0.053649902,0.671630859,2.086029053,-10.02639771,-0.807495117,1,2,4,2,2,80,,127,LHS,Male,Yes,Right
35:15.5,1.088482,0,1.2402977,0.61533123,1.0396725,0,0.3148501,0.178018,0.89229155,0,0.37652886,0.4782606,0.69383353,0,0.27777407,0.71655804,0.25328445,0,0.042864755,0.68949676,773.6264,741.39197,851.79486,778.0586,680.9524,0.791992188,0.064697266,0.669433594,-7.073059082,-3.648681641,-1.93649292,1,1,4,2,1,80,,127,LHS,Male,Yes,Right
35:15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,127,LHS,Male,Yes,Right
35:16.5,1.1934925,0,1.2402977,1.341655,1.0124242,0,0.3148501,1.1193477,0.84036374,0,0.37652886,0.7955623,0.7251718,0,0.27777407,0.9508021,0.22372063,0,0.042864755,0.49237993,831.6484,913.8461,590.293,843.3333,819.15753,0.788574219,0.152832031,0.583862305,15.92559814,-6.579589844,-0.620574951,1,1,4,2,1,80,,127,LHS,Male,Yes,Right
35:17.5,1.2413565,0,1.2402977,1.341655,0.9966486,0,0.3148501,1.1193477,0.71803457,0,0.37652886,0.7955623,0.73977375,0,0.27777407,0.9508021,0.21311925,0,0.042864755,0.49237993,788.5348,900.54944,640.65936,769.59705,633.8095,0.778137207,0.073669434,0.686889648,-1.465454102,2.0262146,-1.428070068,1,1,4,2,1,80,,127,LHS,Male,Yes,Right
35:18.5,1.2413565,0,1.2402977,1.341655,0.9966486,0,0.3148501,1.1193477,0.71803457,0,0.37652886,0.7955623,0.73977375,0,0.27777407,0.9508021,0.21311925,0,0.042864755,0.49237993,811.0989,820.3663,936.0073,705.9341,820.3663,0.744995117,0.115234375,0.63659668,9.301147461,-2.953338623,4.441223145,1,2,4,2,2,80,,127,LHS,Male,Yes,Right
35:19.6,1.2413565,0,1.2402977,1.341655,0.9966486,0,0.3148501,1.1193477,0.71803457,0,0.37652886,0.7955623,0.73977375,0,0.27777407,0.9508021,0.21311925,0,0.042864755,0.49237993,800.6227,410.5861,556.8498,784.10254,766.3736,0.775024414,0.061828613,0.659912109,0.179443359,-2.145843506,2.78137207,1,2,4,2,2,80,,127,LHS,Male,Yes,Right
