,Unnamed: 0,Unnamed: 0.1,TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
0,0,0,2022-11-01 15:37:59.717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-9E89,311,LHS,Male,No,Right
1,1,1,2022-11-01 15:38:00.220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,311,LHS,Male,No,Right
2,2,2,2022-11-01 15:38:00.402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,311,LHS,Male,No,Right
3,3,3,2022-11-01 15:38:00.718,0.7375798207505925,0.0,0.0,0.9056083112237406,0.8767491765902599,0.0,0.0,0.7558384891080081,0.8494156104151108,0.0,0.0,1.061231946146057,0.997746746214715,0.0,0.0,0.7707694921763799,0.5741972761018452,0.0,0.0,0.7261181062821951,796.5934065934066,771.2087912087912,937.6190476190476,739.3772893772893,816.3369963369963,0.298401,0.062866,0.959839,2.871094,-8.471222,9.95163,1.0,2.0,4.0,2.0,2.0,50.0,,311,LHS,Male,No,Right
4,4,4,2022-11-01 15:38:01.718,0.7375798207505925,0.0,0.0,0.9056083112237406,0.8767491765902599,0.0,0.0,0.7558384891080081,0.8494156104151108,0.0,0.0,1.061231946146057,0.997746746214715,0.0,0.0,0.7707694921763799,0.5741972761018452,0.0,0.0,0.7261181062821951,790.952380952381,817.948717948718,916.2637362637364,766.7765567765568,678.5347985347986,0.386169,0.057861,0.933899,3.738403,-5.914154,-1.05423,1.0,2.0,4.0,2.0,2.0,50.0,,311,LHS,Male,No,Right
5,5,5,2022-11-01 15:38:02.718,0.4753769664355801,0.0,0.0,0.8628660898815016,0.1052743526719712,0.0,0.0,0.5203187461228973,0.9183634669708762,0.0,0.0,0.8302953534945376,0.7798436308539246,0.0,0.0,0.7657153487474725,0.2963693358769892,0.0,0.0,0.4884079567993561,806.2637362637363,663.6263736263736,895.3113553113553,792.967032967033,781.6849816849817,0.404968,0.054504,0.932129,2.676697,-6.183319,0.18692,1.0,1.0,4.0,2.0,1.0,50.0,,311,LHS,Male,No,Right
6,6,6,2022-11-01 15:38:03.724,0.55911598050433,0.0,0.0,0.5790619831675656,0.2495361727737627,0.0,0.0,0.3524186000225762,0.876623623308881,0.0,0.0,0.7883098323881875,0.6953376012297023,0.0,0.0,0.6970076974018524,0.2830316996963141,0.0,0.0,0.3965803148193323,797.3992673992674,602.7838827838827,753.4798534798535,798.6080586080586,658.7912087912088,0.402222,0.054565,0.933044,4.000092,-6.108551,3.618774,1.0,1.0,4.0,2.0,1.0,50.0,,311,LHS,Male,No,Right
7,7,7,2022-11-01 15:38:04.717,0.5894100210222294,0.0,0.0,0.7577709521424241,0.0839128907595165,0.0,0.0,0.0924169213342383,0.5247935539134677,0.0,0.0,0.3431617932340099,0.4106023721309967,0.0,0.0,0.611184578112619,0.2746859974292993,0.0,0.0,0.4005901603921597,821.5750915750916,863.4798534798535,822.7838827838829,809.8901098901099,697.0695970695971,0.40918,0.054382,0.928833,3.917847,-3.588867,1.906586,1.0,1.0,4.0,2.0,1.0,50.0,,311,LHS,Male,No,Right
8,8,8,2022-11-01 15:38:05.718,0.5608260410532075,0.0,0.0,0.800209451507267,0.0343896097195513,0.0,0.0,0.7487951304373942,0.607175189608088,0.0,0.0,0.2689585105575782,0.5814767401887025,0.0,0.0,0.6882279178894921,0.245566681597845,0.0,0.0,0.3694057481630144,807.0695970695971,795.7875457875458,861.8681318681319,820.7692307692308,814.3223443223443,0.429321,0.059265,0.922058,2.901001,-3.596344,0.822449,1.0,1.0,4.0,2.0,1.0,50.0,,311,LHS,Male,No,Right
9,9,9,2022-11-01 15:38:06.718,0.432868360991097,0.0,0.0,0.7434683678644989,0.5286686452729372,0.0,0.0,0.8618411578781341,0.8419419255333896,0.0,0.0,0.3073808844316109,0.5895322256644708,0.0,0.0,0.5750841295809163,0.4786338400212049,0.0,0.0,0.364337224311971,821.1721611721612,280.0366300366301,587.8754578754579,836.886446886447,936.007326007326,0.427856,0.055908,0.929565,2.721558,-2.908478,2.056122,1.0,1.0,4.0,2.0,1.0,50.0,,311,LHS,Male,No,Right
