TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
05:31.8,0.8198535,0,13.638.215,10.647.042,0.72696215,0,0.641893,1.162.702,0.61302876,0,0.64434516,11.347.171,0.91061664,0,0.3010742,0.89361143,0.41209212,0,0.30926907,0.76246214,77.886.444,9.742.857,8.187.546,84.897.437,75.630.035,0.348571777,-0.009521484,0.953430176,-0.441131592,-7.633.819.580.078.120,-9.473.114.013.671.870,1,2,2,1,2,80,,206,RHC,Female,Yes,Right
05:32.8,0.8198535,0,13.638.215,10.647.042,0.72696215,0,0.641893,1.162.702,0.61302876,0,0.64434516,11.347.171,0.91061664,0,0.3010742,0.89361143,0.41209212,0,0.30926907,0.76246214,8.256.044,11.116.849,816.337,87.032.965,8.183.516,0.391113281,-0.026977539,0.952514648,285.614.013.671.875,-5.375.823.974.609.370,-0.837402344,1,2,2,1,2,80,,206,RHC,Female,Yes,Right
05:33.8,0.8198535,0,1.014.234,10.647.042,0.72696215,0,0.78641814,1.162.702,0.61302876,0,0.5401717,11.347.171,0.91061664,0,0.5698232,0.89361143,0.41209212,0,-0.033768997,0.76246214,8.284.249,9.569.597,8.231.868,8.654.945,69.465.204,0.381469727,0.002563477,0.936340332,9.891.815.185.546.870,-5.136.566.162.109.370,-33.795.166.015.625,1,2,2,1,2,80,,206,RHC,Female,Yes,Right
05:34.8,0.9279586,0,0.94657004,1.568.581,0.7812251,0,0.5434469,15.790.522,10.458.351,0,0.5754362,13.161.577,0.9961693,0,0.43486482,10.375.185,0.38775724,0,0.03454037,0.81147134,85.179.486,7.047.253,8.199.634,79.336.993,799.011,0.317504883,0.007446289,0.950561523,0.800018311,-0.321502686,-2.213.134.765.625,1,1,2,1,1,80,,206,RHC,Female,Yes,Right
05:35.9,13.459.986,0,0.7513345,1.568.581,11.526.266,0,0.66073775,15.790.522,10.005.265,0,0.16415109,13.161.577,0.9476557,0,0.23578952,10.375.185,0.4287249,0,0.11024577,0.81147134,8.352.747,76.274.725,79.538.464,8.445.421,73.373.627,0.363891602,0.005554199,0.953674316,32.000.732.421.875,-5.084.228.515.625,2.190.704.345.703.120,1,1,2,1,1,80,,206,RHC,Female,Yes,Right
05:36.9,0.93489057,0,0.75736445,0.7442731,0.88569903,0,0.71329784,15.379.857,0.80431706,0,0.14039034,11.699.306,0.6784241,0,0.22725917,0.89759475,0.43489727,0,0.07138089,0.77569354,84.131.866,10.492.307,8.296.337,8.304.396,83.487.177,0.330688477,6.71E+06,0.950683594,0.800018311,-98.394.775.390.625,4.448.699.951.171.870,1,1,2,1,1,80,,206,RHC,Female,Yes,Right
05:37.9,0.9775569,0,0.75736445,0.7442731,0.7026961,0,0.71329784,15.379.857,0.73010516,0,0.14039034,11.699.306,0.5872433,0,0.22725917,0.89759475,0.33830732,0,0.07138089,0.77569354,83.849.817,5.773.993,76.919.415,85.945.056,9.509.158,0.357543945,0.001586914,0.950866699,246.734.619.140.625,-3.327.178.955.078.120,112.152.099.609.375,1,1,2,1,1,80,,206,RHC,Female,Yes,Right
05:38.9,0.80395263,0,0.75736445,0.7442731,0.59728664,0,0.71329784,15.379.857,0.8389566,0,0.14039034,11.699.306,0.5974252,0,0.22725917,0.89759475,0.20820354,0,0.07138089,0.77569354,8.497.802,100.410.254,8.256.044,8.538.095,8.123.077,0.367126465,-0.002746582,0.951477051,3.491.668.701.171.870,-465.057.373.046.875,35.888.671.875,1,1,2,1,1,80,,206,RHC,Female,Yes,Right
05:39.9,0.6928763,0,0.75736445,10.798.254,0.90781,0,0.71329784,13.847.713,0.9432176,0,0.14039034,12.175.429,0.7320493,0,0.22725917,10.759.224,0.12520386,0,0.07138089,0.4863883,8.352.747,1.036.337,8.235.897,822.381,75.468.866,0.332519531,-0.006286621,0.960144043,4.508.514.404.296.870,-330.474.853.515.625,0.433654785,1,1,2,1,1,80,,206,RHC,Female,Yes,Right
05:40.9,0.8249589,0,0.75736445,1.010.911,0.9752303,0,0.71329784,1.230.904,0.7865808,0,0.14039034,0.8205886,0.86310595,0,0.22725917,10.105.007,0.22231027,0,0.07138089,0.63634294,839.304,9.037.729,79.860.803,8.292.308,7.820.879,0.340759277,6.10E+05,0.955627441,3.132.781.982.421.870,-581.695.556.640.625,2.519.683.837.890.620,1,1,2,1,1,80,,206,RHC,Female,Yes,Right
05:42.0,10.807.564,0,0.75736445,103.454,0.908681,0,0.71329784,11.480.658,13.599.768,0,0.14039034,0.63588995,0.7517823,0,0.22725917,0.9886197,0.37575114,0,0.07138089,0.7346698,8.380.952,9.009.524,7.780.586,8.207.692,7.937.729,0.361328125,-0.00189209,0.967651367,3.289.794.921.875,-5.689.849.853.515.620,0.157012939,1,1,2,1,1,80,,206,RHC,Female,Yes,Right
05:43.0,0.82156855,0,0.75736445,103.454,0.771686,0,0.71329784,11.480.658,1.296.381,0,0.14039034,0.63588995,0.59721357,0,0.22725917,0.9886197,0.35004345,0,0.07138089,0.7346698,8.119.048,11.221.611,8.300.366,8.429.304,7.055.311,0.346313477,-0.00189209,0.964599609,2.534.637.451.171.870,-64.300.537.109.375,0.904693604,1,1,2,1,1,80,,206,RHC,Female,Yes,Right
05:44.0,0.7484906,0,0.75736445,11.288.768,0.82999474,0,0.71329784,11.482.887,10.603.343,0,0.14039034,0.8919943,0.67641795,0,0.22725917,0.92035925,0.55730456,0,0.07138089,0.73031354,84.655.676,90.175.824,833.663,8.038.461,81.512.823,0.333374023,-4.88E+03,0.957824707,4.239.349.365.234.370,-3.895.416.259.765.620,-0.919647217,1,1,2,1,1,80,,206,RHC,Female,Yes,Right
05:45.0,0.8169385,0,1.278.148,10.126.201,0.58233625,0,0.8079807,0.997819,0.88526005,0,0.72401667,1.045.889,0.7907827,0,0.58829087,0.71261865,0.41560808,0,0.08380471,0.5944798,8.433.333,3.896.337,810.293,8.880.586,10.371.428,0.35357666,-0.006164551,0.967529297,2.355.194.091.796.870,-5.345.916.748.046.870,-1.278.533.935.546.870,1,1,2,1,1,80,,206,RHC,Female,Yes,Right
05:46.0,0.6735392,0,1.031.738,0.9045827,0.5472802,0,0.79279584,12.408.214,0.85316676,0,0.67244345,10.043.061,0.552316,0,0.500557,0.7313132,0.32343146,0,0.35311842,0.6385,85.582.416,8.256.044,80.465.204,11.491.575,8.602.564,0.372253418,0.110839844,0.959411621,1.320.404.052.734.370,-0.014953613,-7.962.799.072.265.620,1,1,2,1,1,80,,206,RHC,Female,Yes,Right
05:46.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,206,RHC,Female,Yes,Right
