TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
07:09.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-9E89,130,RHS,Male,Yes,Right
07:09.7,-3.2927802,1.0209361,0.92029494,1.1688621,-3.7457774,0.2005948,0.117222406,0.6347976,-3.218384,0.27948537,-0.036966052,0.77980846,-3.1502047,0.5521151,0.07376849,0.5404339,-3.1871436,-0.32247394,-0.30636862,0.44354734,0,775.64105,886.04395,874.35895,983.5531,0.372314453,-0.161865234,0.930358887,9.764709473,-7.200164795,-5.779571533,1,4,1,4,2,70,,130,RHS,Male,Yes,Right
07:10.7,-3.2927802,1.0209361,0.92029494,1.1688621,-3.7457774,0.2005948,0.117222406,0.6347976,-3.218384,0.27948537,-0.036966052,0.77980846,-3.1502047,0.5521151,0.07376849,0.5404339,-3.1871436,-0.32247394,-0.30636862,0.44354734,527.8388,809.0842,781.28204,827.619,807.47253,0.41418457,-0.153686523,0.915344238,4.545898438,-8.030090332,3.200073242,1,4,1,2,2,70,,130,RHS,Male,Yes,Right
07:11.8,-3.2927802,1.1974677,0.92029494,1.1688621,-3.7457774,0.07861223,0.117222406,0.6347976,-3.218384,0.70759207,-0.036966052,0.77980846,-3.1502047,-0.09482147,0.07376849,0.5404339,-3.1871436,-0.36255783,-0.30636862,0.44354734,1621.392,783.2967,833.2601,897.72894,803.44324,0.462585449,-0.156311035,0.903564453,7.835693359,-6.72164917,10.48995972,1,4,1,1,2,70,,130,RHS,Male,Yes,Right
07:12.8,-3.2927802,1.2790741,0.92029494,1.1688621,-3.7457774,0.17705767,0.117222406,0.6347976,-3.218384,0.43242443,-0.036966052,0.77980846,-3.1502047,-0.06494866,0.07376849,0.5404339,-3.1871436,-0.41419268,-0.30636862,0.44354734,590.293,788.5348,884.0293,630.18317,841.31866,0.429931641,-0.205627441,0.909667969,-5.69732666,-6.504821777,5.293579102,1,4,1,1,2,70,,130,RHS,Male,Yes,Right
07:13.8,-3.2927802,1.2790741,0.92029494,1.1688621,-3.7457774,0.17705767,0.117222406,0.6347976,-3.218384,0.43242443,-0.036966052,0.77980846,-3.1502047,-0.06494866,0.07376849,0.5404339,-3.1871436,-0.41419268,-0.30636862,0.44354734,1208.7913,697.0696,933.1868,725.6777,697.47253,0.468505859,-0.194824219,0.879821777,5.495452881,-3.880462646,0.747680664,1,4,1,1,2,70,,130,RHS,Male,Yes,Right
07:14.8,-3.2927802,1.2790741,0.92029494,1.1688621,-3.7457774,0.17705767,0.117222406,0.6347976,-3.218384,0.43242443,-0.036966052,0.77980846,-3.1502047,-0.06494866,0.07376849,0.5404339,-3.1871436,-0.41419268,-0.30636862,0.44354734,0.8058608,921.9048,890.07324,512.9304,751.4652,0.465515137,-0.231750488,0.875549316,1.652374268,-4.76272583,0.620574951,1,4,1,1,2,70,,130,RHS,Male,Yes,Right
07:15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,130,RHS,Male,Yes,Right
07:15.8,-3.2927802,1.2790741,0.92029494,1.1688621,-3.7457774,0.17705767,0.117222406,0.6347976,-3.218384,0.43242443,-0.036966052,0.77980846,-3.1502047,-0.06494866,0.07376849,0.5404339,-3.1871436,-0.41419268,-0.30636862,0.44354734,205.4945,736.1539,619.304,735.7509,799.011,0.46496582,-0.244384766,0.862792969,4.78515625,-6.160888672,-3.013153076,1,4,1,1,2,70,,130,RHS,Male,Yes,Right
07:16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,130,RHS,Male,Yes,Right
