TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
06:01.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-9E89,318,RHS,Male,Yes,Left
06:01.4,0.89765316,0,0.4874853,0.857122,0.40123898,0,0.374037,0.4107247,0.5431069,0,0.2883004,0.96338,0.9871485,0,0.8382908,1.538073,0.66352415,0,0.72970384,1.1239074,843.73627,752.674,782.0879,816.7399,783.69965,-0.18182373,-0.119567871,0.994567871,3.050537109,-4.104766846,-0.949554443,1,1,1,1,1,60,,318,RHS,Male,Yes,Left
06:02.4,1.0658839,0,0.4874853,1.2268463,0.7537619,0,0.374037,1.0261124,1.236767,0,0.2883004,1.2840832,1.0150877,0,0.8382908,0.9827148,0.7244858,0,0.72970384,0.531883,803.0403,801.4286,774.0293,807.47253,732.9304,-0.170776367,-0.100708008,0.994812012,7.013244629,-0.874786377,-6.003875732,1,1,1,1,1,60,,318,RHS,Male,Yes,Left
06:02.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,318,RHS,Male,Yes,Left
06:03.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,318,RHS,Male,Yes,Left
06:03.4,0.9659167,0,0.4874853,1.1270913,0.5592793,0,0.374037,0.8668832,1.1382234,0,0.2883004,1.1884756,1.0041273,0,0.8382908,0.9242865,0.7027283,0,0.72970384,0.5456729,779.2674,808.68134,757.50916,772.8205,985.56775,0.394348145,-0.118896484,0.966125488,11.31240845,-16.45645142,-11.95541382,1,1,1,1,1,60,,318,RHS,Male,Yes,Left
06:03.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,318,RHS,Male,Yes,Left
06:04.4,0.95507705,0,0.4874853,1.1270913,0.6014659,0,0.374037,0.8668832,1.0900265,0,0.2883004,1.1884756,1.016917,0,0.8382908,0.9242865,0.72374445,0,0.72970384,0.5456729,884.0293,690.6227,830.0366,815.5311,757.50916,0.541564941,-0.169433594,0.84387207,10.55725098,-22.62481689,7.917938232,1,1,1,1,1,60,,318,RHS,Male,Yes,Left
06:04.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,318,RHS,Male,Yes,Left
06:05.5,0.95507705,0,0.4874853,1.1270913,0.6014659,0,0.374037,0.8668832,1.0900265,0,0.2883004,1.1884756,1.016917,0,0.8382908,0.9242865,0.72374445,0,0.72970384,0.5456729,812.71063,735.7509,775.2381,828.8278,972.27106,0.614746094,-0.176330566,0.784606934,1.607513428,-12.39654541,5.001983643,1,2,1,1,2,60,,318,RHS,Male,Yes,Left
06:06.5,1.1334485,0,0.4874853,1.1270913,0.88200384,0,0.374037,0.8668832,0.89440596,0,0.2883004,1.1884756,1.0323288,0,0.8382908,0.9242865,0.814587,0,0.72970384,0.5456729,895.31134,738.1685,849.7802,868.71796,769.19415,0.620788574,-0.207275391,0.760070801,6.579589844,-0.216827393,-4.815063477,1,1,1,1,1,55,,318,RHS,Male,Yes,Left
06:07.5,1.353288,0,0.4874853,1.420106,1.1447234,0,0.374037,1.1034429,0.93537706,0,0.2883004,1.2715249,0.9795184,0,0.8382908,1.2162206,0.8187643,0,0.72970384,0.68142664,840.5128,678.93774,776.04395,821.978,716.8132,0.659484863,-0.208557129,0.752807617,5.884246826,-8.351593018,-0.007476807,1,1,1,1,1,55,,318,RHS,Male,Yes,Left
06:08.5,1.309843,0,0.4874853,1.2887349,0.9822419,0,0.374037,1.0175433,0.95826244,0,0.2883004,1.2649546,0.97558373,0,0.8382908,1.1546127,0.7950702,0,0.72970384,0.744867,755.4945,656.3736,648.315,778.0586,1070.1831,0.673034668,-0.198242188,0.724853516,2.287902832,-5.345916748,2.302856445,1,1,1,1,1,55,,318,RHS,Male,Yes,Left
06:09.5,0.4764165,0,0.4874853,0.37970853,0.5449464,0,0.374037,0.77633554,0.77938676,0,0.2883004,1.3005756,0.6040026,0,0.8382908,1.0503702,0.4072248,0,0.72970384,0.6869539,792.5641,863.47986,777.25275,819.5604,653.5531,0.686706543,-0.237304688,0.730102539,1.428070068,-6.340332031,-1.77947998,1,1,1,1,1,55,,318,RHS,Male,Yes,Left
06:09.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,318,RHS,Male,Yes,Left
06:10.6,0.4764165,0,0.4874853,0.42937103,0.5449464,0,0.374037,0.7958428,0.77938676,0,0.2883004,1.2766749,0.6040026,0,0.8382908,1.0638798,0.4072248,0,0.72970384,0.6730239,790.9524,794.57874,790.9524,794.57874,736.9597,0.677368164,-0.20892334,0.738769531,2.901000977,-4.179534912,-0.373840332,1,1,1,1,1,55,,318,RHS,Male,Yes,Left
06:11.6,0.4764165,0,0.4874853,0.74665487,0.5449464,0,0.374037,0.80449134,0.77938676,0,0.2883004,1.3050326,0.6040026,0,0.8382908,0.96035075,0.4072248,0,0.72970384,0.44136044,759.5238,749.45056,807.8755,756.7033,869.12085,0.688110352,-0.215270996,0.723754883,2.923431396,-5.944061279,0.13458252,1,1,1,1,1,55,,318,RHS,Male,Yes,Left
06:12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,318,RHS,Male,Yes,Left
06:12.6,0.4764165,0,0.4874853,0.7636767,0.5449464,0,0.374037,0.836685,0.77938676,0,0.2883004,1.1578579,0.6040026,0,0.8382908,0.99429405,0.4072248,0,0.72970384,0.34207806,840.10986,752.27106,750.65936,800.6227,790.14655,0.682006836,-0.213256836,0.726806641,2.504730225,-4.426269531,-1.04675293,1,1,1,1,1,55,,318,RHS,Male,Yes,Left
06:13.6,0.4764165,0,0.4874853,0.7636767,0.5449464,0,0.374037,0.836685,0.77938676,0,0.2883004,1.1578579,0.6040026,0,0.8382908,0.99429405,0.4072248,0,0.72970384,0.34207806,855.0183,781.685,743.8095,821.1722,713.5897,0.695983887,-0.232299805,0.712402344,5.487976074,-5.973968506,1.009368896,1,1,1,1,1,55,,318,RHS,Male,Yes,Left
06:14.6,0.31168857,0,0.4874853,0.6220496,0.390381,0,0.374037,0.16661845,0.8906464,0,0.2883004,1.1789336,0.70235956,0,0.8382908,1.0845804,0.6759379,0,0.72970384,0.73540473,850.58606,774.83514,771.2088,806.26373,745.42126,0.70300293,-0.215209961,0.697692871,4.231872559,-4.209442139,1.398162842,1,1,1,1,1,55,,318,RHS,Male,Yes,Left
06:15.7,0.58942664,0,0.4874853,0.40924713,0.46306437,0,0.374037,0.36486024,0.86283463,0,0.2883004,0.84308815,0.59027034,0,0.8382908,1.0634286,0.6484619,0,0.72970384,0.6199519,838.49817,749.45056,695.4579,804.2491,736.1539,0.738342285,-0.234375,0.660583496,-1.09161377,-7.289886475,-1.061706543,1,1,1,1,1,55,,318,RHS,Male,Yes,Left
06:16.7,0.5201103,0,0.4874853,0.69139016,0.42247653,0,0.374037,0.4268403,0.8878473,0,0.2883004,1.2948062,0.77641845,0,0.8382908,1.2002921,0.40211195,0,0.72970384,0.7513055,813.5165,819.15753,770,811.9048,638.24176,0.726745605,-0.234680176,0.657653809,4.523468018,-6.198272705,2.594451904,1,1,1,1,1,55,,318,RHS,Male,Yes,Left
06:17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,318,RHS,Male,Yes,Left
06:17.7,0.9206156,0,0.4874853,0.98702145,0.6901069,0,0.374037,0.78317386,0.706849,0,0.2883004,1.1630157,0.8784901,0,0.8382908,1.1980759,0.3424452,0,0.72970384,0.94302315,796.5934,864.68866,749.45056,835.2747,718.4249,0.754943848,-0.249938965,0.659973145,2.205657959,-4.912261963,-2.788848877,1,1,1,1,1,55,,318,RHS,Male,Yes,Left
06:18.7,0.9888966,0,0.52930826,1.106976,0.6365519,0,0.4329682,0.8429633,0.8180866,0,0.34482142,1.4489105,0.759258,0,0.7330266,1.1770321,0.37205896,0,0.23908447,0.71897924,798.20514,807.0696,805.8608,830.0366,970.2564,0.713928223,-0.226745605,0.653015137,6.81137085,-1.517791748,0.657958984,1,1,1,1,1,55,,318,RHS,Male,Yes,Left
06:19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,318,RHS,Male,Yes,Left
06:19.7,0.9552427,0,0.52930826,1.1087426,0.6691077,0,0.4329682,0.8946759,0.85401946,0,0.34482142,1.7085187,0.9074836,0,0.7330266,1.3802645,0.31997368,0,0.23908447,0.78533894,790.9524,805.8608,891.685,795.78754,693.44324,0.313781738,0.024902344,0.971313477,-2.415008545,-2.340240479,-4.418792725,1,1,2,1,1,55,,318,RHS,Male,Yes,Left
