,TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
0,2022-11-06 15:18:24.671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-9E89,230,LHC,Male,No,Right
1,2022-11-06 15:18:24.693,1.0073386,1.311718,1.0756489,1.02019,0.8543457,0.77031934,0.38021392,0.51481646,0.7464808,0.42237878,0.4454578,0.45371705,1.254725,0.40267843,0.44858718,0.8975662,1.0128615,-0.056122094,0.134967,0.75672,863.8828,830.4396,566.9231,722.4542,803.8461,0.56915283203125,0.22393798828125,0.80340576171875,6.676788330078125,-4.807586669921875,12.628326416015623,1.0,2.0,2.0,2.0,2.0,100.0,,230,LHC,Male,No,Right
2,2022-11-06 15:18:24.706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,230,LHC,Male,No,Right
3,2022-11-06 15:18:25.716,1.0073386,1.311718,1.0756489,1.02019,0.8543457,0.77031934,0.38021392,0.51481646,0.7464808,0.42237878,0.4454578,0.45371705,1.254725,0.40267843,0.44858718,0.8975662,1.0128615,-0.056122094,0.134967,0.75672,711.978,908.60803,557.25275,875.16486,708.3516,0.6590576171875,0.2635498046875,0.734619140625,4.5159912109375,-8.665618896484375,-2.280426025390625,1.0,2.0,2.0,2.0,2.0,100.0,,230,LHC,Male,No,Right
4,2022-11-06 15:18:26.744,1.0073386,1.311718,1.0756489,1.02019,0.8543457,0.77031934,0.38021392,0.51481646,0.7464808,0.42237878,0.4454578,0.45371705,1.254725,0.40267843,0.44858718,0.8975662,1.0128615,-0.056122094,0.134967,0.75672,738.5714,1083.8828,810.293,888.46155,790.54944,0.66485595703125,0.27044677734375,0.72991943359375,5.345916748046875,-4.388885498046875,0.231781005859375,1.0,2.0,2.0,2.0,2.0,100.0,,230,LHC,Male,No,Right
5,2022-11-06 15:18:27.783,1.0073386,1.311718,1.0756489,0.4352662,0.8543457,0.77031934,0.38021392,-0.045928963,0.7464808,0.42237878,0.4454578,0.4961205,1.254725,0.40267843,0.44858718,0.8882006,1.0128615,-0.056122094,0.134967,0.5011151,763.5531,931.5751,615.2747,909.81683,702.71063,0.6544189453125,0.27764892578125,0.7318115234375,2.82623291015625,-4.598236083984375,2.13836669921875,1.0,1.0,2.0,2.0,1.0,100.0,,230,LHC,Male,No,Right
6,2022-11-06 15:18:28.819,0.65346086,1.311718,1.0756489,0.39979497,0.34322408,0.77031934,0.38021392,0.24438223,1.0814322,0.42237878,0.4454578,0.55936044,1.3879758,0.40267843,0.44858718,0.82470936,1.2278719,-0.056122094,0.134967,0.60286164,815.5311,950.9158,618.49817,835.2747,711.978,0.63812255859375,0.26837158203125,0.74444580078125,4.14215087890625,-3.701019287109375,0.859832763671875,1.0,1.0,2.0,2.0,1.0,100.0,,230,LHC,Male,No,Right
7,2022-11-06 15:18:29.827,0.6045709,1.311718,1.0756489,0.5930629,0.3277881,0.77031934,0.38021392,0.19789767,1.0768236,0.42237878,0.4454578,0.7618226,1.3945335,0.40267843,0.44858718,0.92230606,1.1672758,-0.056122094,0.134967,0.70811474,842.1245,1083.4799,687.3993,730.9158,667.25275,0.6529541015625,0.2847900390625,0.73602294921875,3.22998046875,-4.927215576171875,-0.426177978515625,1.0,1.0,2.0,2.0,1.0,100.0,,230,LHC,Male,No,Right
8,2022-11-06 15:18:30.840,0.6772471,1.311718,1.0756489,0.71418893,0.1277505,0.77031934,0.38021392,0.34530884,0.7743483,0.42237878,0.4454578,0.79775554,1.033531,0.40267843,0.44858718,0.82745886,1.1124125,-0.056122094,0.134967,0.7880493,858.6447,857.4359,601.978,729.707,707.1429,0.65557861328125,0.27984619140625,0.7327880859375,4.306640625,-5.674896240234375,0.10467529296875,1.0,1.0,2.0,2.0,1.0,100.0,,230,LHC,Male,No,Right
9,2022-11-06 15:18:31.848,0.8251672,1.311718,1.0756489,0.64555454,0.08541508,0.77031934,0.38021392,0.47985637,0.6974231,0.42237878,0.4454578,0.9002402,1.0049871,0.40267843,0.44858718,0.9565145,1.0854671,-0.056122094,0.134967,0.7645416,879.59705,737.76556,545.16486,730.9158,867.9121,0.66107177734375,0.28656005859375,0.72210693359375,2.34771728515625,-4.403839111328125,-0.31402587890625,1.0,1.0,4.0,2.0,1.0,100.0,,230,LHC,Male,No,Right
