TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
48:06.2,-4.9027867,0.45022726,-0.21617411,0,-3.7187362,0.17247881,-0.9744844,0,-4.0275,0.02279416,0.40823397,0,-3.6185706,1.0844805,0.05628012,0,-3.583034,0.7343962,-0.0836081,0,0,597.1429,758.71796,271.5751,572.1612,0.06060791,0.003662109,1.00958252,2.407531738,-4.590759277,0.86730957,1,4,1,1,2,60,,211,LHS,Female,No,Right
48:06.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,211,LHS,Female,No,Right
48:07.2,-4.9027867,0.45022726,-0.21617411,0,-3.7187362,0.17247881,-0.9744844,0,-4.0275,0.02279416,0.40823397,0,-3.6185706,1.0844805,0.05628012,0,-3.583034,0.7343962,-0.0836081,0,1621.392,828.022,820.3663,684.17584,756.7033,0.074951172,-0.017578125,1.00390625,1.054229736,-8.314208984,1.772003174,1,4,1,1,2,60,,211,LHS,Female,No,Right
48:07.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,211,LHS,Female,No,Right
48:08.2,-4.9027867,0.45022726,-0.21617411,0,-3.7187362,0.17247881,-0.9744844,0,-4.0275,0.02279416,0.40823397,0,-3.6185706,1.0844805,0.05628012,0,-3.583034,0.7343962,-0.0836081,0,0,765.9707,819.9634,764.35895,638.24176,0.062316895,-0.02355957,1.018310547,2.863616943,-4.052429199,1.839294434,1,4,1,1,2,60,,211,LHS,Female,No,Right
48:09.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,211,LHS,Female,No,Right
48:09.2,-4.9027867,0.45022726,1.0925853,0,-3.7187362,0.17247881,0.83135045,0,-4.0275,0.02279416,0.562709,0,-3.6185706,1.0844805,0.105621964,0,-3.583034,0.7343962,-0.021474268,0,20.952381,824.7985,837.28937,590.696,842.1245,0.06060791,-0.007873535,1.014038086,1.570129395,-5.67489624,2.340240479,1,4,1,1,2,60,,211,LHS,Female,No,Right
48:09.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,211,LHS,Female,No,Right
48:09.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,211,LHS,Female,No,Right
48:10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,211,LHS,Female,No,Right
