TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
44:09.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-9E89,127,RHS,Male,Yes,Right
44:09.5,1.7570251,0.6943925,0.4724648,1.2732984,1.4177957,0.34938,0.45579356,0.5740053,1.0091397,0.584981,0.35771772,0.43350497,0.9202402,0.22278523,0.13832152,0.59240234,0.0805429,-0.26739967,-0.06577355,0.2146303,852.6007,784.90845,786.52014,830.84247,880.80585,0.493347168,-0.22833252,0.861328125,0.814971924,-9.817047119,2.676696777,1,2,1,1,2,75,,127,RHS,Male,Yes,Right
44:10.5,1.7570251,0.50382125,0.39517656,1.2732984,1.4177957,0.28583258,0.29701105,0.5740053,1.0091397,0.60870785,0.30412626,0.43350497,0.9202402,4.37E-04,0.25207698,0.59240234,0.0805429,-0.22458167,-0.25136286,0.2146303,799.81683,777.25275,777.6557,785.31134,631.39197,0.534973145,-0.259155273,0.832458496,3.491668701,-6.751556396,0.927124023,1,2,1,1,2,75,,127,RHS,Male,Yes,Right
44:11.5,1.7570251,-0.15357292,-0.30978584,1.0279825,1.4177957,-0.3061514,-0.118862756,0.5735476,1.0091397,0.22381325,0.42525437,0.58481586,0.9202402,0.004068269,0.16463542,0.5614005,0.0805429,-0.3288509,-0.2966822,0.20084865,759.5238,776.8498,780.4762,809.4872,664.0293,0.532714844,-0.231140137,0.835876465,6.168365479,-6.250610352,-0.650482178,1,1,1,1,1,75,,127,RHS,Male,Yes,Right
44:12.5,1.7570251,-0.11902591,-0.18958999,0.7319188,1.4177957,-0.20221499,-0.113997586,0.83346736,1.0091397,0.1571342,0.50312877,0.7445384,0.9202402,0.018979246,0.079492986,0.56042594,0.0805429,-0.44804007,-0.3497465,0.31402496,788.1319,777.6557,782.0879,807.8755,738.1685,0.520324707,-0.250366211,0.863098145,5.555267334,-7.058105469,6.153411865,1,1,1,1,1,70,,127,RHS,Male,Yes,Right
44:13.5,1.7570251,0.14088206,0.002282662,0.8018209,1.4177957,-0.05168239,-0.18017618,1.0271714,1.0091397,0.2806824,0.32881698,1.1901896,0.9202402,-0.057000495,0.023773516,0.57114786,0.0805429,-0.36818758,-0.35791254,0.2945499,790.54944,786.1172,789.34064,810.696,723.663,0.496154785,-0.250854492,0.820861816,-0.381317139,1.899108887,-1.166381836,1,1,1,1,1,70,,127,RHS,Male,Yes,Right
44:14.5,1.7570251,0.39471516,-0.06745667,1.0623754,1.4177957,0.33429044,0.008520204,1.0632621,1.0091397,0.3842626,0.1404832,1.2104214,0.9202402,0.0162764,-0.106628545,0.5628531,0.0805429,-0.42857656,-0.39124963,0.17889453,790.14655,789.7436,790.9524,815.9341,715.6044,0.510925293,-0.296325684,0.811279297,-0.418701172,-2.011260986,2.100982666,1,1,1,1,1,70,,127,RHS,Male,Yes,Right
44:15.5,1.7570251,0.3093813,0.07491041,0.871666,1.4177957,0.14662656,-0.034704678,0.8089542,1.0091397,0.4846559,0.48630667,0.92812204,0.9202402,-0.0519876,-0.04325515,0.51380235,0.0805429,-0.4339793,-0.3651261,0.16836773,792.5641,792.1612,788.1319,809.4872,711.978,0.525756836,-0.284301758,0.811218262,5.144042969,-3.89541626,1.390686035,1,1,1,1,1,70,,127,RHS,Male,Yes,Right
44:16.5,1.7570251,0.31048343,0.53811896,0.9683037,1.4177957,0.09247838,0.15495074,0.9749856,1.0091397,0.43571842,0.53509116,0.83207494,0.9202402,-0.017255986,0.013186826,0.6167492,0.0805429,-0.4103564,-0.31601825,0.26083374,776.4469,787.72894,789.7436,854.21246,995.64105,0.591247559,-0.202209473,0.849365234,10.63201904,-12.0526123,6.78894043,1,1,1,1,1,70,,127,RHS,Male,Yes,Right
44:17.5,1.7570251,0.059858605,0.17211135,1.2384546,1.4177957,-0.063457556,0.038087606,1.1461629,1.0091397,0.23200949,0.36719295,1.0361445,0.9202402,-0.002328501,0.13906457,0.7714381,0.0805429,-0.29865092,-0.2628512,0.3021751,749.85345,788.1319,790.9524,802.23444,718.8278,0.528503418,-0.336914063,0.765075684,1.682281494,-3.416900635,-11.0357666,1,1,1,1,1,70,,127,RHS,Male,Yes,Right
44:18.5,1.7570251,0.18526433,0.27918252,1.6377835,1.4177957,-0.04101878,-0.09138883,1.7497948,1.0091397,0.28435338,0.40000826,1.1359887,0.9202402,-0.12598738,0.097416125,0.7905511,0.0805429,-0.5150748,-0.40281543,0.18029395,857.03296,783.69965,783.69965,820.7692,679.7436,0.536987305,-0.278503418,0.782836914,-0.702819824,-4.530944824,-4.112243652,1,1,1,1,1,70,,127,RHS,Male,Yes,Right
44:19.5,1.3423787,0.27369115,0.34858802,1.2706473,1.7663755,0.04979733,0.27752757,1.1698027,1.7297195,0.33075133,0.4079243,1.0225492,0.5946937,-0.06574152,0.15360382,0.51011634,0.14394419,-0.45728362,-0.40281695,0.23232678,840.9158,794.9817,776.04395,826.0073,767.1795,0.526550293,-0.21862793,0.84753418,3.416900635,-2.265472412,-3.312225342,1,1,1,1,1,70,,127,RHS,Male,Yes,Right
