,TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
0,2022-11-06 15:30:03.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-9E89,232,RHS,Female,No,Right
1,2022-11-06 15:30:03.169,0.0,0.0,1.3367716,0.0,0.0,0.0,0.94130254,0.0,0.0,0.0,0.30466166,0.0,0.0,0.0,-0.05025451,0.0,0.0,0.0,-0.3976945,0.0,900.14655,801.4286,805.05493,925.12823,697.0696,-0.01629638671875,0.15533447265625,1.01763916015625,5.38330078125,-2.564544677734375,1.62994384765625,1.0,2.0,4.0,1.0,2.0,100.0,,232,RHS,Female,No,Right
2,2022-11-06 15:30:03.844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,232,RHS,Female,No,Right
3,2022-11-06 15:30:04.188,0.0,0.0,0.84493643,0.0,0.0,0.0,0.2566753,0.0,0.0,0.0,0.5921463,0.0,0.0,0.0,0.05013772,0.0,0.0,0.0,-0.34652463,0.0,812.71063,514.1392,778.86444,870.32965,768.3883,0.02764892578125,0.19232177734375,1.00616455078125,2.325286865234375,-5.51788330078125,1.12152099609375,1.0,2.0,4.0,1.0,2.0,100.0,,232,RHS,Female,No,Right
4,2022-11-06 15:30:05.220,0.0,0.0,0.82129294,0.0,0.0,0.0,0.32697174,0.0,0.0,0.0,0.5921463,0.0,0.0,0.0,0.049089853,0.0,0.0,0.0,-0.36918765,0.0,777.25275,124.908424,749.0476,839.304,996.8498,0.01751708984375,0.20361328125,0.99713134765625,1.39068603515625,-4.6954345703125,-1.016845703125,1.0,2.0,2.0,1.0,2.0,100.0,,232,RHS,Female,No,Right
5,2022-11-06 15:30:05.841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,232,RHS,Female,No,Right
6,2022-11-06 15:30:06.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,232,RHS,Female,No,Right
7,2022-11-06 15:30:06.228,0.0,0.0,0.82129294,0.0,0.0,0.0,0.32697174,0.0,0.0,0.0,0.5921463,0.0,0.0,0.0,0.049089853,0.0,0.0,0.0,-0.36918765,0.0,867.1062,54.798534,754.68866,853.00366,1022.6374,0.04412841796875,0.21026611328125,1.00860595703125,1.92901611328125,-5.5328369140625,-4.65057373046875,1.0,2.0,2.0,1.0,2.0,100.0,,232,RHS,Female,No,Right
8,2022-11-06 15:30:07.245,0.0,0.0,0.82129294,0.0,0.0,0.0,0.32697174,0.0,0.0,0.0,0.5921463,0.0,0.0,0.0,0.049089853,0.0,0.0,0.0,-0.36918765,0.0,855.0183,625.7509,807.47253,819.5604,877.98535,0.0335693359375,0.1954345703125,0.99530029296875,1.712188720703125,-4.089813232421875,1.39068603515625,1.0,2.0,2.0,1.0,2.0,100.0,,232,RHS,Female,No,Right
9,2022-11-06 15:30:07.669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,232,RHS,Female,No,Right
10,2022-11-06 15:30:07.995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,232,RHS,Female,No,Right
11,2022-11-06 15:30:08.271,0.0,0.0,0.82129294,0.0,0.0,0.0,0.32697174,0.0,0.0,0.0,0.5921463,0.0,0.0,0.0,0.049089853,0.0,0.0,0.0,-0.36918765,0.0,723.663,377.94873,809.89014,812.71063,698.68134,0.03338623046875,0.21868896484375,0.9964599609375,4.074859619140625,-5.45806884765625,-0.829925537109375,1.0,2.0,2.0,1.0,2.0,100.0,,232,RHS,Female,No,Right
12,2022-11-06 15:30:09.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,232,RHS,Female,No,Right
13,2022-11-06 15:30:09.281,0.0,0.0,0.82129294,0.0,0.0,0.0,0.32697174,0.0,0.0,0.0,0.5921463,0.0,0.0,0.0,0.049089853,0.0,0.0,0.0,-0.36918765,0.0,771.6117,392.85715,813.91943,796.1905,736.55676,0.07476806640625,0.2083740234375,0.9676513671875,1.158905029296875,-7.40203857421875,-1.4654541015625,1.0,2.0,2.0,1.0,2.0,100.0,,232,RHS,Female,No,Right
14,2022-11-06 15:30:10.299,0.0,0.0,0.06899158,0.0,0.0,0.0,0.09398694,0.0,0.0,0.0,-0.16763005,0.0,0.0,0.0,0.54059154,0.0,0.0,0.0,0.5961921,0.0,711.5751,490.3663,821.5751,786.1172,759.12085,0.02886962890625,0.219482421875,1.02410888671875,4.329071044921875,-4.702911376953125,-1.71966552734375,1.0,2.0,2.0,1.0,2.0,100.0,,232,RHS,Female,No,Right
15,2022-11-06 15:30:11.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,232,RHS,Female,No,Right
16,2022-11-06 15:30:11.327,0.0,0.0,-0.09435806,0.0,0.0,0.0,0.07577183,0.0,0.0,0.0,0.006755036,0.0,0.0,0.0,0.30324596,0.0,0.0,0.0,0.3248844,0.0,841.31866,654.35895,817.9487,866.30035,734.94507,0.07489013671875,0.2127685546875,1.00555419921875,2.392578125,-5.390777587890625,-1.83929443359375,1.0,2.0,2.0,1.0,2.0,100.0,,232,RHS,Female,No,Right
17,2022-11-06 15:30:12.364,0.0,0.0,0.069352,0.0,0.0,0.0,-0.20136075,0.0,0.0,0.0,0.16923,0.0,0.0,0.0,0.27976298,0.0,0.0,0.0,0.22043426,0.0,836.4835,609.2308,817.9487,841.31866,776.8498,0.08123779296875,0.2138671875,0.99053955078125,1.89910888671875,-6.587066650390625,0.112152099609375,1.0,2.0,2.0,1.0,2.0,100.0,,232,RHS,Female,No,Right
18,2022-11-06 15:30:13.376,0.0,0.0,0.92956215,0.0,0.0,0.0,0.21900234,0.0,0.0,0.0,0.26122484,0.0,0.0,0.0,0.23336777,0.0,0.0,0.0,0.0020933836,0.0,836.8865,521.79486,820.7692,810.696,686.99634,0.0732421875,0.24078369140625,1.005126953125,3.5589599609375,-4.568328857421875,0.157012939453125,1.0,2.0,4.0,1.0,2.0,100.0,,232,RHS,Female,No,Right
19,2022-11-06 15:30:13.763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,232,RHS,Female,No,Right
20,2022-11-06 15:30:14.396,0.0,0.0,1.0638804,0.0,0.0,0.0,0.3468637,0.0,0.0,0.0,0.2198141,0.0,0.0,0.0,0.24672596,0.0,0.0,0.0,-0.09301207,0.0,863.8828,689.011,792.5641,790.54944,770.0,0.0621337890625,0.22076416015625,0.97003173828125,3.641204833984375,-5.5029296875,2.056121826171875,1.0,2.0,4.0,1.0,2.0,100.0,,232,RHS,Female,No,Right
21,2022-11-06 15:30:15.403,1.0588399,0.0,0.76348346,0.0,0.82185495,0.0,0.06987809,0.0,0.81247145,0.0,0.16752447,0.0,0.8846303,0.0,0.34342772,0.0,0.6953237,0.0,0.146854,0.0,880.0,768.7912,845.7509,804.2491,724.0659,0.06341552734375,0.236328125,0.98797607421875,5.48797607421875,-0.897216796875,0.022430419921875,1.0,1.0,4.0,1.0,1.0,100.0,,232,RHS,Female,No,Right
22,2022-11-06 15:30:16.412,1.0588399,0.0,0.5260685,0.0,0.82185495,0.0,-0.3873802,0.0,0.81247145,0.0,0.042916887,0.0,0.8846303,0.0,0.3449872,0.0,0.6953237,0.0,0.24255691,0.0,828.4249,430.32968,860.65936,790.9524,812.3077,0.0694580078125,0.2451171875,0.98980712890625,5.839385986328125,-1.12152099609375,1.682281494140625,1.0,1.0,4.0,1.0,1.0,100.0,,232,RHS,Female,No,Right
23,2022-11-06 15:30:17.427,1.0588399,0.0,0.5260685,1.2615436,0.82185495,0.0,-0.3873802,0.9581599,0.81247145,0.0,0.042916887,1.1032625,0.8846303,0.0,0.3449872,0.8893933,0.6953237,0.0,0.24255691,0.71895313,733.3333,343.69965,792.96704,796.5934,749.0476,0.04486083984375,0.2542724609375,0.987060546875,6.422576904296875,-4.05242919921875,2.28790283203125,1.0,1.0,4.0,1.0,1.0,100.0,,232,RHS,Female,No,Right
