Timestamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
10:40.6,0.9999012,0.0,0.3740539,1.0018768,0.5006658,0.0,0.45033333,0.35838586,0.3778785,0.0,0.5394776,0.57347906,0.47882777,0.0,0.94056255,0.48618755,0.49810374,0.0,0.83472294,0.52368355,823.1868,1254.7252,885.2381,806.6667,754.68866,-0.019348145,0.094726563,1.015136719,4.299163818,-5.914154053,4.934692383,1.0,2.0,4.0,4.0,2.0,60.0,,109.0,LHC,Male,Yes,Right
10:41.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,109.0,LHC,Male,Yes,Right
10:41.6,0.9999012,0.0,0.3740539,1.0018768,0.5006658,0.0,0.45033333,0.35838586,0.3778785,0.0,0.5394776,0.57347906,0.47882777,0.0,0.94056255,0.48618755,0.49810374,0.0,0.83472294,0.52368355,806.26373,561.28204,426.7033,826.4103,883.6264,-0.100830078,0.126220703,1.011535645,9.390869141,-7.880554199,-2.818756104,1.0,2.0,4.0,4.0,2.0,60.0,,109.0,LHC,Male,Yes,Right
10:42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,109.0,LHC,Male,Yes,Right
10:42.7,0.9999012,0.0,0.3740539,1.0018768,0.5006658,0.0,0.45033333,0.35838586,0.3778785,0.0,0.5394776,0.57347906,0.47882777,0.0,0.94056255,0.48618755,0.49810374,0.0,0.83472294,0.52368355,851.79486,414.21246,543.1502,813.5165,969.45056,-0.003417969,0.237304688,0.99621582,5.256195068,-9.174041748,-2.392578125,1.0,2.0,4.0,4.0,2.0,60.0,,109.0,LHC,Male,Yes,Right
10:43.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,109.0,LHC,Male,Yes,Right
10:43.7,0.9999012,0.0,0.3740539,1.0018768,0.5006658,0.0,0.45033333,0.35838586,0.3778785,0.0,0.5394776,0.57347906,0.47882777,0.0,0.94056255,0.48618755,0.49810374,0.0,0.83472294,0.52368355,849.3773,729.304,563.69965,792.1612,784.5055,-0.016540527,0.106689453,1.000793457,4.037475586,-8.650665283,-11.53671265,1.0,2.0,4.0,4.0,2.0,60.0,,109.0,LHC,Male,Yes,Right
10:44.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,109.0,LHC,Male,Yes,Right
10:44.7,0.9999012,0.0,0.3740539,1.0018768,0.5006658,0.0,0.45033333,0.35838586,0.3778785,0.0,0.5394776,0.57347906,0.47882777,0.0,0.94056255,0.48618755,0.49810374,0.0,0.83472294,0.52368355,795.38464,930.3663,812.3077,778.86444,678.5348,0.05847168,0.179626465,1.00012207,2.968292236,-6.916046143,0.284118652,1.0,2.0,4.0,4.0,2.0,60.0,,109.0,LHC,Male,Yes,Right
10:45.7,0.9999012,0.0,0.3740539,1.0018768,0.5006658,0.0,0.45033333,0.35838586,0.3778785,0.0,0.5394776,0.57347906,0.47882777,0.0,0.94056255,0.48618755,0.49810374,0.0,0.83472294,0.52368355,834.87177,770.80585,806.26373,810.293,685.78754,0.06048584,0.184631348,0.996276855,1.689758301,-4.172058105,-0.575714111,1.0,2.0,4.0,4.0,2.0,60.0,,109.0,LHC,Male,Yes,Right
