,TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
0,2022-11-02 20:02:05.070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-9E89,226,LHC,Female,No,Right
1,2022-11-02 20:02:05.101,0.0,0.0,0.0,1.053025,0.0,0.0,0.0,0.69315237,0.0,0.0,0.0,0.99577117,0.0,0.0,0.0,1.3466934,0.0,0.0,0.0,0.78978336,169.6337,693.8461,795.38464,778.0586,620.9158,0.269775390625,-0.052490234375,0.98187255859375,4.08233642578125,-5.839385986328125,-0.994415283203125,1.0,2.0,4.0,1.0,2.0,95.0,,226,LHC,Female,No,Right
2,2022-11-02 20:02:06.117,0.0,0.0,0.0,0.7074196,0.0,0.0,0.0,0.35221732,0.0,0.0,0.0,0.5602306,0.0,0.0,0.0,0.8931371,0.0,0.0,0.0,0.4576951,1621.392,786.9231,859.0476,788.93774,702.3077,0.27789306640625,-0.05291748046875,0.96942138671875,3.51409912109375,-3.715972900390625,0.2392578125,1.0,4.0,1.0,2.0,1.0,95.0,,226,LHC,Female,No,Right
3,2022-11-02 20:02:07.144,0.0,0.0,0.0,0.64541703,0.0,0.0,0.0,0.12754108,0.0,0.0,0.0,0.51338714,0.0,0.0,0.0,1.0100818,0.0,0.0,0.0,0.38158807,0.0,824.7985,891.28204,786.9231,595.9341,0.277099609375,-0.03851318359375,0.98065185546875,3.050537109375,-4.844970703125,-0.171966552734375,1.0,1.0,1.0,2.0,1.0,95.0,,226,LHC,Female,No,Right
4,2022-11-02 20:02:08.167,0.0,0.0,0.0,1.3008304,0.0,0.0,0.0,0.464989,0.0,0.0,0.0,0.7540667,0.0,0.0,0.0,1.037112,0.0,0.0,0.0,0.739941,0.0,864.2857,947.6923,814.7253,697.0696,0.28277587890625,-0.0245361328125,0.9815673828125,2.82623291015625,-4.583282470703125,-1.801910400390625,1.0,4.0,1.0,1.0,1.0,95.0,,226,LHC,Female,No,Right
5,2022-11-02 20:02:09.193,0.0,0.0,0.0,1.1443905,0.0,0.0,0.0,0.74976295,0.0,0.0,0.0,1.0918499,0.0,0.0,0.0,0.93148845,0.0,0.0,0.0,0.72138727,0.0,833.2601,848.97437,778.86444,696.26373,0.279052734375,-0.0313720703125,0.97723388671875,3.70849609375,-3.4991455078125,0.186920166015625,1.0,4.0,1.0,1.0,1.0,95.0,,226,LHC,Female,No,Right
6,2022-11-02 20:02:10.214,0.0,1.2825406,0.0,0.8883028,0.0,0.9388625,0.0,0.7768869,0.0,1.1290767,0.0,1.2119161,0.0,0.53180176,0.0,0.8505277,0.0,0.2913714,0.0,0.5871181,0.0,850.18317,837.28937,823.1868,629.7802,0.26348876953125,-0.03460693359375,0.98516845703125,4.523468017578125,-3.0206298828125,-0.635528564453125,1.0,4.0,1.0,1.0,1.0,95.0,,226,LHC,Female,No,Right
7,2022-11-02 20:02:10.526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,226,LHC,Female,No,Right
8,2022-11-02 20:02:11.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,226,LHC,Female,No,Right
9,2022-11-02 20:02:11.229,0.0,1.390338,0.0,0.8034457,0.0,0.88252825,0.0,0.8345579,0.0,1.0364312,0.0,1.1984794,0.0,0.45943058,0.0,0.9290065,0.0,0.2910324,0.0,0.61526716,1621.392,860.65936,792.96704,740.58606,957.3626,0.2646484375,-0.0377197265625,0.97503662109375,2.01873779296875,-5.75714111328125,-0.157012939453125,1.0,4.0,1.0,1.0,1.0,95.0,,226,LHC,Female,No,Right
10,2022-11-02 20:02:12.257,0.0,1.390338,0.0,0.8034457,0.0,0.88252825,0.0,0.8345579,0.0,1.0364312,0.0,1.1984794,0.0,0.45943058,0.0,0.9290065,0.0,0.2910324,0.0,0.61526716,0.0,905.78754,793.36993,813.1135,827.619,0.26336669921875,-0.0523681640625,0.9798583984375,4.7552490234375,-5.226287841796875,1.816864013671875,1.0,4.0,1.0,1.0,2.0,95.0,,226,LHC,Female,No,Right
11,2022-11-02 20:02:12.547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,226,LHC,Female,No,Right
12,2022-11-02 20:02:12.974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,226,LHC,Female,No,Right
13,2022-11-02 20:02:13.269,0.0,1.390338,0.0,0.8034457,0.0,0.88252825,0.0,0.8345579,0.0,1.0364312,0.0,1.1984794,0.0,0.45943058,0.0,0.9290065,0.0,0.2910324,0.0,0.61526716,0.0,840.10986,808.2784,852.6007,893.69965,0.27215576171875,-0.03045654296875,0.97564697265625,4.8150634765625,-3.865509033203125,0.16448974609375,1.0,4.0,1.0,1.0,2.0,95.0,,226,LHC,Female,No,Right
