Timestamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
49:41.7,0.0,0.0,-0.91095644,0.0,0.0,0.0,-0.6101876,0.0,0.0,0.0,-0.5251801,0.0,0.0,0.0,-0.19149351,0.0,0.0,0.0,-0.4004063,0.0,1621.392,804.2491,892.8938,862.674,1160.0366,-0.277587891,0.053405762,0.965698242,9.488067627,-26.99874878,-16.434021,1.0,4.0,4.0,4.0,2.0,65.0,,113,LHS,Female,Yes,Right
49:42.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,113,LHS,Female,Yes,Right
49:42.7,0.0,0.0,-0.91095644,0.0,0.0,0.0,-0.6101876,0.0,0.0,0.0,-0.5251801,0.0,0.0,0.0,-0.19149351,0.0,0.0,0.0,-0.4004063,0.0,0.0,0.0,8.058608,742.6007,783.69965,-0.257507324,0.027770996,0.983886719,0.583190918,0.897216797,15.85083008,1.0,4.0,4.0,4.0,2.0,65.0,,113,LHS,Female,Yes,Right
49:42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,113,LHS,Female,Yes,Right
49:43.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,113,LHS,Female,Yes,Right
49:43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,113,LHS,Female,Yes,Right
49:43.8,0.0,0.0,-0.91095644,0.0,0.0,0.0,-0.6101876,0.0,0.0,0.0,-0.5251801,0.0,0.0,0.0,-0.19149351,0.0,0.0,0.0,-0.4004063,0.0,3.2234433,1508.9744,1172.5275,731.31866,585.8608,-0.042297363,0.057495117,1.004760742,5.256195068,-11.21520996,-9.084320068,1.0,4.0,4.0,4.0,2.0,65.0,,113,LHS,Female,Yes,Right
49:43.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,113,LHS,Female,Yes,Right
49:44.8,0.0,0.0,-0.91095644,0.0,0.0,0.0,-0.6101876,0.0,0.0,0.0,-0.5251801,0.0,0.0,0.0,-0.19149351,0.0,0.0,0.0,-0.4004063,0.0,176.48352,1003.69965,950.10986,885.64105,747.03296,0.085144043,0.05255127,1.012878418,0.687866211,-6.018829346,-2.639312744,1.0,4.0,4.0,4.0,2.0,65.0,,113,LHS,Female,Yes,Right
49:45.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,113,LHS,Female,Yes,Right
49:45.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,113,LHS,Female,Yes,Right
49:45.8,0.0,0.0,-0.91095644,0.0,0.0,0.0,-0.6101876,0.0,0.0,0.0,-0.5251801,0.0,0.0,0.0,-0.19149351,0.0,0.0,0.0,-0.4004063,0.0,7.252747,1075.8242,732.9304,792.96704,666.4469,0.063293457,0.033203125,1.014953613,1.121520996,9.166564941,17.53311157,1.0,4.0,4.0,4.0,2.0,65.0,,113,LHS,Female,Yes,Right
