TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
07:01.8,0.6737629,0.492791,0.62050575,0.9968138,0.21432011,0.0180621,-0.060314998,0.46981293,0.5130667,-0.24957785,0.30036956,0.4793016,0.8188411,0.048863754,-0.022934642,0.6287229,0.36922166,-0.3129548,-0.25075954,0.29375637,590.293,830.0366,449.67032,946.4835,1030.2931,0.206359863,0.111816406,0.985961914,2.975769043,-5.757141113,-0.426177979,1,4,1,4,1,55,,213,LHS,Male,Yes,Right
07:02.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,213,LHS,Male,Yes,Right
07:02.8,0.6737629,0.492791,0.62050575,0.9968138,0.21432011,0.0180621,-0.060314998,0.46981293,0.5130667,-0.24957785,0.30036956,0.4793016,0.8188411,0.048863754,-0.022934642,0.6287229,0.36922166,-0.3129548,-0.25075954,0.29375637,786.1172,839.304,682.5641,863.0769,782.0879,0.193969727,0.117248535,0.986572266,4.164581299,-3.813171387,-0.88973999,1,2,1,1,1,50,,213,LHS,Male,Yes,Right
07:03.8,0.6737629,0.6575916,0.62050575,0.9968138,0.21432011,0.3440455,-0.060314998,0.46981293,0.5130667,0.15587246,0.30036956,0.4793016,0.8188411,-0.20843838,-0.022934642,0.6287229,0.36922166,-0.5153321,-0.25075954,0.29375637,899.34064,844.5421,733.3333,755.4945,651.53845,0.202758789,0.131591797,0.997680664,2.714080811,-4.635620117,1.398162842,1,4,1,1,2,50,,213,LHS,Male,Yes,Right
07:04.9,0.6737629,0.690103,0.62050575,0.9968138,0.21432011,0.12901153,-0.060314998,0.46981293,0.5130667,0.08305978,0.30036956,0.4793016,0.8188411,-0.1582418,-0.022934642,0.6287229,0.36922166,-0.61848074,-0.25075954,0.29375637,598.7546,824.3956,708.7546,927.9487,759.92676,0.204345703,0.137207031,1.003112793,3.207550049,-4.074859619,2.04864502,1,2,1,1,2,50,,213,LHS,Male,Yes,Right
07:05.9,0.6737629,0.9290613,0.7587213,0.9968138,0.21432011,-0.09817244,0.4995111,0.46981293,0.5130667,0.07480336,-0.22690107,0.4793016,0.8188411,-0.16522205,-0.038611367,0.6287229,0.36922166,-0.5430506,-0.29577622,0.29375637,779.67035,850.18317,747.03296,979.5238,807.8755,0.211425781,0.121032715,0.99005127,2.714080811,-5.248718262,0.747680664,1,2,1,1,2,50,,213,LHS,Male,Yes,Right
07:06.9,0.6737629,0.75771636,0.9372797,0.9968138,0.21432011,0.043242145,0.3277098,0.46981293,0.5130667,0.3199925,0.19167419,0.4793016,0.8188411,-0.0796927,0.091115,0.6287229,0.36922166,-0.52838707,-0.19971518,0.29375637,850.18317,810.696,741.79486,823.5897,695.4579,0.234375,0.126281738,0.989501953,1.809387207,-4.276733398,1.405639648,1,2,1,1,2,50,,213,LHS,Male,Yes,Right
07:07.9,0.6737629,0.7556415,0.8898335,0.9968138,0.21432011,0.08578857,0.7604123,0.46981293,0.5130667,0.24121514,0.7402066,0.4793016,0.8188411,0.00593389,0.28784147,0.6287229,0.36922166,-0.41257107,-0.21582745,0.29375637,858.24176,813.1135,753.0769,793.7729,807.0696,0.20690918,0.11315918,0.981811523,2.474822998,-4.082336426,1.233673096,1,2,1,1,2,50,,213,LHS,Male,Yes,Right
07:09.0,0.6737629,0.4781531,0.64977884,0.9968138,0.21432011,0.14133438,0.35820726,0.46981293,0.5130667,0.45968118,0.56904644,0.4793016,0.8188411,-0.09546084,0.1160645,0.6287229,0.36922166,-0.52396375,-0.3468974,0.29375637,777.25275,795.78754,756.7033,800.6227,781.685,0.237976074,0.129760742,0.981750488,2.624359131,-4.80758667,1.084136963,1,2,1,1,2,50,,213,LHS,Male,Yes,Right
07:10.0,0.6737629,0.12987712,0.2127712,1.3240963,0.21432011,-0.05576268,0.21701561,1.2942455,0.5130667,0.41732344,0.4916405,0.6773088,0.8188411,-0.107697934,-0.06731863,0.8265539,0.36922166,-0.55635715,-0.53638947,0.43455285,795.78754,792.5641,756.30035,809.89014,704.3223,0.23651123,0.111999512,0.975952148,3.222503662,-4.224395752,-0.493469238,1,1,1,1,1,50,,213,LHS,Male,Yes,Right
