,TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
0,2022-11-06 15:31:51.554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-9E89,232,LHS,Female,No,Right
1,2022-11-06 15:31:51.583,0.27085042,-1.7675298,0.3201873,0.39618388,0.1861789,-2.2556555,-0.012086868,0.3887155,0.6428511,-1.5777929,0.11937016,0.61580366,0.5414575,-1.580812,0.11444118,0.5277363,0.33024138,-1.6510426,-0.3525532,0.538023,895.7143,1135.8608,807.8755,819.15753,694.65204,-0.1929931640625,0.17938232421875,0.9881591796875,-4.897308349609375,33.1072998046875,13.002166748046877,1.0,1.0,2.0,1.0,1.0,100.0,,232,LHS,Female,No,Right
2,2022-11-06 15:31:52.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,232,LHS,Female,No,Right
3,2022-11-06 15:31:52.594,0.56272477,-1.7675298,0.6877446,0.26805797,0.34603703,-2.2556555,0.3280002,0.39731902,0.63777626,-1.5777929,-0.055230655,0.5165447,0.65307045,-1.580812,0.05083175,0.47021928,0.31628588,-1.6510426,-0.2566528,0.62329465,826.8132,380.3663,794.17584,825.2015,777.6557,0.07965087890625,0.28912353515625,0.97015380859375,4.029998779296875,-8.112335205078125,0.142059326171875,1.0,1.0,4.0,1.0,1.0,100.0,,232,LHS,Female,No,Right
4,2022-11-06 15:31:53.624,0.56272477,-1.7675298,0.6877446,1.0028383,0.34603703,-2.2556555,0.3280002,0.52227473,0.63777626,-1.5777929,-0.055230655,0.35166532,0.65307045,-1.580812,0.05083175,0.7741554,0.31628588,-1.6510426,-0.2566528,0.43735,847.76556,621.7216,805.4579,814.3223,623.73627,0.1346435546875,0.29681396484375,0.95184326171875,5.659942626953125,-4.732818603515625,3.1103515625,1.0,1.0,4.0,1.0,1.0,100.0,,232,LHS,Female,No,Right
5,2022-11-06 15:31:54.636,1.394088,-1.7675298,0.14781602,0.8554276,1.1039068,-2.2556555,-0.008928055,0.47032043,0.38354477,-1.5777929,0.32568997,0.48756102,0.72447807,-1.580812,0.14079683,0.7413759,0.20877095,-1.6510426,-0.34346712,0.58993876,821.978,693.8461,796.99634,799.41394,674.5055,0.1204833984375,0.318359375,0.96368408203125,2.190704345703125,-8.77777099609375,0.88226318359375,1.0,1.0,4.0,1.0,1.0,100.0,,232,LHS,Female,No,Right
6,2022-11-06 15:31:55.374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,232,LHS,Female,No,Right
7,2022-11-06 15:31:55.656,1.5092559,-1.7675298,0.60632145,0.75031495,1.412317,-2.2556555,0.21870467,0.36041763,0.32577962,-1.5777929,0.67347884,0.6320304,0.6363236,-1.580812,0.14363687,0.6737137,0.27170226,-1.6510426,-0.38012284,0.4538315,762.3443,690.6227,819.9634,793.7729,738.5714,-0.028076171875,0.233154296875,0.972900390625,6.0711669921875,-15.9405517578125,-15.065765380859377,1.0,1.0,4.0,1.0,1.0,100.0,,232,LHS,Female,No,Right
8,2022-11-06 15:31:56.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,232,LHS,Female,No,Right
9,2022-11-06 15:31:56.696,1.2979088,-1.7675298,1.1452633,0.8201241,1.5343806,-2.2556555,0.4917594,0.3305731,0.09530549,-1.5777929,0.74618495,0.6300496,0.57887286,-1.580812,0.18775922,0.67313045,0.339554,-1.6510426,-0.26636893,0.30575165,819.9634,750.65936,813.1135,834.0659,757.1062,0.03924560546875,0.3209228515625,0.99786376953125,1.4654541015625,-2.03369140625,-7.409515380859375,1.0,1.0,4.0,1.0,1.0,100.0,,232,LHS,Female,No,Right
10,2022-11-06 15:31:57.716,1.2979088,-1.7675298,0.69669515,0.8201241,1.5343806,-2.2556555,0.37288532,0.3305731,0.09530549,-1.5777929,0.33973446,0.6300496,0.57887286,-1.580812,0.1940942,0.67313045,0.339554,-1.6510426,-0.40280983,0.30575165,826.4103,412.1978,795.38464,814.3223,834.87177,0.0323486328125,0.29010009765625,0.96044921875,2.459869384765625,-1.1065673828125,-8.314208984375,1.0,1.0,4.0,1.0,1.0,100.0,,232,LHS,Female,No,Right
11,2022-11-06 15:31:58.731,0.52848697,-1.7675298,0.27589902,0.7770485,0.51024365,-2.2556555,-0.09685265,0.34266442,0.28504163,-1.5777929,0.028029438,0.5038283,0.5773167,-1.580812,0.15595366,0.70457375,0.44830486,-1.6510426,-0.34182712,0.5907751,770.80585,696.6667,811.50183,812.3077,757.50916,0.0364990234375,0.2916259765625,0.96820068359375,3.529052734375,-3.96270751953125,2.5421142578125,1.0,1.0,4.0,1.0,1.0,100.0,,232,LHS,Female,No,Right
12,2022-11-06 15:31:59.752,0.6561686,-1.7675298,-0.02893184,0.91086745,0.6558916,-2.2556555,-0.27023408,0.14610519,0.36797988,-1.5777929,0.18591212,0.8453023,0.42974648,-1.580812,0.08354709,0.8355574,0.39343083,-1.6510426,-0.20034628,0.62870944,784.90845,486.73993,809.4872,831.2454,925.9341,0.03021240234375,0.2950439453125,0.97076416015625,3.626251220703125,-1.3458251953125,2.220611572265625,1.0,1.0,4.0,1.0,1.0,100.0,,232,LHS,Female,No,Right
13,2022-11-06 15:32:00.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,232,LHS,Female,No,Right
14,2022-11-06 15:32:00.765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,232,LHS,Female,No,Right
15,2022-11-06 15:32:00.767,0.8402874,-1.7675298,-0.2549242,0.6272011,0.83993423,-2.2556555,-0.25426823,0.42748266,0.65641856,-1.5777929,0.23247325,0.85565686,0.5909831,-1.580812,0.14474304,1.0952543,0.4805822,-1.6510426,0.03836941,1.1722754,782.49084,883.6264,807.47253,796.1905,680.9524,0.0771484375,0.298583984375,0.97491455078125,1.876678466796875,-3.461761474609375,-0.844879150390625,1.0,1.0,4.0,1.0,1.0,100.0,,232,LHS,Female,No,Right
16,2022-11-06 15:32:00.937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,232,LHS,Female,No,Right
17,2022-11-06 15:32:01.619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,232,LHS,Female,No,Right
18,2022-11-06 15:32:01.785,0.9643329,-1.7675298,-0.078232646,0.79542005,0.66856134,-2.2556555,-0.12928037,0.80509764,0.66602653,-1.5777929,0.20676252,0.6730568,0.60912555,-1.580812,0.24618241,1.5046668,0.5018755,-1.6510426,0.11722389,1.5483879,812.3077,844.1392,805.8608,843.3333,750.65936,0.07830810546875,0.32501220703125,0.94879150390625,4.433746337890625,-8.710479736328125,-1.682281494140625,1.0,1.0,4.0,1.0,1.0,100.0,,232,LHS,Female,No,Right
