TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
22:42.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-9E89,302,RHC,Male,No,Right
22:42.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,302,RHC,Male,No,Right
22:43.7,0,1.335052831,0.497684203,1.226999785,0,1.21930462,0.299419733,1.276761629,0,1.102887791,0.554909947,0.877191746,0,0.485861159,0.618621734,0.94874699,0,0.325920683,0.636902716,0.709178098,805.8608059,802.6373626,795.7875458,805.0549451,666.8498168,0.571167,0.146301,0.828979,3.155212,-5.330963,-0.179443,1,2,1,1,2,100,,302,RHC,Male,No,Right
22:44.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,302,RHC,Male,No,Right
22:44.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,302,RHC,Male,No,Right
22:44.7,0,0.834296209,0.497684203,1.226999785,0,0.899250466,0.299419733,1.276761629,0,0.982421379,0.554909947,0.877191746,0,0.463571447,0.618621734,0.94874699,0,0.464244808,0.636902716,0.709178098,807.4725275,794.981685,794.981685,778.4615385,772.014652,0.576965,0.144226,0.820496,3.783264,-4.687958,0.620575,1,2,1,1,2,100,,302,RHC,Male,No,Right
22:45.7,0,0.905872431,1.018777049,1.226999785,0,0.826255325,0.552085531,1.276761629,0,0.985713642,0.948934077,0.877191746,0,0.631944501,0.718781184,0.94874699,0,0.603762307,0.674294393,0.709178098,830.8424908,825.6043956,817.1428571,832.0512821,855.8241758,0.62262,0.155396,0.824036,4.396362,-9.465637,-0.426178,1,2,1,1,2,100,,302,RHC,Male,No,Right
22:46.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,302,RHC,Male,No,Right
22:46.7,0,0.994917128,0.785816008,1.226999785,0,0.631231619,0.501093282,1.276761629,0,0.518481538,0.598098888,0.877191746,0,0.347397594,0.626207351,0.94874699,0,0.325975475,0.515880222,0.709178098,790.5494505,800.6227106,788.1318681,785.7142857,987.985348,0.602295,0.144287,0.806946,3.663635,-3.753357,-1.136475,1,2,1,1,2,100,,302,RHC,Male,No,Right
22:47.7,0,1.077105189,0.975779436,1.226999785,0,0.722566034,0.759415912,1.276761629,0,0.451112415,0.565057199,0.877191746,0,0.298148076,0.538497125,0.94874699,0,0.072590214,0.145728791,0.709178098,846.1538462,824.7985348,827.6190476,815.9340659,818.7545788,0.614746,0.13269,0.784912,2.803802,-3.858032,-0.343933,1,2,1,1,2,100,,302,RHC,Male,No,Right
22:48.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,302,RHC,Male,No,Right
22:48.7,1.285199831,0.962038826,1.128792901,1.535030398,1.002949105,0.894733972,0.485741519,1.076230864,1.083781757,0.725376422,0.486667702,1.369831909,0.923819388,0.464555458,0.433132658,1.142024287,0.606592726,0.255709738,0.201392045,0.631695127,881.2087912,830.8424908,822.7838828,850.1831502,773.6263736,0.610718,0.135193,0.809814,3.544006,-5.084229,0.007477,1,1,1,1,1,100,,302,RHC,Male,No,Right
22:49.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,302,RHC,Male,No,Right
22:49.7,1.30097277,1.275517831,1.096607107,1.613981046,1.007573791,-0.033019162,0.142126101,1.017978968,1.079129255,0.440253423,0.374202657,1.349072796,0.954627402,0.390208414,0.422584402,1.196380214,0.602622079,0.106657632,0.17938074,0.619255529,780.4761905,787.3260073,751.0622711,787.7289377,724.4688645,0.60907,0.155151,0.8078,7.663727,0.067291,3.693542,1,1,1,1,1,100,,302,RHC,Male,No,Right
22:50.7,1.30097277,1.151723794,0.797885661,1.629441044,1.007573791,0.238838422,0.226998875,1.017257087,1.079129255,0.568142126,0.233997528,1.348145812,0.954627402,0.455031634,0.388704307,1.207422073,0.602622079,0.117437929,0.099553618,0.596825351,753.4798535,838.9010989,816.7399267,790.5494505,833.6630037,0.636475,0.129395,0.782776,1.996307,-6.751556,-1.794434,1,1,1,1,1,100,,302,RHC,Male,No,Right
22:51.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,302,RHC,Male,No,Right
22:51.7,1.30097277,1.078102764,0.797885661,1.629441044,1.007573791,0.465215725,0.226998875,1.017257087,1.079129255,0.467775313,0.233997528,1.348145812,0.954627402,0.557042603,0.388704307,1.207422073,0.602622079,0.131829126,0.099553618,0.596825351,938.021978,869.1208791,785.3113553,968.6446886,729.7069597,0.631287,0.12262,0.791138,2.100983,-5.36087,-2.228088,1,2,1,1,2,100,,302,RHC,Male,No,Right
22:52.7,1.30097277,1.078102764,0.797885661,1.629441044,1.007573791,0.465215725,0.226998875,1.017257087,1.079129255,0.467775313,0.233997528,1.348145812,0.954627402,0.557042603,0.388704307,1.207422073,0.602622079,0.131829126,0.099553618,0.596825351,787.7289377,815.5311355,819.96337,830.03663,724.0659341,0.606995,0.130981,0.797424,2.953339,-5.757141,-0.134583,1,2,4,4,2,100,,302,RHC,Male,No,Right
22:53.7,1.30097277,1.078102764,0.98828604,1.11501988,1.007573791,0.465215725,0.791195082,0.785165433,1.079129255,0.467775313,0.793966369,1.00725961,0.954627402,0.557042603,0.556670389,1.025796584,0.602622079,0.131829126,0.024958098,0.706504115,806.2637363,810.6959707,807.8754579,819.1575092,725.2747253,0.627747,0.129639,0.799316,3.760834,-3.454285,0.822449,1,2,1,1,2,100,,302,RHC,Male,No,Right
22:54.7,1.001472377,1.098833907,0.659065607,0.860559549,0.847785422,0.42117336,0.426085488,0.638345356,0.659791979,0.734203646,0.331737495,0.862046346,0.822151261,0.288958237,0.513372077,0.933487426,0.349222571,0.188917469,0.207956102,0.695828162,788.1318681,803.040293,803.4432234,795.7875458,657.1794872,0.65863,0.130432,0.785889,2.85614,-4.4487,-0.104675,1,1,1,1,1,100,,302,RHC,Male,No,Right
22:55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,302,RHC,Male,No,Right
22:55.7,1.176647337,0.805186445,0.844018962,1.035290696,1.017192735,0.240554603,0.479155074,0.728573406,0.658246199,0.496790745,0.697597383,0.740076981,0.900679278,0.360539971,0.549867221,0.849473759,0.458031621,0.197678791,0.159057688,0.536505932,777.6556777,789.7435897,793.7728938,780.4761905,772.014652,0.627258,0.132202,0.798157,2.83371,-4.740295,-0.231781,1,1,1,1,1,100,,302,RHC,Male,No,Right
22:56.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,302,RHC,Male,No,Right
22:56.7,1.176647337,1.142690463,0.941737189,1.035290696,1.017192735,0.95687035,0.402470078,0.728573406,0.658246199,0.688756308,0.798888076,0.740076981,0.900679278,0.464405635,0.642106349,0.849473759,0.458031621,0.02497503,0.165067628,0.536505932,757.5091575,761.5384615,745.8241758,678.5347985,867.9120879,0.626953,0.10968,0.78717,2.848663,-2.542114,-0.844879,1,1,1,1,1,100,,302,RHC,Male,No,Right
22:57.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,302,RHC,Male,No,Right
22:57.7,1.176647337,1.283687675,1.132984519,1.035290696,1.017192735,1.095674356,0.398462644,0.728573406,0.658246199,0.679877241,0.798888076,0.740076981,0.900679278,0.538510217,0.675777255,0.849473759,0.458031621,0.038986592,0.215610507,0.536505932,827.2161172,809.4871795,780.0732601,770,766.7765568,0.612732,0.101196,0.801392,2.377625,-1.794434,1.188812,1,2,1,1,2,100,,302,RHC,Male,No,Right
22:57.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,302,RHC,Male,No,Right
22:58.7,1.176647337,1.283687675,1.043863338,1.035290696,1.017192735,1.095674356,0.603626065,0.728573406,0.658246199,0.679877241,0.343330719,0.740076981,0.900679278,0.538510217,0.554472809,0.849473759,0.458031621,0.038986592,0.597864077,0.536505932,739.7802198,834.8717949,869.9267399,776.043956,751.8681319,0.631958,0.113831,0.799866,1.809387,-5.465546,0.127106,1,2,1,1,2,100,,302,RHC,Male,No,Right
22:58.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,302,RHC,Male,No,Right
22:59.7,1.176647337,1.283687675,0.952225871,1.035290696,1.017192735,1.095674356,0.393967312,0.728573406,0.658246199,0.679877241,0.152216887,0.740076981,0.900679278,0.538510217,0.49413067,0.849473759,0.458031621,0.038986592,0.649189067,0.536505932,805.8608059,803.4432234,826.007326,846.1538462,842.9304029,0.633667,0.073792,0.784607,2.938385,-5.667419,0.695343,1,2,1,1,2,100,,302,RHC,Male,No,Right
23:00.7,1.176647337,0.915595186,0.952225871,1.035290696,1.017192735,0.314272511,0.393967312,0.728573406,0.658246199,0.484397679,0.152216887,0.740076981,0.900679278,0.441354418,0.49413067,0.849473759,0.458031621,0.039227984,0.649189067,0.536505932,822.7838828,801.8315018,811.9047619,902.5641026,701.5018315,0.619263,0.041382,0.78064,2.968292,-4.508514,-1.996307,1,2,1,1,2,100,,302,RHC,Male,No,Right
23:01.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,302,RHC,Male,No,Right
23:01.7,1.458009056,1.153433236,0.952225871,1.035290696,1.34756512,0.741955975,0.393967312,0.728573406,1.207478855,0.862753251,0.152216887,0.740076981,1.122121486,0.559481585,0.49413067,0.849473759,0.781575007,0.126194518,0.649189067,0.536505932,803.8461538,815.5311355,813.9194139,923.9194139,922.7106227,0.483582,0.101318,0.863831,2.228088,-6.422577,-1.226196,1,1,1,1,4,100,,302,RHC,Male,No,Right
