Timestamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
35:35.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,120,RHS,Male,Yes,Right
35:35.5,0.5030587,0.9729988,0.8024081,1.7128786,0.20140585,0.5494597,0.57481855,1.2760533,0.5004333,0.60229504,0.31978264,1.2476864,0.88402486,0.2963093,0.23144202,1.1062046,0.6465007,-0.010278526,0.2029265,1.0778021,904.9817,928.7546,834.0659,940.84247,895.31134,0.185852051,-0.232666016,0.973266602,4.044952393,-1.286010742,-9.084320068,1.0,2.0,1.0,2.0,2.0,100.0,,120,RHS,Male,Yes,Right
35:36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,120,RHS,Male,Yes,Right
35:36.6,0.5030587,0.9729988,0.8024081,1.7128786,0.20140585,0.5494597,0.57481855,1.2760533,0.5004333,0.60229504,0.31978264,1.2476864,0.88402486,0.2963093,0.23144202,1.1062046,0.6465007,-0.010278526,0.2029265,1.0778021,743.4066,823.1868,898.5348,795.38464,778.46155,0.22052002,-0.233764648,0.959899902,2.310333252,-3.932800293,0.373840332,1.0,2.0,1.0,2.0,2.0,100.0,,120,RHS,Male,Yes,Right
35:36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,120,RHS,Male,Yes,Right
35:36.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,120,RHS,Male,Yes,Right
35:37.6,0.5030587,0.9729988,0.8024081,1.7128786,0.20140585,0.5494597,0.57481855,1.2760533,0.5004333,0.60229504,0.31978264,1.2476864,0.88402486,0.2963093,0.23144202,1.1062046,0.6465007,-0.010278526,0.2029265,1.0778021,819.5604,734.94507,856.63007,806.26373,834.0659,0.185424805,-0.243041992,0.97265625,9.719848633,-6.093597412,-0.949554443,1.0,2.0,1.0,2.0,2.0,100.0,,120,RHS,Male,Yes,Right
35:37.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,120,RHS,Male,Yes,Right
35:38.6,0.5030587,0.9729988,0.8024081,1.7128786,0.20140585,0.5494597,0.57481855,1.2760533,0.5004333,0.60229504,0.31978264,1.2476864,0.88402486,0.2963093,0.23144202,1.1062046,0.6465007,-0.010278526,0.2029265,1.0778021,789.34064,827.619,1148.3517,810.696,739.3773,0.181152344,-0.168640137,0.982543945,7.132873535,1.330871582,3.327178955,1.0,2.0,1.0,2.0,2.0,100.0,,120,RHS,Male,Yes,Right
35:39.6,0.5030587,0.9729988,0.8024081,1.3572302,0.20140585,0.5494597,0.57481855,0.6244281,0.5004333,0.60229504,0.31978264,0.8043986,0.88402486,0.2963093,0.23144202,1.2782986,0.6465007,-0.010278526,0.2029265,0.9940557,797.8022,783.69965,1079.0476,799.81683,738.5714,0.167724609,-0.112731934,0.995361328,7.409515381,-6.250610352,2.818756104,1.0,2.0,1.0,2.0,2.0,100.0,,120,RHS,Male,Yes,Right
